P022 十一课-类型片11.1
[00:25:43.014–00:25:54.636] 明白这个意思吗？就说我说这是类型片啊，就如果说救猫咪的这10个类型是10个类型的电影啊，其实不够严谨。但说出说是10个类型的故事。
[00:25:55.878–00:26:03.052] 还是可以的。现在你理解不了，没关系，我们慢慢我们慢慢说，我先把它的10个类型啊。
[00:26:05.638–00:26:07.180] 我先把它的10个类型。
[00:26:10.502–00:26:12.140] 10个类型我们都来认识一下。
[00:26:13.254–00:26:14.156] 第一个类型。
[00:26:15.878–00:26:16.748] 叫金羊毛。
[00:26:18.438–00:26:22.444] 呃，旧猫咪这本书啊嗯咱还不知道谁翻的啊。
[00:26:23.078–00:26:24.940] 我我我不认识这个人。
[00:26:25.414–00:26:26.924] 咱客观的说啊，翻译的。
[00:26:28.006–00:26:33.804] 不不咋地，翻译不咋地，呃，我待会儿一个一个解释吧。好吧，翻译的确实不好。
[00:26:34.726–00:26:36.108] 第一类叫金羊毛。
[00:26:36.646–00:26:37.484] 第二类。
[00:26:38.086–00:26:39.052] 这个爱情。
[00:26:42.630–00:26:44.172] 然后第三类。
[00:26:45.094–00:26:45.868] 我们叫。
[00:26:46.438–00:26:47.244] 超级英雄。
[00:26:52.326–00:26:53.132] 第四类。
[00:26:55.846–00:26:56.780] 叫鬼屋。
[00:26:58.662–00:26:59.308] 然后。
[00:27:00.166–00:27:00.876] 侦探。
[00:27:11.782–00:27:12.876] 如愿以偿。
[00:27:16.806–00:27:17.836] 麻烦家伙。
[00:27:27.974–00:27:29.004] 便签仪式。
[00:27:34.822–00:27:35.916] 愚者成功。
[00:27:39.270–00:27:40.204] 最后一个叫。
[00:27:40.902–00:27:41.836] 被制度化。
[00:27:46.790–00:27:49.804] 啊，没有什么最后一个不最后一个啊，那顺序可调的。
[00:27:52.006–00:27:53.260] 就是这么几个类型。
[00:27:56.422–00:27:59.500] 十个类嘛，这是旧猫咪分的10个类。
[00:28:01.254–00:28:06.604] 我挨个给大家讲一下，咱这节课需要点耐心，好吧，需要点耐心。我给大家挨个说一下。
[00:28:10.278–00:28:14.604] 我说了啊，这个书啊翻译的不是很好，翻译的不是很好。
[00:28:15.142–00:28:16.908] 所以有点费解。
[00:28:17.446–00:28:19.116] 我挨个给大家解释一下。
[00:28:21.830–00:28:22.540] 金羊毛。
[00:28:23.878–00:28:27.500] 金耀王这个说法啊来自于他们希腊的一个呃。
[00:28:28.422–00:28:33.388] 童话传说就是一个王子到到去到处去寻找金羊毛。
[00:28:34.246–00:28:37.676] 找到那个金羊毛可以那啥的，可以继承王位之类的啊。
[00:28:38.214–00:28:43.436] 反正所以这类片子你可以理理解为寻宝片吧。
[00:28:44.262–00:28:46.028] 他是以寻宝片儿。
[00:28:46.566–00:28:47.372] 为蓝本的。
[00:28:49.382–00:28:53.356] 寻宝片为蓝本的，就是主人公去寻觅。
[00:28:55.942–00:28:56.748] 一个宝藏。
[00:29:01.990–00:29:04.460] 这么说吧，咱们中国的商业电影啊。
[00:29:05.350–00:29:06.252] 我感觉啊。
[00:29:07.782–00:29:08.812] 主流的里面。
[00:29:10.662–00:29:12.268] 这个类型肯定是最多的。
[00:29:12.998–00:29:13.996] 一定是最多的。
[00:29:15.494–00:29:17.260] 我感觉都有可能占到一半。
[00:29:20.614–00:29:21.740] 所有的公路片。
[00:29:22.534–00:29:23.404] 都属于金样毛。
[00:29:25.702–00:29:28.908] 所有的寻宝探宝类的就更不用说了啊。
[00:29:29.798–00:29:32.268] 寻宝探宝类的全属于这个这个类型啊。
[00:29:33.414–00:29:35.436] 各种盗墓的对吧？
[00:29:36.710–00:29:37.388] 然后。
[00:29:38.950–00:29:39.980] 抢银行的。
[00:29:41.254–00:29:42.252] 也属于金阳毛。
[00:29:43.206–00:29:44.908] 抢银行的骗子也属于金讶吗。
[00:29:49.894–00:29:53.196] 这有个侦探，抢银行不属于侦探，我待会儿告诉你为什么。
[00:29:58.982–00:30:00.300] 我没有仔细统计过。
[00:30:01.254–00:30:02.540] 粗略一估嘛啊。
[00:30:03.334–00:30:05.388] 中国的商业片主流商业片啊。
[00:30:07.398–00:30:08.844] 至少得有个小一半吧。
[00:30:09.350–00:30:10.732] 是金羊毛类型的片子。
[00:30:11.974–00:30:12.556] 这是嗯。
[00:30:13.190–00:30:27.180] 我为什么说这个救猫咪这套分类方式有点意思呢？值得参考呢？就是它是从讲故事角度去理解这个事儿，就是他是从咱们创作者写剧本的这个人的角度去理解这个事儿。
[00:30:28.006–00:30:30.412] 这种分类方式它不是别的。
[00:30:31.078–00:30:33.388] 分法它从故事角度。
[00:30:37.254–00:30:41.132] 寻宝类，那不就是最愿意给别人讲的那类故事吗？
[00:30:42.630–00:30:45.164] 童话故事里面最多的就是这种呀。
[00:30:45.990–00:30:49.324] 到一个圣山老林去去寻找什么宝藏。
[00:30:51.974–00:30:53.292] 寻宝类的故事。
[00:30:56.294–00:30:57.420] 有这么几个要素。
[00:30:58.342–00:31:01.548] 我再插一句啊，就是说不管什么类型。
[00:31:02.278–00:31:03.372] 都跳不出。
[00:31:04.966–00:31:06.572] 我最早给大家讲的。
[00:31:08.582–00:31:09.516] 要素也好。
[00:31:10.406–00:31:11.436] 私幕式也好。
[00:31:12.262–00:31:15.980] 序列也好，都跳不出那个框，明白这个意思吗？
[00:31:17.254–00:31:19.084] 他都是按照那套方式写。
[00:31:19.654–00:31:22.828] 但是他会有几个自己的重点。
[00:31:23.590–00:31:24.588] 需要捏死的。
[00:31:25.222–00:31:33.836] 就是说这种片子也是那八要素，也是那十序列。但是有几个点它必须转的死死的，才能让这种片子。
[00:31:34.374–00:31:34.956] 好看。
