P054 二十八课-编剧课科目三28
[00:25:28.326–00:25:32.652] 他用热气球说，哎，我们用热气球回家了，结果热气球没成功。
[00:25:33.222–00:25:34.540] 最后呢发现一个问题。
[00:25:35.014–00:25:35.564] 就是。
[00:25:36.646–00:25:37.580] 陶勒斯在。
[00:25:38.054–00:25:41.260] 第一次降临到小人国的时候，不是压死了一个女巫吗？
[00:25:41.862–00:25:46.188] 压死了一个女巫，这个女巫有一个关键道具叫。
[00:25:46.758–00:25:47.692] 红宝石鞋。
[00:25:48.326–00:25:49.388] 就有一双鞋。
[00:25:51.302–00:25:56.396] 然后他就他他就得到了这双鞋穿上了，当时就得到这个道具了。
[00:25:58.758–00:26:06.156] 然后也就是因为这双鞋，所以反派女巫一直跟着他想夺回这双鞋，因为这双鞋是有魔力的，很厉害。
[00:26:07.014–00:26:14.860] 然后在这里重新解读这双鞋，重新解读我们的祈实道具，发现这双鞋是可以带他回家的。
[00:26:16.614–00:26:17.932] 跺几下脚就可以了。
[00:26:18.758–00:26:20.556] 然后嘞就用鞋。
[00:26:21.126–00:26:21.548] 回家了。
[00:26:22.918–00:26:27.660] 就用这双鞋回家了。那很明显，这双鞋就是周星驰的如来神掌。
[00:26:29.158–00:26:32.268] 周星驰的如来神掌，或者是苏乞儿的降龙十八掌。
[00:26:33.766–00:26:35.020] 就是重新解读道具。
[00:26:36.294–00:26:37.388] 已达到目的回家。
[00:26:39.174–00:26:39.596] 打到我们。
[00:26:40.070–00:26:44.492] 为了讲，当然这是一个童话故事，它是一个奇幻世界。
[00:26:45.350–00:26:51.916] 讲述的是一个农场女孩陶乐斯跟叔叔婶婶生活在一起。因为。
[00:26:52.486–00:26:56.876] 没有爸爸妈妈，对吧？然后呢，对现实生活对现状生活不满。
[00:26:57.574–00:26:58.156] 他觉得。
[00:26:59.526–00:27:03.500] 大家都对我不好，不开心，他甚至唱出了那一首。
[00:27:04.774–00:27:25.148] 团世名曲over the rainbow对吧？他说他要去彩虹以外的地方去看一看，对吧？因为这个小小的农场束缚我了，哎呀，我的人生被束缚了，跟我们很多同学一样嘛，对吧？我的人生被束缚了，我要出去看一看，他呢想的更远，他说要到over the rainbow的地方去看一看。
[00:27:26.150–00:27:31.500] 然后呢，哎你不是想over the rainbow吗？龙卷风来了，把它刮到了一个。
[00:27:31.974–00:27:33.196] 偶尔的人宝的地方。
[00:27:34.086–00:27:35.052] 压死了一个。
[00:27:35.590–00:27:36.076] 女巫。
[00:27:36.742–00:27:47.564] 踏上第二步，我们说这叫痛打看门狗啊，踏上第二幕，要痛打看门狗。看门狗就是他压死那个女巫进到第二幕，然后遭遇伙伴。
[00:27:48.646–00:27:52.268] 呃，获得道具也在第二幕，然后伙伴。
[00:27:53.190–00:27:54.316] 然后对手。
[00:27:54.982–00:27:55.596] 重点。
[00:27:57.798–00:28:00.172] 重新谈条件，然后再达成。
[00:28:00.678–00:28:01.644] 然后发现。
[00:28:02.374–00:28:04.332] 这个欧德法师帮不了他。
[00:28:05.286–00:28:11.308] 然后绕过动作实现欲望，欲望是回家，动作是找法师，法师帮不了他。
[00:28:12.006–00:28:13.004] 自己帮自己。
[00:28:15.078–00:28:15.596] 你说你看。
[00:28:16.390–00:28:17.004] 这就是。
[00:28:21.702–00:28:22.348] 绿野仙踪。
[00:28:24.230–00:28:26.220] 我们说我们为什么先讲这个片子呢？
[00:28:27.078–00:28:28.108] 因为这个片子啊。
[00:28:29.318–00:28:30.060] 很干净。
[00:28:31.014–00:28:33.548] 他很老啊，那时候没有什么花活。
[00:28:34.054–00:28:35.340] 一切都很规整。
[00:28:35.878–00:28:38.700] 像方程式一样，你们不觉得这个片子就像一个。
[00:28:40.294–00:28:41.068] 模板吗？
[00:28:41.638–00:28:42.796] 多一个人也不多。
[00:28:43.270–00:28:46.220] 对吧多一场戏也没有，就是很规整。
[00:28:48.710–00:28:49.132] 规整。
[00:28:53.830–00:28:56.012] 但是他却奠定了往后。
[00:28:56.806–00:28:59.020] 很多很多这个类型片子的。
[00:28:59.558–00:29:00.108] 基本结构。
[00:29:03.462–00:29:09.740] 它规整啊有两个原因，一个是因为他老倚老卖老嘛，他就规可可以规整。
[00:29:10.438–00:29:13.356] 第二个原因呢，是因为它是个寓言故事。
[00:29:15.046–00:29:16.172] 它是个童话故事嘛。
[00:29:16.678–00:29:21.100] 这是个寓言故事，因为这个陶乐斯最后回到家之后，发现一切是一场梦。
[00:29:23.334–00:29:24.972] 一切是一场梦。
[00:29:30.598–00:29:31.852] 并没有去什么。
[00:29:34.054–00:29:35.692] Somewhere over the rainbow.
[00:29:37.030–00:29:39.532] 他只是做了一场梦，一场可怕的梦。
[00:29:43.526–00:29:45.164] 我们说这就是绿野仙踪。
[00:29:49.542–00:29:50.892] 我们再来看一个片子。
[00:29:53.990–00:29:57.292] 这个片子呢我们说是一个老的片子。
[00:29:58.310–00:29:59.116] 预演的片子。
[00:30:00.326–00:30:01.612] 我们再来看一个。
[00:30:03.750–00:30:04.716] 写实的片子。
[00:30:05.574–00:30:06.380] 真人的片子。
[00:30:07.942–00:30:08.972] 比较新的片子。
[00:30:10.950–00:30:11.916] 菊次郎的夏天。
[00:30:15.526–00:30:16.396] 菊次郎的夏天。
[00:30:18.918–00:30:21.996] 我们说菊次郎的夏天也是一个公路片，对吧？
[00:30:23.110–00:30:25.548] 主角是菊次拉河。
[00:30:26.470–00:30:27.084] 正南。
[00:30:27.558–00:30:28.812] 郑男是那个小朋友呀。
[00:30:29.382–00:30:31.724] 那个那个那个那个憨憨的那个小朋友。
[00:30:32.742–00:30:33.324] 然后。
[00:30:34.854–00:30:46.828] 我们说假设男主角是郑南，因为起始的目标是正南的啊，起始目标是正南的。就是说这个故事是由正南挑起的。
[00:30:47.366–00:30:48.460] 其实目标是正难的。
[00:30:51.142–00:30:55.660] 虽然片子叫菊次郎的夏天，这个我们待会儿再说。我们说从正南的角度。
[00:30:56.934–00:31:02.860] 他的欲望是什么？我们就按照陶螺斯的结构啊来看，橘色啊夏天蒸南的目标是什么？
[00:31:04.454–00:31:05.004] 找他妈。
[00:31:06.438–00:31:06.988] 然后。
[00:31:13.254–00:31:14.540] 正男的现状是什么呢？
[00:31:15.686–00:31:16.652] 郑楠是个孤儿。
[00:31:17.446–00:31:21.740] 嗯，没有没有爸爸，也没有妈妈。
[00:31:22.374–00:31:26.988] 跟外婆生活在一起跟外婆生活在一起，然后呢放暑假了。
[00:31:27.558–00:31:30.060] 放暑假了之后呢嗯。
[00:31:31.334–00:31:35.404] 现状是什么呢？我们说一般啊现状不可接受嘛。
[00:31:36.038–00:31:44.044] 陶勒斯也觉得现状不可接受呀，觉得家里人都不理解他，对吧？觉得哎呀在家里很憋屈，那郑男也是呀。
[00:31:45.158–00:31:47.788] 他外婆虽然对他不错，但是呢。
[00:31:48.870–00:31:52.108] 你毕竟孤独呀，所以他的现状也不可接受。
[00:31:52.998–00:31:53.676] 放暑假。
[00:31:54.918–00:31:57.900] 没事儿干，本来就没事干。然后嘞。
[00:31:58.982–00:32:12.172] 先是去踢足球，就他最喜欢踢足球，结果发现暑假呢足球兴趣班也不上不上课。那个教练跟他说的嘛，说暑假了呃这个这个足球班也关了，你回家了，然后他回家。
[00:32:12.710–00:32:14.700] 然后他又去找他最好的一个朋友。
[00:32:15.174–00:32:30.284] 就是放学跟他放一块走的那个小男孩去人家里喊，喊了半天，发现人家的爸爸妈妈带着这个小男孩一家几口开上一辆旅行车过暑假去了，去旅行去了，又把他给扔下了。
[00:32:30.918–00:32:32.940] 人家跟他说再见，那个镜头。
[00:32:35.270–00:32:45.644] 没有根去那个小男孩家里，就拍正男在楼下喊人家下来玩，然后上去看人家怎么回事，然后又跟人家一块下来，人家一家人拿着行李上人辆车开走，跟他说再见。
[00:32:47.462–00:32:59.180] 现状不可接受，孤独没事干，对吧？完全没事干。然后呢，激励是什么呢？他一个人在家的时候翻东西，发现了他妈的地址和照片。
[00:32:59.718–00:33:00.428] 因为他们。
[00:33:01.158–00:33:02.316] 不怎么记得他妈妈。
[00:33:02.790–00:33:06.060] 更不可能知道他妈在哪。所以你看这个就是激利事件。
[00:33:07.462–00:33:09.964] 这个就是纪率事件，他发现他妈的东西了。
[00:33:10.662–00:33:11.308] 就是。
[00:33:12.070–00:33:13.292] 呃，所以。
[00:33:13.990–00:33:14.700] 现状。
[00:33:15.878–00:33:25.356] 不可接受，然后踏上找妈的旅程，对吧？找妈的旅程第一件事情先揣了点钱，收拾了点行李上路，对吧？
[00:33:25.926–00:33:27.596] 上路第一件事情是什么呢？
[00:33:28.870–00:33:32.364] 被打劫被抢被抢。
[00:33:34.054–00:33:36.108] 被几个不良少年给抢了。
[00:33:38.246–00:33:42.700] 然后嘞，这时候谁出现了呢？菊次郎菊次郎就是北野舞。
[00:33:43.494–00:33:55.180] 我们的凶悍的大叔对吧？凶悍的大叔出现了，把被抢的这几个小男孩给扁了一顿，还把被抢的这几个不良少年的进给抢了。因为他很凶悍嘛，这是什么？
[00:33:55.814–00:33:56.620] 对应这里。
[00:33:58.278–00:33:59.244] 呃，看门狗。
[00:34:00.646–00:34:01.388] 看门狗呀。
[00:34:01.862–00:34:02.860] 看看第二幕。
[00:34:03.590–00:34:04.620] 痛展看门狗。
[00:34:05.094–00:34:11.596] 然后呢，对应稻草人、铁皮人狮子，这里不就是我们的菊次郎吗？
[00:34:13.254–00:34:17.516] 菊次郎帮助他打了看门狗，然后菊次郎加入到。
[00:34:18.278–00:34:35.404] 队伍里面加入到我们的郑南的队伍里面。当然了，菊次郎在这里是被迫的，也不叫完全被迫啊，是因为他有个老婆，他老婆我们说被一个他他的老婆，他在戏里面啊在剧里面称之为老婆啊就是。
[00:34:36.070–00:34:37.804] 呃，跟他说你。
[00:34:38.822–00:34:47.436] 你你你这小孩多可怜，你带他去那个路又那么远，去那么远的地方，你带他去嘛，你保护他，你带他去找他妈妈。
[00:34:49.350–00:34:54.188] 然后呢，这个女人因为也认识菊次郎的外婆，还跑去那个。
[00:34:54.982–00:34:58.412] 外婆家跟外婆说，那个那个我老公呃。
[00:34:58.982–00:35:06.700] 带带带带张南出去玩几天，去海边玩几天，你就放心工作吧。因为外婆也确实忙也顾不过来，再加上可能。
[00:35:07.334–00:35:11.628] 人家确实也是有亲属关系，所以也比较放心啊也比较放心。
[00:35:12.518–00:35:14.124] 所以在这个女人的支配下。
[00:35:14.854–00:35:16.748] 菊次郎加入了。
[00:35:18.054–00:35:21.036] 正南找妈妈的旅程，菊次郎相当于。
[00:35:21.670–00:35:23.980] 呃，稻草儿、铁皮人和狮子的合体。
[00:35:24.550–00:35:25.996] 然后呢，这是伙伴。
[00:35:27.110–00:35:31.660] 然后一路我们说因为是个现实主义的片子，可能就不能打女巫了。
[00:35:32.134–00:35:37.324] 对吧一路呀就要与现实做斗争。比如说上来他们俩先去堵自行车。
[00:35:38.278–00:35:39.564] 就是去赌博吧。
[00:35:40.038–00:35:49.580] 赌博呃赢了点钱，然后后来又把钱给输光了，得意忘形把钱给输光。然后呢，那钱是现实主义题材啊，你记得啊现实主义题材。
[00:35:50.086–00:36:10.844] 阻碍里面一般少不了钱，就是呢没钱对吧？没有钱，然后呢，没有钱。那在这个漫长的路程当中，那显然就坐不成车，要去蹭车，对吧？要装可怜，要什么甚至要在路上放钉子，扎人家车胎，反正要做各种各样的事情去想办法。
[00:36:11.398–00:36:20.460] 偷点东西呀，赖点账啊，或者是有时候北野武因为是一个流氓出身，还要就有时候用武力去解决一些问题呀。
[00:36:21.606–00:36:22.988] 然后甚至他们在路上。
[00:36:23.910–00:36:29.388] 郑南还遭遇了什么呢？他们在没有钱的时候呢，就是郑南还被一个变态大叔。
[00:36:30.918–00:36:33.676] 一个色情狂的大叔就是就是那种。
[00:36:34.278–00:36:35.788] 专门搞小男孩的那种。
[00:36:37.574–00:36:39.340] 还被还被那样一个人给欺负了。
[00:36:39.942–00:36:43.276] 然后郑南晚上做噩梦都是那件事情，对吧？
[00:36:44.454–00:36:44.972] 嗯。
[00:36:47.942–00:36:49.772] 我们说遭遇各种各样的。
[00:36:52.390–00:36:55.372] 遭遇各种各样的事情，其中还遇到。
[00:36:56.262–00:37:02.156] 呃，好人也有好人，对吧？好心的情侣，还有一个好，他们叫好心叔叔。
[00:37:02.854–00:37:04.588] 一个好心人叔好人叔叔。
[00:37:05.222–00:37:08.940] 还遇到一个好人叔叔也带了他们一段，终于到达目的地。
[00:37:09.670–00:37:11.692] 终点啊，我们说在终点。
[00:37:12.518–00:37:13.260] 找到了。
[00:37:14.022–00:37:16.332] 妈妈的住所找到了妈妈的住所。
[00:37:18.822–00:37:21.452] 那终点这里找到了大法师，找到了妈妈。
[00:37:22.470–00:37:29.964] 结果发现妈妈什么呢？因为找到，因为我们说凡是找妈妈，其实都是为了找爱嘛，对不对？
[00:37:30.918–00:37:37.452] 都是为了找爱，是因为这难孤独嘛，是为找爱，但是这里找到了妈妈，找不到爱。
[00:37:38.118–00:37:38.700] 为啥呢？
[00:37:40.806–00:37:45.676] 他本来他外婆跟他讲，因为他外婆呢肯定是妈妈的亲妈呀。
[00:37:46.438–00:37:48.620] 按道理应该知道自己的女儿在哪。
[00:37:49.350–00:37:49.740] 对吧。
[00:37:51.206–00:37:57.004] 外婆跟他讲，你妈妈在外地打工呢，你爸爸去世以后，你妈妈就去外地打工了。
[00:37:57.510–00:38:03.692] 他呢在那努力工作，挣钱养着你，所以你好好读书，乖乖的就可以了。这是他外婆跟他。
[00:38:05.542–00:38:05.932] 说法。
[00:38:07.174–00:38:08.556] 去到那儿之后呢，发现。
[00:38:11.622–00:38:13.068] 妈妈住着一个豪宅。
[00:38:14.470–00:38:19.756] 嫁了一个有钱的老公，又生了一个比她小不了多少，小一点点的。
[00:38:22.438–00:38:23.532] 过着幸福的生活。
[00:38:24.710–00:38:25.388] 也就是说。
[00:38:27.878–00:38:28.812] 妈妈不可能。
[00:38:30.086–00:38:31.148] 就不可能爱他了。
[00:38:34.054–00:38:39.212] 妈妈知道你在哪儿，也从来没来看过你，对吧？妈妈不爱你了。
[00:38:40.358–00:38:41.356] 这就是终点。
[00:38:42.534–00:38:43.372] 这就是我们的重点。
[00:38:45.286–00:38:47.180] 当然了，菊次郎会去。
[00:38:47.814–00:38:50.956] 会去弥补这件事情。徐次郎跟郑南说。
[00:38:51.750–00:38:54.028] 找错了，我帮你刚才问了，那不是你吗？
[00:38:54.502–00:38:57.132] 你妈又搬家了，咱们还得接着找啊。
[00:38:58.086–00:38:59.820] 对吧咱们还得接着找吧。
[00:39:01.446–00:39:03.756] 咱们下回再找，咱们明年暑假。
[00:39:04.294–00:39:04.780] 再来找。
[00:39:06.214–00:39:14.060] 当然把这事儿给折去折过去了。但是我们从为观众从观众的角度或者其实正男这个小男孩虽然看起来傻傻的。
[00:39:16.646–00:39:20.492] 因为菊次郎跟他说，那不是你妈骂之后，我说完之后这男孩子哭了嘛。
[00:39:22.886–00:39:24.012] 他怎么可能不知道呢？
[00:39:24.646–00:39:25.004] 对吧。
[00:39:25.702–00:39:26.508] 还有照片的呀。
[00:39:27.750–00:39:28.588] 还有照片呢。
[00:39:29.958–00:39:32.396] 所以说找到了妈妈，但没有找到爱。
[00:39:33.286–00:39:34.380] 然后在这里呢。
[00:39:35.718–00:39:36.396] 我们说。
[00:39:36.966–00:39:38.124] 在终点过后。
[00:39:39.110–00:39:44.620] 除了重新谈条件，加大赌注以外，还有一个还有一种。
[00:39:45.318–00:39:46.796] 常规的做法叫调整目标。
[00:39:48.870–00:39:49.740] 在调整目标。
[00:39:55.238–00:39:56.588] 在这里我们就换目标了。
[00:39:57.222–00:40:05.132] 菊次郎和郑男就换目标了，菊次郎给他换的。从中点过后，菊次郎做了一件什么事情呢？菊次郎正好看到有一。
[00:40:06.438–00:40:09.420] 有两个骑哈雷摩托车的那种。
[00:40:10.246–00:40:14.380] 骑着哈雷穿着皮坎肩那种看起来很凶悍的那种。
[00:40:15.974–00:40:16.844] 机车党吧。
[00:40:17.606–00:40:19.148] 汽车党的那个那个。
[00:40:19.942–00:40:22.092] 车车把上挂着一个。
[00:40:23.110–00:40:25.324] 小玩具挂着一个小天使。
[00:40:26.246–00:40:28.620] 然后呢，菊次郎因为是个虎逼啊。
[00:40:29.510–00:40:38.156] 对吧他是一个很很很凶恶的一个大叔，然后就去把那两个机车党给抢了。那那俩机车党反而挺温柔的。
[00:40:39.110–00:40:40.332] 呃，跟外形不符。
[00:40:41.318–00:40:44.012] 把那俩机车党的小天使给抢了。
[00:40:44.486–00:40:46.060] 然后回来带给他说哎。
[00:40:46.598–00:40:49.708] 那个我刚才问那个女人了，你妈妈搬走了。
[00:40:50.374–00:40:51.372] 嗯。
[00:40:51.942–00:40:59.596] 呃，不住在这儿了。所以呢我们可能明年暑假要继续找你妈，但是你妈走的时候呢，给你留下一个。
[00:41:01.830–00:41:02.892] 留下一个信物。
[00:41:05.254–00:41:06.380] 是一个小天使。
[00:41:07.622–00:41:08.940] 是一个小天使铃铛。
[00:41:10.310–00:41:11.980] 一个小天使形状的铃铛。
[00:41:12.582–00:41:14.092] 你摇这个铃铛呢？
[00:41:15.622–00:41:17.868] 你妈妈就知道呃，你想他了。
[00:41:19.654–00:41:21.420] 他就会派一个天使来保护你。
[00:41:23.878–00:41:25.804] 编造了这个谎言给郑南。
[00:41:27.174–00:41:29.132] 然后郑南在后半段。
[00:41:29.830–00:41:30.572] 那就是。
[00:41:31.718–00:41:33.548] 我们说前半段找妈妈。
[00:41:35.782–00:41:37.964] 后半段目标调整变成了。
[00:41:39.718–00:41:40.364] 小天使。
[00:41:44.646–00:41:45.388] 然后他就。
[00:41:45.958–00:41:46.604] 不断的。
[00:41:47.974–00:41:49.548] 摇起这个铃铛。
[00:41:54.214–00:42:00.140] 然后我们在前半段路程中遇到过的，包括菊次郎也好，也就北业务也好。
[00:42:00.742–00:42:03.276] 包括那一对骑机车的。
[00:42:04.422–00:42:07.788] 机车党一个一个肥仔，一个光头。
[00:42:08.614–00:42:10.188] 然后还有那个好人叔叔。
[00:42:11.814–00:42:12.492] 这几个人。
[00:42:13.126–00:42:13.868] 轮流。
[00:42:14.822–00:42:15.308] 扮演。
[00:42:16.038–00:42:16.460] 开始。
[00:42:18.694–00:42:20.428] 做出了很多荒诞的。
[00:42:21.062–00:42:22.508] 搞笑的场景。
[00:42:23.110–00:42:23.884] 轮流。
[00:42:25.798–00:42:27.372] 夸张的表演。
[00:42:28.902–00:42:30.892] 充当正南的天使。
[00:42:32.646–00:42:33.932] 然后郑南也在。
[00:42:37.414–00:42:38.348] 整个故事中。
[00:42:39.494–00:42:40.236] 第一次笑了。
[00:42:40.774–00:42:43.212] 我们说郑南这个小男孩啊，我们暂时。
[00:42:44.102–00:42:45.804] 暂时把它确定为男主角的话。
[00:42:46.278–00:42:53.196] 其实长得不咋地呀，长得挺丑的，你知道吧？长得挺憨的。一般这种戏我给你找一个漂亮男孩啊。
[00:42:53.862–00:42:56.972] 但是因为是北野舞的作品，咱肯定不按查理出牌呀。
[00:42:58.502–00:43:01.004] 这是小男孩第一次笑了，也就是说。
[00:43:02.086–00:43:02.860] 举次郎也好。
[00:43:04.198–00:43:12.108] 一对鸡血党也好，还有那个偷玉米的时候认识的好人叔叔也好，好人叔叔是偷玉米的时候认识碰到的又。
[00:43:13.062–00:43:15.756] 在那偷人家的玉米，小偷，你知道吗？
[00:43:16.454–00:43:17.900] 但是都展现出了。
[00:43:19.430–00:43:20.364] 天使的一面。
[00:43:21.766–00:43:22.668] 或者说。
[00:43:23.526–00:43:25.004] 都变成了天使。
[00:43:28.614–00:43:29.228] 甚至。
[00:43:30.758–00:43:31.884] 我们的正南呢？
[00:43:35.078–00:43:36.940] 他也有有一个新书包。
[00:43:37.862–00:43:43.020] 他在路上，他本来背着自己上学的书包上路的，他后来回来的时候呢，买了一个新书包。
[00:43:45.702–00:43:48.204] 别5，也就是菊次郎给他买了一个新书包。
[00:43:48.838–00:43:49.740] 那个书包上。
[00:43:50.214–00:43:51.052] 也有一对儿。
[00:43:51.878–00:43:52.716] 白色的小翅吗。
[00:43:53.478–00:43:54.316] 也就是说。
[00:43:56.998–00:43:58.412] 后半段找天使。
[00:43:59.718–00:44:02.348] 前半段找母爱，找妈妈没找到。
[00:44:03.654–00:44:04.620] 咱妈妈的爱。
[00:44:05.126–00:44:06.668] 可以被什么给替代呢？
[00:44:07.430–00:44:08.684] 那就是天使的爱。
[00:44:09.702–00:44:10.892] 天使在哪里呢？
[00:44:13.990–00:44:14.956] 他们都是天使。
[00:44:16.454–00:44:17.612] 菊次郎是天使。
[00:44:18.342–00:44:19.532] 机车党是天使。
[00:44:20.486–00:44:21.772] 偷玉米的好人叔叔。
[00:44:22.246–00:44:23.020] 也是天使。
[00:44:24.166–00:44:25.836] 甚至正难你自己。
[00:44:27.494–00:44:28.684] 你也可以是天使。
[00:44:33.830–00:44:36.876] 所以最后变成了寻找天使。
[00:44:39.654–00:44:40.716] 和成为天使。
[00:44:45.190–00:44:46.540] 因为我们正南啊。
[00:44:47.302–00:44:49.868] 他不光得到了这些天使的帮助。
[00:44:50.342–00:44:52.204] 为什么说他自己也成为天使了呢？
[00:44:52.710–00:44:53.580] 是因为。
[00:44:56.934–00:44:59.436] 他获得了这些爱，获得了这些开心。
[00:45:02.662–00:45:09.196] 甚至让我们的菊次郎，我们说菊次郎为什么要帮助这么难呢？其实开篇的时候讲过那个支配他的女人讲过。
[00:45:11.782–00:45:12.908] 那个女人跟他说。
[00:45:14.086–00:45:15.532] 你不觉得这小孩可怜吗？
[00:45:16.166–00:45:17.484] 妈妈不要他了。
[00:45:17.958–00:45:19.244] 你妈不也不要你了吗？
[00:45:21.446–00:45:25.196] 因为菊次郎也没有妈妈呀，或者说他妈妈也抛弃他了。
[00:45:26.374–00:45:27.692] 所以在故事。
[00:45:28.198–00:45:29.996] 后半段的时候，菊次郎。
[00:45:32.326–00:45:34.828] 去了一家敬老院。
[00:45:36.838–00:45:37.612] 远远的。
[00:45:40.646–00:45:41.644] 看了一眼他的妈妈。
[00:45:42.310–00:45:44.684] 敬老院里面一个得了。
[00:45:45.446–00:45:47.180] 应该是得了老年痴呆吧。
[00:45:47.654–00:45:48.428] 这么一个老太。
[00:45:49.702–00:45:50.444] 没有上去。
[00:45:51.430–00:45:53.164] 他没有上去相认，也没有上去说话。
[00:45:53.798–00:45:56.012] 因为他妈妈可能年轻的时候对他也不好。
[00:45:56.710–00:45:57.452] 但是他呢。
[00:45:59.142–00:46:00.204] 远远的看了一下。
[00:46:00.998–00:46:02.092] 也算一个释怀。
[00:46:03.654–00:46:04.780] 也算一种原谅吧。
[00:46:06.214–00:46:08.268] 所以郑南也成为了天使。
[00:46:09.382–00:46:11.180] 因为他也影响了身边的人。
[00:46:11.782–00:46:12.876] 大家都得到了。
[00:46:13.638–00:46:14.316] 天使的爱。
[00:46:15.654–00:46:16.300] 这就是。
[00:46:17.062–00:46:18.060] 菊次郎的夏天。
[00:46:20.742–00:46:22.124] 我们说橘次郎的夏天啊。
[00:46:25.286–00:46:28.364] 虽然是一个真人的片子，但其实拍的也很梦幻。
[00:46:29.350–00:46:30.284] 也很梦境。
[00:46:30.982–00:46:32.236] 做的那些事情呢。
[00:46:33.734–00:46:39.596] 从表面上看是很荒诞的。所以有很多同学啊跟我说过，说菊次郎的夏天看起来很荒诞。
[00:46:40.518–00:46:42.988] 有时候呢确实也看不太懂。
[00:46:44.262–00:46:45.900] 这个确实是这样啊，因为。
[00:46:46.502–00:46:49.580] 我们说呃北野五拍的这个片子。
[00:46:51.270–00:46:52.684] 并不是拍给所有人看。
[00:46:53.798–00:46:54.828] 你如果啊。
[00:46:56.198–00:46:59.756] 你妈妈从小就对你很好，然后也没有离开过你。
[00:47:01.062–00:47:02.604] 你可能真的体会不到。
[00:47:03.526–00:47:04.236] 菊次郎。
[00:47:04.742–00:47:05.356] 的心情。
[00:47:07.110–00:47:11.628] 我们说这个片子从虚的角度来讲，我们可以说是前半段找妈妈。
[00:47:12.582–00:47:13.196] 后半段。
[00:47:13.830–00:47:14.732] 大家找天使。
[00:47:15.462–00:47:22.156] 寻找天使，甚至成为天使，成为彼此的天使，甚至成为自己的天使，对吧？因为。
[00:47:22.854–00:47:24.652] 你找妈妈不是为了找爱吗？
[00:47:28.710–00:47:30.732] 终极目标不就是为了找爱吗？
[00:47:32.742–00:47:34.764] 但世界上不光只有母爱呀。
[00:47:35.622–00:47:38.092] 还有天使的爱嘛，还有来自。
[00:47:38.758–00:47:39.660] 身边人的爱吗？
[00:47:40.422–00:47:41.868] 甚至来自自爱嘛。
[00:47:44.230–00:47:47.724] 我们说郑南自己变成了天使，不就是象征着他自爱了。
[00:47:48.870–00:47:51.852] 那北野我我们说菊次郎最后不也变得自爱了吗？
[00:47:52.358–00:47:58.988] 他从开始自暴自弃吧，他是个他是个他是个古惑仔呀，他是个不良大叔呀。
[00:47:59.814–00:48:03.692] 到后面他也开始斥责偷盗行为，对吧？他也改了呀。
[00:48:04.390–00:48:08.748] 他也开始爱自己了，是从虚的角度来讲，从实的角度来讲呢。
[00:48:10.150–00:48:10.732] 我们说。
[00:48:11.430–00:48:17.260] 菊次郎从外婆家出走，那最后肯定回到外婆家，对吧？外婆把你带大，外婆爱你。
[00:48:18.182–00:48:19.212] 外婆就是妈妈呀。
[00:48:20.582–00:48:22.636] 为什么一定要找亲妈呢？对吧？
[00:48:23.398–00:48:24.812] 然后从菊次郎的角度呢。
[00:48:27.846–00:48:29.068] 菊次郎的妈妈是谁呢？
[00:48:30.054–00:48:31.788] 菊次郎的妈妈其实是他老婆呀。
[00:48:34.438–00:48:36.524] 他对他老婆言听计计从呀。
[00:48:39.494–00:48:41.644] 而且他老婆很正的呀，很正义的呀。
[00:48:42.118–00:48:45.196] 价值观很正的，讲他做的事情都是很对的。他老婆。
[00:48:46.566–00:48:53.708] 帮助小男孩去找亲妈，对吧？打掩护，然后呢又去安慰那个外婆，然后呢又骂他。
[00:48:54.182–00:48:56.108] 骂她老公，让她老公学好。
[00:48:58.022–00:48:59.980] 如此强悍的强势的一个女人。
[00:49:00.966–00:49:01.836] 他就是你妈呀。
[00:49:07.046–00:49:08.620] 我们说缺乏母爱的。
[00:49:09.382–00:49:23.852] 缺乏母爱的菊次郎肯定要找一个这样的女人呀，对吧？缺乏父爱的女孩都很容易被大叔给给推了，对吧？那缺乏母爱的男人肯定被也会被强悍女生给推了嘛。
[00:49:24.678–00:49:26.732] 正常啊，所以说你看这个故事。
[00:49:27.590–00:49:28.364] 从大结构上。
[00:49:29.190–00:49:30.028] 其实跟。
[00:49:32.454–00:49:33.196] 绿野仙踪。
[00:49:34.150–00:49:34.636] 是一样的。
[00:49:38.502–00:49:39.916] 跟绿野仙踪是一样。
[00:49:45.510–00:49:46.444] 那我们就来。
[00:49:51.942–00:49:53.612] 咱们的命题作文了，好不好？
[00:49:55.590–00:49:57.708] 我们可不可以按照这种结构？
[00:49:58.214–00:50:00.108] 写一个自己的故事呢。
[00:50:00.614–00:50:04.268] 或者是说就练习一个自己的故事呢。
[00:50:08.166–00:50:09.452] 我们说这两个故事，你看。
[00:50:09.958–00:50:10.956] 从大结构上。
[00:50:12.454–00:50:13.164] 差不多啊。
[00:50:13.766–00:50:14.220] 对不对？
[00:50:16.102–00:50:16.844] 那我们就。
[00:50:17.478–00:50:18.732] 命题一个这样的作文。
[00:50:19.558–00:50:19.980] 好不好？
[00:50:21.318–00:50:22.284] 这个命题作文。
[00:50:23.270–00:50:24.204] 我们每个同学。
[00:50:25.638–00:50:26.124] 都要写。
[00:50:26.790–00:50:29.452] 我们当做全班的一次练习，好吧。
[00:50:30.150–00:50:30.700] 首先。
[00:50:32.774–00:50:33.740] 确定一个主角。
