P055 二十九课-剧情要有攻击性29
[00:25:18.822–00:25:20.364] 我们说这个攻击员呀。
[00:25:20.902–00:25:22.764] 相对比较容易理解，对吧？
[00:25:23.622–00:25:29.132] 我们说可以像就是你的阻力嘛，从环境的角度，从对手的角度。
[00:25:30.150–00:25:32.364] 从你自身的角度来攻击。
[00:25:34.406–00:25:36.396] 那么就带来一个新的问题。
[00:25:36.934–00:25:38.252] 你攻击谁呢？
[00:25:41.446–00:25:42.860] 攻击目标呢。
[00:25:43.942–00:25:45.964] 对吧你攻击得有目标啊。
[00:25:48.486–00:25:50.924] 攻击源在这儿，那攻击目标是什么呢？
[00:25:52.294–00:26:13.468] 这个问题没有想明白，导致我们同学其实这个很好理解，对吧？我们之前说过呀，就是你这个这个主线剧情，你要设计阻力，阻力来自于什么呢？来自于环境，来自于对手，来自于自己。我们说过这个问题，那为什么你的剧情当中为什么这个剧剧情的攻击性还是那么低呢？是因为你没有解决一个攻击目标的问题？
[00:26:15.558–00:26:16.332] 攻击目标。
[00:26:17.670–00:26:18.956] 我们说攻击目标啊。
[00:26:19.494–00:26:25.260] 当然是攻击我们的主角，这个一定要记住，好吧，不要去攻击其他人。
[00:26:26.150–00:26:28.652] 不要去攻击其他人，攻击我们的主角。
[00:26:29.990–00:26:31.116] 攻击我们的主角。
[00:26:32.070–00:26:35.500] 这个一定要记住，或者攻击我们的主角群，对吧？
[00:26:36.006–00:26:37.580] 那攻击主角的什么呢？
[00:26:38.310–00:26:40.556] 我们来剖析一下。首先。
[00:26:45.030–00:26:46.156] 可以攻击主角什么？
[00:26:48.966–00:26:51.180] 首先可以攻击主角。
[00:26:52.902–00:26:53.548] 本身。
[00:26:54.246–00:26:56.108] 对吧攻击他这个人。
[00:26:57.190–00:26:58.476] 攻击主角这个人。
[00:27:01.318–00:27:06.540] 比如说攻击主角这个人啊，主角角色啊在戏中，他这个人身上有什么？
[00:27:07.110–00:27:07.820] 首先。
[00:27:08.742–00:27:09.644] 他有肉体吧。
[00:27:11.110–00:27:13.580] 对吧首先它是它是个肉身呀。
[00:27:14.150–00:27:16.076] 那公鸡肉身很就揍他吗？
[00:27:16.582–00:27:17.548] 伤害他呀。
[00:27:19.078–00:27:36.748] 这个很常见呀，那主角那哪个主角不遍体鳞伤的是吧？一场戏下来主角还有不受伤的那就很少嘛，攻击他的肉体，对吧？那攻击他的肉体，那顺便肯定还可以攻击他的精神，对不对不对？攻击他的精神。然后呢。
[00:27:37.446–00:27:41.420] 肉体精神都可以攻击，还可以攻击什么？你说这个主角还有什么？
[00:27:43.398–00:27:44.268] 缺陷。
[00:27:45.990–00:27:50.764] 攻击他的缺陷，对吧？攻击他的技能，主角不是还有技能吗？
[00:27:51.942–00:27:52.524] 对不对？
[00:27:55.174–00:27:57.388] 主角还有什么技能缺陷，还有什么？
[00:27:58.054–00:27:58.572] 还有。
[00:27:59.206–00:28:08.044] 枷锁常见的主角，还有枷锁呀，我们课上一直说的金箍咒吗？主角不是很多都有金箍咒吗？攻击他的金箍咒啊。
[00:28:15.750–00:28:16.812] 攻击他金箍咒。
[00:28:17.414–00:28:17.996] 是吧。
[00:28:18.918–00:28:19.916] 还可以攻击什么？
[00:28:20.486–00:28:24.012] 主角还有什么？还有身份攻击他的身份呀。
[00:28:26.342–00:28:30.028] 对不对？有些人甚至是假身份攻击他的假身份呀。
[00:28:30.886–00:28:32.364] 这些都可以被攻击。
[00:28:34.086–00:28:38.156] 对吧甚至我们说主角，比如说他的武器。
[00:28:38.982–00:28:45.708] 他的武器道具也可以被攻击，对吧？他的法器嘛，我们说主角在第二幕会得到法器嘛。
[00:28:46.502–00:28:49.100] 这都是主角身上东西可以被攻击的。
[00:28:50.342–00:28:54.220] 然后我说除了攻击主角本人以外，他这个人以外。
[00:28:54.918–00:28:57.292] 还可以攻击什么？经常被忽略的。
[00:28:59.334–00:29:00.300] 人物关系。
[00:29:04.998–00:29:08.684] 我们说主角的身边的人物关系网也是你的攻击。
[00:29:09.222–00:29:09.868] 目标呀。
[00:29:10.374–00:29:12.364] 对吧攻击他的爱情。
[00:29:14.854–00:29:17.132] 攻击他的伙伴，对吧？
[00:29:18.118–00:29:21.932] 攻击他的爱情，攻击他的伙伴，攻击他的师徒情。
[00:29:22.534–00:29:28.172] 攻击他的这个这个本身它与伙伴的差异。我们说伙伴是。
[00:29:28.742–00:29:31.660] 主角跟伙伴是互补的呀，互补就有差异啊。
[00:29:32.166–00:29:38.860] 对吧肯定是有理念上的差异呀，甚至都是不同阵营的，不同帮派的，不同种族的攻击他呀。
[00:29:39.366–00:29:40.684] 让他们之间产生误会。
[00:29:41.158–00:29:42.028] 产生摩擦。
[00:29:43.142–00:29:44.076] 甚至决裂。
[00:29:45.478–00:29:48.268] 对吧攻击他的人物关系。
[00:29:48.806–00:29:51.180] 我们说攻击大劲儿了，那就直接就失去了。
[00:29:51.974–00:29:56.204] 伙伴死了65分钟，伙伴死了，给他干死了。
[00:29:56.870–00:29:57.356] 对吧。
[00:29:58.150–00:29:58.860] 我们说你看。
[00:29:59.366–00:30:07.084] 攻击目标，攻击主角，可以攻击他的人，也可以攻击他的人物关系。但是攻击他的人，攻击他的人物关系，我们最终。
[00:30:08.198–00:30:09.068] 是想攻击什么呢？
[00:30:09.830–00:30:10.444] 最终。
[00:30:10.950–00:30:15.084] 归根到底，还是要攻击他的行动目标呀。
[00:30:15.910–00:30:20.012] 最终归根到底，攻击了还是他的行动目标。
[00:30:21.510–00:30:22.188] 所以你看。
[00:30:25.702–00:30:33.484] 你的剧本缺乏攻击性，是因为你没有理清楚攻击源来自于环境对手自己攻击目标。
[00:30:34.022–00:30:34.828] 攻击的是。
[00:30:35.430–00:30:37.388] 我们主角人本身。
[00:30:37.894–00:30:40.012] 他的人物关系以及他的行动目标。
[00:30:41.190–00:30:52.876] 这样理清楚了之后，你现在检查你手里的剧本是28课的作业也好，还是你以前写的也好，我们来捋一捋你的攻击攻击点全不全。
[00:30:53.542–00:30:54.156] 假设。
[00:30:54.662–00:30:56.460] 来，我们先看环境。
[00:30:57.830–00:31:05.356] 环境是攻击员，这里这里发波，这里往外发波打他好吧，从这里往那边攻击。
[00:31:05.990–00:31:08.204] 环境比如说第一个环境大自然。
[00:31:09.510–00:31:11.020] 大自然可以攻击谁？
[00:31:11.782–00:31:15.052] 我们说你看我们就往这边连线就可以了啊。
[00:31:19.654–00:31:22.124] 大自然可以攻击主角本身吧。
[00:31:22.758–00:31:25.228] 大自然可不可以攻击主角的肉体？
[00:31:27.270–00:31:27.948] 可以吧。
[00:31:28.742–00:31:42.060] 这个这个这个大自然出的这个这个出了点什么问题，树倒了，山上石头下来了，给主给主角腿干断主角行动的关键时刻，对吧？大自然给你当头一棒子。
[00:31:43.782–00:31:44.428] 可以有吧。
[00:31:45.062–00:31:47.916] 大自然折磨你的精神可以有吧。
[00:31:49.990–00:31:52.172] 大自然折磨你的缺陷有没有？
[00:31:53.126–00:31:54.508] 有啊，太多了呀。
[00:31:55.366–00:31:57.068] 我们说来常见的缺陷。
[00:31:58.630–00:32:01.356] 海贼王那个luy不会游泳。
[00:32:02.022–00:32:05.068] 怕水来怕水来水嘛。
[00:32:05.766–00:32:07.852] 你怕水，我们就来水嘛，发大水。
[00:32:08.454–00:32:09.932] 对吧大水拦路。
[00:32:11.206–00:32:14.476] 大自然攻击你的缺陷呀，你缺啥呢？攻击你啥呀？
[00:32:15.782–00:32:16.236] 对吧？
[00:32:18.118–00:32:19.756] 大自然也可以控击你的技能呀。
[00:32:20.262–00:32:21.644] 比如说你的技能是什么呢？
[00:32:23.878–00:32:34.380] 我们常见的技能，比如说神枪手是我们主角的常见技能吧。神枪手那大自然的起大悟了，啥也看不见，能见度没有了。
[00:32:34.918–00:32:37.452] 对吧冰雪豹里面冰雪报里面那个。
[00:32:38.214–00:32:39.084] 那个大雪。
[00:32:39.686–00:32:41.548] 大到完全没有能见度。
[00:32:42.502–00:32:43.628] 攻击你的技能。
[00:32:44.326–00:32:45.452] 让你的技能无效。
[00:32:46.342–00:32:54.444] 对吧同理大自然也可以攻击你的紧箍咒，攻击你的身份，攻击你的武器都可以，对吧？
[00:32:56.390–00:32:58.092] 它自然的水给你把雾器。
[00:32:58.790–00:32:59.596] 那个那个。
[00:33:00.166–00:33:03.116] 子弹都给弄湿了，打不着了，那你看咋整？
[00:33:05.126–00:33:06.604] 这就是你看从大自然角度。
[00:33:07.110–00:33:07.884] 可以攻击。
[00:33:09.318–00:33:12.620] 这么多，然后大自然来攻击人人物关系不行吗？
[00:33:14.534–00:33:15.436] 也可以啊。
[00:33:16.070–00:33:18.444] 大自然攻击你的目标不行吗？
[00:33:20.102–00:33:23.212] 然后社会环境可不可以攻击这些。
[00:33:23.846–00:33:25.420] 一样都可以再连一遍。
[00:33:26.246–00:33:27.500] 一样都可以再连一遍。
[00:33:28.838–00:33:29.228] 对吧。
[00:33:30.342–00:33:31.244] 攻击你的。
[00:33:31.878–00:33:32.876] 我们说社会环境。
[00:33:33.766–00:33:35.052] 就社会很复杂呀。
[00:33:35.622–00:33:39.596] 对吧很不友好呀，环境不友好。你看啊我说那个。
[00:33:42.406–00:33:43.052] 赵本山。
[00:33:43.718–00:33:48.332] 赵本山早期的电视剧，每一部只要他进城，立马丢钱包。
[00:33:49.286–00:33:52.236] 你去看一看，他只要进城立马就抢包。
[00:33:52.742–00:33:59.532] 就社会环境永远对他不友好，你知道吧？那偷他钱，把他重要道具武器给拿走了，是吧？
[00:34:00.198–00:34:01.324] 这个就那个嘛。
[00:34:02.246–00:34:08.844] 这一下就是给你当头一棒嘛，对吧？所以说社会环境也可以攻击方方面面。
[00:34:09.798–00:34:11.788] 当然人这里啊还有一个常用的啊。
[00:34:12.294–00:34:16.524] 那个攻击你的自由，这个也非常常见啊，困住。
[00:34:17.638–00:34:25.260] 这个一般用场景来解决。你看看啊英雄英雄人物单一大男主的那种戏主角在。
[00:34:27.142–00:34:32.492] 执行任务的过程中，必然有被绑起来关起来。
[00:34:33.990–00:34:36.236] 倒挂起来的时候，你们自己去看。
[00:34:37.254–00:34:45.996] 永远会被攻击人生自由，有时候是场景攻击他，有时候是对手把他绑起来，对吧？就这个有时候是自己犯错。
[00:34:46.822–00:34:52.876] 踩到陷阱，把自己捆起来。所以人身自由啊也是一个常用的被攻击的地方。
[00:34:55.558–00:34:57.196] 下面我就不用给你举例子了吧。
[00:34:57.670–00:35:13.868] 大家就是自己去连了，比如说对手可不可以攻击你的肉体，就直接削你不就完了吗？对手攻击你的精神，对手攻击你的缺陷，对吧？对手偷走你的武器，对吧？对手把你拴起来，对手知道了你假身份的秘密。
[00:35:14.662–00:35:16.716] 对吧都可以攻击呀。
[00:35:17.638–00:35:30.508] 所以你看很多同学老师说哎呀，我写不出剧情，我不知道怎么样大让他贴跌宕起伏。你看你这么去理解，我们用方法去解决这个问题，三个公击员。
[00:35:31.206–00:35:36.012] 三种攻击目标，然后里面再细分一下，你看看你能连出多少种排列组合。
[00:35:36.774–00:35:41.260] 当然不是每一种都适用于你的电影，你也不要给他搞那么满啊。
[00:35:41.958–00:35:46.156] 同学不要就挨个给我来一下啊，挨个来一下，你这个电影就爆了。
[00:35:46.726–00:35:49.036] 你这个主角可能就被攻击死了。
[00:35:49.542–00:35:50.860] 对吧遍体了营沙了。
[00:35:51.590–00:35:52.876] 那个倒没有必要啊。
[00:35:53.414–00:35:53.996] 但是呢。
[00:35:54.694–00:35:59.724] 你可以我说的是共性的问题，就是你们的剧本普遍缺乏攻击性。
[00:36:00.710–00:36:03.852] 你去从这些角度自己去给我连一连线。
[00:36:04.486–00:36:07.788] 连一连线，看能能打出多少种打法。
[00:36:09.030–00:36:10.028] 修改一下你的局。
[00:36:10.918–00:36:14.380] 呃，这种排列组合啊，在你写电视剧的时候。
[00:36:15.430–00:36:18.252] 反而更得心应手，为啥呢？因为你真的可以。
[00:36:20.102–00:36:31.372] 五花八门的都来一遍，因为电视剧它的体量大呀，时长长呀，主角经历的事情多呀。在电影当中啊，你自己选择自己取舍，看你主要想放大哪方面。
[00:36:32.486–00:36:34.412] 但是不要跟我说，你没东西。
[00:36:35.142–00:36:40.620] 没有攻击点，没有攻击性，那你就不对了，只会多不会少。
[00:36:41.766–00:36:46.540] 同学们理解这个表啊，三个这里三个这里三个，然后自己去连。
[00:36:47.206–00:36:53.740] 好不好？这节课就讲这个实用小知识，大家去修改一下你上节课的作业，好吧。
[00:36:54.790–00:36:55.180] 下课吧。
