P074 编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧
[00:31:25.702–00:31:47.260] 所以说我们探讨这三个问题，可以没有答案，你也可以有你自己的答案。我们来看一下这个戏，我给大家讲单场啊，有些单场确实是节奏掉下来啊，看一下这个找金总这个包括找这个找他妹这个啊，节奏就掉下来。你们记得吧？十5和17。
[00:31:48.422–00:31:49.676] 给大家看一下啊。
[00:31:51.750–00:31:55.852] 节奏掉的一塌糊涂啊哦十5拍42分没容么意。
[00:32:27.366–00:32:27.820] 不玩。
[00:32:43.718–00:32:45.548] 浪溃。
[00:32:47.142–00:32:48.204] 圈儿啊。
[00:32:48.998–00:32:50.124] 没容意呢。
[00:32:51.654–00:32:53.868] 今天激动梗啊。
[00:32:54.470–00:32:56.236] 那你忙吧哎。
[00:32:58.214–00:32:59.084] 哎。
[00:33:14.310–00:33:15.884] 一呢这这这时间呢。
[00:33:19.334–00:33:21.804] 我哎呦我哎呦，我的哎呦。
[00:33:23.590–00:33:27.276] 往那头走啊，9号房间里头有线索拿来往那边。
[00:33:28.134–00:33:32.204] 吓我干啥，吓他们。
[00:33:38.278–00:33:38.796] 在误导我们。
[00:33:39.398–00:33:41.068] 这个人也是剧情里的一部分。
[00:33:41.702–00:33:42.508] 我呢。
[00:33:43.206–00:33:45.740] 一会儿谁都没行就可拿走。
[00:33:56.710–00:33:57.196] 嗯。
[00:34:23.430–00:34:24.236] 咋来了呢？
[00:34:26.086–00:34:48.092] 人都死了，还传人闲话，不怕遭报应啊。而闲话是关键线索和记生裸娟姐，你是不是说人是小姐了？裸娟姐，紧跟实是我澄心的那不是我说的啊，那杨玉婷说的，你不是哥斯拉啊，我不是哥斯拉，我是大猩猩，不是哥斯拉，是大猩猩，杨玉婷谁呀？
[00:34:48.678–00:34:49.452] 杨宁。
[00:34:50.438–00:34:52.588] 我兼职的时候认识的朋友。
[00:34:53.190–00:34:59.372] 你这么的，你行你下来下来下来打电话给他来啊。
[00:35:06.246–00:35:10.828] 下来呀啊，为平安，我有遥控器咋了？
[00:35:11.334–00:35:12.428] 谁看电视。
[00:35:13.318–00:35:22.380] 哥，你和那个罗娟姐韩露啥关系，啥关系？他是我客户客户问哎哎，那你俩。
[00:35:22.950–00:35:23.660] 没咋地吧。
[00:35:24.550–00:35:26.476] 咋地能咋的嗯。
[00:35:27.590–00:35:29.004] 你等我拿手机摇。
[00:35:31.814–00:35:34.860] 快回来了嗯嗯。
[00:35:36.870–00:35:50.124] 去了花姐嗯，上回你说那个是吧？这段戏很长啊，我们说接下来还有一段戏更长10分钟。这段来找贾冰的戏竟然长达15米。
[00:35:54.310–00:35:55.692] 金董事长办面师。
[00:36:02.790–00:36:03.468] 吃饭呢。
[00:36:04.806–00:36:06.284] 有病，别传染你。
[00:36:07.174–00:36:13.196] 对了，你那个检查结果啊出来了，血脂稍微有点高，反正就当体检了。
[00:36:16.070–00:36:18.540] 寒路人家是老刘走的。
[00:36:19.686–00:36:20.972] 72号。
[00:36:21.574–00:36:21.996] 。
[00:36:24.230–00:36:25.772] 金董事长在里头等你们。
[00:36:29.094–00:36:33.580] 人呢？有事，您对着话筒说，金董事长是话筒的。
[00:36:34.662–00:36:35.212] 这话的。
[00:36:35.910–00:36:38.412] 新董事长很忙，今天云办公。
[00:36:39.046–00:36:39.436] 。
[00:36:42.694–00:36:43.564] 你好。
[00:36:46.502–00:36:48.204] 喂，没开呢。
[00:36:50.630–00:36:51.532] 董事长。
[00:36:53.222–00:36:53.964] 说。
[00:36:56.262–00:36:57.004] 尽会。
[00:36:57.638–00:37:01.452] 首先做一下自我介绍，本人来自说正事。
[00:37:02.598–00:37:12.012] 据可靠消息透露，前不久在一次聚会上，您说给福利院捐款的韩璐是坐台小姐，下一个。
[00:37:12.934–00:37:14.508] 二位请回吧。
[00:37:17.382–00:37:25.196] 我还没唠完呢，一旦金董事长说下一个就代表已经唠完了。那我要想再唠会儿呢，那您得重新排队。
[00:37:27.110–00:37:27.724] 嗯。
[00:37:35.046–00:37:53.036] 你找金董事长办点事儿，97号这段我们就不看了啊，这段10分钟确实有点长了。嗯，这就是我给大家说的啊，第一二幕呢稍微有点冗长，不紧张，事件之间呢有点割裂。然后呢遇到这些事情呢。
[00:37:53.990–00:38:14.108] 不在主线任务上啊，就是这个假边人知导障碍吧，没有什么道理啊，然后呢，其实应该把这样的创造力和篇幅放在三四目解决问题上啊，放在主线剧情上。呃，但是三四目呢就用追逐系来解决问题，这个就就导致了一二目投重三四目脚轻。
[00:38:14.182–00:38:34.108] 同时呢由于女儿的这个成长位置啊放的也这个略早啊，这个节儿我们知道最后是大危机，这个基本上是名盘啊，女儿所以说这个还早啊，这是整个片子几个问题。但是强调一下啊，我们为了学习，我们才去找问题，找其他的可能性，啊，并不代表否认这个片子，好吧。
[00:38:34.182–00:38:40.972] 呃，这部片子啊这部片子还是非常好的啊非常好的。整个片子来说，那谁的事，我认为是。
[00:38:41.510–00:38:49.772] 被低估的一个国产电影啊，整个剧情的完转完这个这个完整度以及这个主题的高度啊都是很不错的。
[00:38:50.502–00:39:09.772] 另外这部片子啊，他其实也讲了很多的这个很多的细节和彩蛋啊，比如说这个反派这个421421实际上就是之前有网络造谣事件啊，那个人的网名就叫421啊，这个一个比较有趣的一个小彩蛋吧啊。另外这个片子其实还有一个彩蛋啊，我不知道大家有没有注意。
[00:39:10.534–00:39:16.204] 为平安的这个出场，这个衣服的颜色，这个头发的颜色，这是谁这是致敬谁呀？
[00:39:17.414–00:39:19.212] 屎黄色的西装。
[00:39:19.750–00:39:21.132] 小丑啊小丑。
[00:39:22.022–00:39:27.820] 另外啊这个白马啊用白马做比喻，其实这也是一些传统的一些暗喻手法。
[00:39:28.550–00:39:30.412] 啊，另外这部片呢还有这个这个。
[00:39:31.110–00:39:39.084] 这个彩蛋就是纪念撒哥啊，纪念撒哥我们说这几年的这部片这类片子啊都都会拿来和这个。
[00:39:39.590–00:39:54.636] 我不是药神做比较啊，嗯，这类片子有一个共同的特点，就是上来是一个小人物啊，小人物然后呢遇到一个事情，然后分段去解决这个问题，分呃基本上是分两个大段，前半段是一个目标，后半段是一个目标。
[00:39:55.782–00:40:06.060] 然后呢，之前的设定呢可以逐步揭开。比如说这个呃人家为什么不愿意跟魏露葬在一起啊，逐步揭开，先是揭开一层纱，说他是做台坐台小姐。
[00:40:06.566–00:40:10.604] 再揭开第二层纱，对吧？呃，他又是弟弟的前前女友。
[00:40:11.558–00:40:19.340] 然后在第二第二段呢把这个事情做到一个升华啊，做到一个升华。最后呢呃主角实现一个牺牲和成长。
[00:40:19.846–00:40:40.764] 呃，伴随着成长必须有牺牲啊，这种小人物成长的这种电影跟到上海了，我们说都会拿来跟我不是药神做比较，实际上确实也非常像啊，就是一个普通人遇到一个事儿，然后呢呃逐步的解决这个问题，也逐步的升华这个问题，牺牲和成长啊，做到牺牲这类电影都是这么写的啊。
[00:40:41.798–00:41:03.740] 同学们在呃通过这个片子，我们学几件事情。第一个学会我不是药神这种小人物成长类型的这种故事戏。上来呢一般打成一个地溜子啊，打臣。然后呢，但是呢他的底线是对家庭负责任，对朋友讲义气，对吧？他可以贪财，他可以好色，但是呢他对家庭和孩子是是是负责任的啊，对朋友也是讲义气。
[00:41:03.814–00:41:24.444] 然后呢让他遇到一个事儿啊，遇到这个事儿，开始呢是一个一种目标。后来呢目标升华。然后呢，解决这个问题的过程中，自己自己遭受一个巨大的牺牲，然后呢同时获得一个成长。这个类型的片子肯定会拿来跟药神做比较的啊，这是我们要学的第一件事情。第二件事情，这个片子比药神高明的。
[00:41:25.094–00:41:25.644] 一点。
[00:41:26.566–00:41:36.460] 是下一个他女儿那条线，所以你要知道啥，我们说他女儿那条线在这个电影当中是一个极大的加分项，因为是同一个主题，另外一个角度。
[00:41:37.798–00:41:44.236] 我们说一个小孩，一个小女孩，实际上更容易遭受网络暴力。
[00:41:45.510–00:42:06.428] 嗯，这个片子的高明之处呢是小女孩那条线。我跟大家讲过啊，像像极了金时漂流记。第三，我说这部片子还有什么可取之处呢？父女关系这个片子的父女关系做的是要比普通的片子好一些的。
[00:42:06.502–00:42:27.996] 普通的片子，你像我不是药神啊，也不不是药神，不是普通的片子啊，但是他是普通的父子关系，会做一个传统型的父子关系。当然也是因为他也没后面也没有给人家给这个孩子戏份嘛。但是在这个戏里，为平安和他的女儿的关系做的非常好。我们说是一个典型的正戏反写。
[00:42:29.030–00:42:44.524] 一个爸爸入狱的入狱好几年的这样一个女儿，她必然是坚强，必然是懂事的，必然是嫌弃爸爸不靠谱的，而且嫌弃就明着嫌弃也没有什么嘛。
[00:42:45.126–00:43:05.500] 我觉得父亲不靠谱，所以少来我的家长会，但是呢我还是喜欢看他直播，还是喜欢跟他沟通的。但是你别来别染头发，对吧？正常的关系是家长要求小孩不要染头发，因为小孩爸爸入狱，小孩缺乏管教，小孩染头发。但是在这部戏里面是爸爸染头发，小孩管教他。
[00:43:06.502–00:43:29.852] 我们说这个父女关系做的也是非常好。而且同学们有有没有发现一个问题啊，就是这个小女孩的演技实在是太好，人家不是喜剧演啊，演技太好啊，所以说这个在这部电影里确实喜剧演员有点多了啊，喜剧演员当然演技好但是他就喜欢演喜剧，你说咋整拦不住他。
[00:43:30.278–00:43:51.900] 所以这部电影还是有很多可以学习的地方的啊，人家的细节的设定，各种彩蛋，各种装造，每一个道具啊，每一个出现的道具都很细心啊，都有都有梗，都是一些那个那个那个很有趣的设计，对吧？那个包括那个大鹏去追那个421追到网吧。
[00:43:52.198–00:43:54.028] 然后那个421拿什么打他？
[00:43:54.694–00:43:58.252] 拿拿拿键盘打的是吧？所以说这个。
[00:43:59.334–00:44:19.868] 还是挺有意思的啊还是挺有意思。这部电影啊细节满满，诚意满满啊，呃，创作者还是给我们呈现了一个非常有趣的非常有趣的一个电影。嗯，我认为他的评分也好，它的票房也好，都被低估了啊，都被低估。当然他有他的问题啊，但是呃我在课上讲过一个片子的问题，我们可以说。
[00:44:19.942–00:44:37.228] 系但是人家当时你说有没有想过这些问题，好不也就是没想到更好的办法呗。好吧，司那这节课就上到这，嗯，拜拜各位。
