P056 三十课-人类为什么需要影视剧30
[00:26:06.086–00:26:19.212] 你现在回去把那个片子看一看，能尬死你那个剧情拉胯到不是简直令人发指，你知道吧？但是为什么呢？因为当时那个武侠片你有你有多少选择？
[00:26:19.750–00:26:21.324] 对吧你没有什么选择。
[00:26:23.814–00:26:27.276] 但是现在不一样了啊，现在这个形势确实很严峻。
[00:26:28.038–00:26:32.876] 艺术留给艺术的这个时间很少，留给艺术的时间很少。
[00:26:35.014–00:26:41.132] 这是一个现状。那我们说来这是艺术的定义。我们说它是语言表达的一种补充。
[00:26:42.182–00:26:46.636] 我们说那影视呢我们具体到我们的影视。
[00:26:51.974–00:26:53.868] 影视作品是个啥嘞？
[00:26:57.158–00:26:59.564] 影视作品当然也是语言表达的一个补充啊。
[00:27:00.134–00:27:01.196] 他表达什么嘞？
[00:27:02.118–00:27:04.428] 他主要表达什么呢？影视作品。
[00:27:04.902–00:27:17.580] 影我们说影视作品啊，它其实是一个新兴的东西啊，它比起其他的艺术形式，它其实时间要比较短，出来的比较晚，对吧？因为它是随着技术革新出来的嘛。
[00:27:18.534–00:27:20.076] 我们说那影视作品。
[00:27:21.382–00:27:22.124] 他是个什么呢？
[00:27:24.294–00:27:25.324] 影视作品啊。
[00:27:25.990–00:27:29.452] 严格来说，它其实是一个综合性的。
[00:27:31.174–00:27:32.108] 艺术形式。
[00:27:33.318–00:27:35.372] 它里面有影像吧。
[00:27:36.198–00:27:37.228] 有画面吧。
[00:27:38.438–00:27:42.508] 我们说它里面也有台词吧，有文学吧。
[00:27:43.718–00:27:45.324] 我说它里面还有音乐吧。
[00:27:46.310–00:27:46.956] 是不是啊？
[00:27:48.166–00:27:58.572] 而且这些东西组合在一块以后，我们还可以用剪辑的方式，剪辑艺术，对吧？蒙太奇又又再进行一遍加工。
[00:27:59.366–00:28:01.420] 所以他其实是一个综合性的。
[00:28:02.182–00:28:03.180] 艺术形式。
[00:28:04.678–00:28:05.804] 很难有一个。
[00:28:08.742–00:28:10.188] 特别具体的定义。
[00:28:10.950–00:28:12.428] 我们这里呢就引用。
[00:28:14.822–00:28:16.684] 费里尼的定义吧。
[00:28:17.414–00:28:18.412] 费里尼说。
[00:28:19.366–00:28:20.588] 影视作品啊。
[00:28:21.126–00:28:22.156] 其实是。
[00:28:23.302–00:28:24.652] 关于梦境的描绘。
[00:28:25.990–00:28:27.660] 我觉得这个还是比较。
[00:28:28.870–00:28:29.420] 贴切的。
[00:28:30.086–00:28:31.180] 关于梦姐的描绘。
[00:28:32.166–00:28:34.860] 影视作品啊其实就是一个梦。
[00:28:36.614–00:28:41.068] 就是一个梦。当然这个梦啊不是严格指你睡觉做的那种梦。
[00:28:41.766–00:28:45.452] 费里尼的观点认为啊，每个人都生活在梦境里啊。
[00:28:47.078–00:28:48.748] 每个人都生活在梦境里。
[00:28:49.222–00:28:56.012] 就是你有你的梦，你有你的梦，你们每个人活在自己的梦境里。因为你构建了你。
[00:28:56.550–00:29:05.964] 对你自己的认知，对世界的认知，对价值观的认知，以及对逻辑对世界运行方式的认知，都是你自己认为的。
[00:29:06.534–00:29:09.100] 你看到东西跟我看到的东西实际上不一样。
[00:29:09.830–00:29:14.892] 然后每个个体自己的梦，你看到的你自己的东西。
[00:29:16.006–00:29:16.908] 称之为。
[00:29:18.150–00:29:18.828] 真实。
[00:29:19.846–00:29:27.596] 称之为你个体的真实。但对于别人来说，未必是真实的对吧？就像我之前说过一般毛病的时候。
[00:29:28.422–00:29:32.780] 你认为你的长相跟别人看到你的你的长相可不一样啊。
[00:29:33.254–00:29:33.772] 对吧？
[00:29:34.438–00:29:36.556] 你的那个涨相就是个梦呀。
[00:29:37.894–00:29:39.820] 就是个梦境呀，对不对？
[00:29:40.710–00:29:41.932] 所以菲里尼认为啊。
[00:29:42.534–00:29:44.684] 每个人活在自己的梦境里面。
[00:29:45.414–00:29:47.564] 然后呢，那影视作品类。
[00:29:49.862–00:29:50.668] 共同的梦。
[00:29:52.006–00:29:53.836] 他就是我们大家共同的梦。
[00:29:54.470–00:29:55.372] 共性的梦。
[00:29:56.806–00:29:58.828] 所以我觉得这个定义是靠谱的。
[00:29:59.590–00:30:01.100] 影视作品是对。
[00:30:01.574–00:30:02.604] 梦的描绘。
[00:30:03.718–00:30:05.452] 是对大家一个共同的。
[00:30:06.374–00:30:08.780] 梦梦想的一个描绘。
[00:30:09.702–00:30:15.500] 那既然这样啊，我们来看一下影视作品，相对于其他艺术形式啊，它有什么优缺点。
[00:30:16.966–00:30:18.540] 知道优缺点，我们就知道。
[00:30:19.142–00:30:19.916] 如何？
[00:30:21.094–00:30:22.220] 做好我们的。
[00:30:22.886–00:30:23.628] 影视作品。
[00:30:24.742–00:30:25.516] 刚才说了。
[00:30:26.726–00:30:28.300] 影视作品的优点是什么？
[00:30:31.014–00:30:35.628] 比起其他艺术形式啊，影视作品的优点啊其实是。
[00:30:36.198–00:30:36.780] 全面。
[00:30:37.958–00:30:43.180] 就是他表达方式的全面。我们说他是他是语言表达的补充嘛，他啥都能补。
[00:30:44.358–00:30:46.860] 他的表达方式非常的全面。
[00:30:47.910–00:30:48.908] 非常的。
[00:30:51.206–00:30:51.948] 绚丽。
[00:30:52.678–00:30:58.764] 非常的引人注意，引人入胜，对吧？黑格尔说嘛影视就最主要的是引人入胜啊。
[00:31:01.350–00:31:04.012] 这是他的优势啊这是它的优势啊。
[00:31:04.838–00:31:07.116] 就是全面引人入胜。
[00:31:08.294–00:31:09.164] 包容性强。
[00:31:09.670–00:31:13.868] 对吧我们说你看有很多同学之前跟我说，他说。
[00:31:15.526–00:31:18.444] 我们看菊次郎的夏天主要是听歌的。
[00:31:18.950–00:31:22.476] 主要是听音乐的，没有音乐，这个片子就铺街了。
[00:31:23.430–00:31:24.588] 哎，哎，你可以这么认为。
[00:31:25.190–00:31:33.548] 可以这么认为，对吧？这很正常。你看这这但这不就是影视作品的优势嘛，对吧？他就靠音乐把你拿下了嘛。
[00:31:36.422–00:31:39.052] 所以影视它的优点。
[00:31:40.678–00:31:41.996] 其实是全面。
[00:31:43.366–00:31:44.044] 全面。
[00:31:45.062–00:32:05.020] 也更容易吸引人，因为他手法多，对吧？他有视觉的听觉的对吧？然后那个这个这个有音乐，有特效对吧？啊，里面也有这个好的台词，另外就是这个这个又这个这个还有好的剪辑，对吧？这些都是可以吸引你的很全面。
[00:32:06.502–00:32:08.044] 我说那他就没有缺点嘛。
[00:32:08.550–00:32:10.220] 优点跟缺点永远是并存的。
[00:32:10.982–00:32:11.756] 我们说。
[00:32:12.678–00:32:13.452] 来。
[00:32:16.550–00:32:27.020] 影视作品我们说它是它也是语语语言表达的补充，它其实更是文学表达的补充，对吧？那么影视出来之后。
[00:32:30.726–00:32:31.916] 文学受冲击了吗？
[00:32:33.062–00:32:34.220] 小说受冲击了吗？
[00:32:36.742–00:32:38.124] 短暂性的受果。
[00:32:38.630–00:32:45.100] 因为你刚出来的时候啊，大家总是爱跑去看电影，很时髦，对吧？但是迅速的。
[00:32:45.766–00:32:46.476] 迅速的。
[00:32:47.366–00:32:49.420] 小说又拿回了自己的。
[00:32:49.926–00:32:50.572] 阵地。
[00:32:51.174–00:32:53.708] 我们说来影视作品里面有歌。
[00:32:54.566–00:32:56.460] 呃，你能冲击到流行音乐吗？
[00:32:57.478–00:33:01.420] 我跟你说，从全球范围来看啊，顶级明星永远是歌手。
[00:33:02.438–00:33:09.772] 影视作品啊影视呃影视顶流永远比音乐顶流赚钱要少那么一点。
[00:33:11.174–00:33:13.836] 美国是这样，他们中国其实也是这样的，是吧？
[00:33:15.110–00:33:16.268] 只是那些歌手。
[00:33:18.310–00:33:19.500] 赚那么多钱，你不知道。
[00:33:20.422–00:33:21.964] 他们不太容易成为靶子。
[00:33:24.262–00:33:26.028] 什么意思啊？就是。
[00:33:27.110–00:33:32.428] 影视作品当然有自己的优点，但是缺点同样非常明显。
[00:33:33.094–00:33:34.732] 就是影视的缺点。
[00:33:35.654–00:33:43.372] 非常明显就是什么嘞？就是留给观众想象的空间比较少。
[00:33:45.478–00:33:46.860] 留给观众。
[00:33:47.590–00:33:48.524] 参与的。
[00:33:49.670–00:33:50.220] 比较少。
[00:33:51.206–00:34:00.364] 这个等一下我讲一下为什么这是一个缺点，而且很大的一个缺点就是留给观众的空间少，留给观众参与的东西少。
[00:34:01.350–00:34:05.164] 书上有个词叫心理空间，对吧？就是留给你心理。
[00:34:05.990–00:34:10.444] 想象的这个空间参与的这个参与创作的这个空间比较少。
[00:34:11.142–00:34:15.884] 好吧，那我们了解这个优缺点，我们就应该扬长避短。
[00:34:17.158–00:34:19.372] 扬长避短。那我们先说一下。
[00:34:20.198–00:34:22.124] 这个缺点为什么？
[00:34:22.790–00:34:23.340] 会。
[00:34:24.838–00:34:28.492] 称之为缺点。好吧，那我们就要了解一下。
[00:34:33.126–00:34:33.900] 审美的原因。
[00:34:34.854–00:34:43.564] 审美的原理，因为艺术啊你总要去审审美它嘛，对吧？审美到底是个什么什么机制呢？
[00:34:45.382–00:34:47.500] 我们为什么要去看？
[00:34:47.974–00:34:54.028] 艺术作品呢我们去花时间，花精力。我们说呃ten加 time。
[00:34:54.822–00:35:00.844] 精力和时间注意力和时间。这个注意力啊在那个美学里面。
[00:35:01.574–00:35:05.292] 余秋雨老师说啊，这个这个注意力是。
[00:35:06.310–00:35:16.236] 艺术作品的生命线呀，对吧？你甭管你是什么艺术，你首先得吸引到大家的注意嘛，吸引到大家的注意，然后让大家花时间去看。
[00:35:17.286–00:35:19.180] 他他才能称之为艺术嘛。
[00:35:20.614–00:35:22.828] 所以说我们了解一下这个。
[00:35:23.718–00:35:24.108] 审美。
[00:35:25.254–00:35:29.132] 我们为什么会去花时间去欣赏一个。
[00:35:29.798–00:35:30.380] 东西。
[00:35:31.014–00:35:33.196] 或者我们称之为艺术，欣赏一个艺术类。
[00:35:33.670–00:35:34.284] 为什么？
[00:35:36.070–00:35:36.908] 什么心态呢？
[00:35:39.078–00:35:45.196] 为什么会去喜欢看一个东西呢？我们说我们花时间去看小说也好，花时间去。
[00:35:47.814–00:35:51.372] 看电影或者追一个剧，花的时间可不老少。
[00:35:54.630–00:35:57.836] 在这里给大家讲审美的重要心理。
[00:35:58.630–00:35:59.948] 大家一定要记住啊。
[00:36:00.582–00:36:03.468] 审美是一个什么样的心理机制呢？
[00:36:04.230–00:36:05.996] 是一个寻找自我认同的。
[00:36:07.110–00:36:07.820] 建理机制。
[00:36:08.422–00:36:13.324] 就是你永远看的不是别人的美，明白吧？你看到的全是自己的美。
[00:36:14.086–00:36:15.628] 全是在自我认同。
[00:36:16.486–00:36:19.148] 审美不是在审别人，在审自己。
[00:36:19.718–00:36:22.764] 永远在比这个东西来找自己的影子。
[00:36:23.846–00:36:25.740] 这就是审美的最基本的原理。
[00:36:29.414–00:36:39.276] 这也跟费里尼的理论也是相通的，跟美学的理论也是相通的。就每一个个体啊其实永远活在自我的世界里。
[00:36:40.070–00:36:46.220] 就像我我曾经跟这这这这女女女同学说，这女孩子说，我说你不要觉得那个那个。
[00:36:47.654–00:36:50.476] 一个男孩子追你，他是喜欢你。
[00:36:51.110–00:36:52.908] 对吧他是爱你。
[00:36:53.478–00:36:55.436] 本质上其实不是。
[00:36:55.910–00:36:59.404] 本质上他是爱自己，爱你这种感觉。
[00:37:01.990–00:37:03.884] 他是爱自己，爱你这个过程。
[00:37:04.454–00:37:07.084] 他爱的还是自己，本质上是这样的。
[00:37:07.782–00:37:11.084] 他从你这里获得他的满足感。
[00:37:12.550–00:37:18.604] 明白吧？就哎就这再举个例子，我课长也曾经举过这个例子，我说我刚入行的时候。
[00:37:19.238–00:37:23.372] 刚赚点钱很骚包的时候，我我喜欢那个那个那个资助。
[00:37:24.102–00:37:28.812] 贫贫贫困地区的小孩读书，对吧？
[00:37:30.054–00:37:31.628] 你觉得我是爱他们吗？
[00:37:32.614–00:37:34.124] 我根本不认识他们呀。
[00:37:35.558–00:37:36.332] 能明白吧？
[00:37:36.998–00:37:38.476] 不就是在爱自己。
[00:37:38.982–00:37:40.108] 爱自己。
[00:37:40.870–00:37:45.964] 这个过程爱自己这个这个状态，爱自己这个行为。
[00:37:46.758–00:37:49.132] 爱的是自己，因为你根本不认识。
[00:37:49.638–00:37:50.892] 那些小朋友。
[00:37:51.462–00:37:52.492] 你不认识他们。
[00:37:53.030–00:37:57.100] 对吧而且我还说更极端的还要专门去挑什么。
[00:37:58.310–00:37:59.564] 那个那个那个。
[00:38:00.262–00:38:05.708] 藏族名字的小孩，对吧？最好还得是小女孩，对吧？
[00:38:06.214–00:38:17.516] 啊，这个名字还得有异域风情是吧？迪丽热巴什么什么的什么的对吧？资资助一个，为啥呢？你你你怎么可能爱的是热巴呢？
[00:38:18.054–00:38:21.836] 你爱的是你自己这种这个这个这个行为。
[00:38:23.270–00:38:25.484] 所以审美啊它就是这样一个道理。
[00:38:26.566–00:38:32.684] 审美从本质上是我们观众从艺术作品里面寻找的自我认同。
[00:38:34.214–00:38:35.692] 了解这个原理很重要。
[00:38:36.454–00:38:37.100] 为啥呢？
[00:38:38.822–00:38:39.564] 这不就在这儿吗？
[00:38:41.766–00:38:45.996] 参与感弱，自我他的自我认同找的少。
[00:38:47.078–00:38:50.188] 是影视作品先天的劣势。
[00:38:51.974–00:38:56.716] 做所有的事情啊都是扬长避短。我们知道我们的优势是什么，对吧？
[00:38:57.414–00:39:00.204] 我知道我们的优势是什么，那我们也要。
[00:39:02.790–00:39:15.820] 想办法去弥补我们的劣势，这样我们不就能够立于不败之地吗。所以做事情的原理啊，为什么先讲这些做事情的原理就是这样，我们要知道我们的优点是什么，发扬它缺点是什么？克服他。
[00:39:16.678–00:39:17.708] 对吧回避他。
[00:39:18.278–00:39:19.052] 吧，弥补它。
[00:39:19.590–00:39:21.356] 所以就是这样一个。
[00:39:22.342–00:39:24.524] 审美它是就是这么一个现实。
[00:39:26.086–00:39:26.828] 有点。
[00:39:29.030–00:39:32.460] 可能有点这个这个残酷，但确实就是这样。
[00:39:32.966–00:39:34.508] 我之前还讲过一个例子。
[00:39:36.070–00:39:38.540] 还讲过一个例子，我说关于这个。
[00:39:40.422–00:39:41.228] 审美啊。
[00:39:41.766–00:39:45.132] 审美就是寻找自我认同。我还讲过一个例子。
[00:39:45.670–00:39:46.668] 我们同学们都。
[00:39:47.302–00:39:51.916] 爱玩这个短视频是吧？都都都平常会看短视频。
[00:39:52.582–00:39:54.028] 曾经讲过一个例子。
[00:39:55.622–00:40:00.524] 短视频里面啊有一种视频啊，我每次刷到我都挺爱看的。
[00:40:01.414–00:40:02.764] 我说什么啊，就是那种。
[00:40:03.910–00:40:05.612] 海边的或者渔船上。
[00:40:06.150–00:40:09.068] 他们大鱼啊打上来一只海龟。
[00:40:09.638–00:40:15.052] 你没见过啊，或者在海边救了一只搁浅的海龟这种视频。然后呢。
[00:40:15.590–00:40:29.452] 就我的这个海龟发现这个海龟啊浑身长满了藤壶，你们知道藤壶吗？就是那个像像海蛎子一样，对吧？像藓一样长在那个海龟身上，然后这个海龟不堪重负，慢慢的就会死掉。
[00:40:30.950–00:40:39.788] 那么因为那些藤湖会在它身上繁殖，然后呢，这些渔渔民或者是海边的游客在救了这只海龟以后呢。
[00:40:40.422–00:40:46.956] 发现这是搁浅的海龟以后呢，然后就会花费时间去凿，把它身上的藤壶给它凿干净。
[00:40:47.942–00:40:53.292] 然后这个藤这个这个海龟呢就重新恢复了活力，因为它减轻了身体的负担。
[00:40:53.894–00:40:54.540] 然后嘞。
[00:40:55.334–00:40:56.684] 又重新游回大海。
[00:40:57.254–00:41:02.668] 这样的短视频往往配着煽情的音乐，很感人，对吧？因为我们大家也会觉得哇，看着那只。
[00:41:03.142–00:41:25.724] 海龟游进大海深处，甚至刚才好像还回头道谢了呢，对吧？甚至对吧？大家都说你看海归都知道感人还回了其下头，当然了，可能是也有可能让海龟本身是想回头啐一口，对吧？你想多了，但是配上这个文字或者配上解读，配上音乐之后啊，我大家就会很感人。有时候我看这种。
[00:41:26.022–00:41:31.020] 短视频特别是早上情绪比较旺盛的时候，看中短视频甚至都热泪盈。
[00:41:33.606–00:41:35.564] 觉得嗯真好，这个海龟。
[00:41:36.614–00:41:40.588] 又又恢复了，本来他有可能有生命危险啊，对吧？
[00:41:41.094–00:41:41.932] 他游不动了呀。
[00:41:45.734–00:41:46.220] 很感动。
[00:41:47.174–00:41:48.620] 但是我们有没有想过一个问题？
[00:41:50.950–00:41:52.908] 我们为了救一只海龟的生命。
[00:41:53.830–00:41:55.436] 干死了100多只藤壶。
[00:41:57.030–00:41:59.052] 这件事情到底他们善良在哪儿呢？
[00:42:01.446–00:42:03.500] 这件事情到底善良他们在哪？
[00:42:04.454–00:42:04.908] 同学们。
[00:42:06.022–00:42:07.116] 我们真的是。
[00:42:07.622–00:42:09.004] 热爱大自然的人吗？
[00:42:09.862–00:42:12.076] 我们真的有我们想象的那么善良吗？
[00:42:14.022–00:42:14.700] 并不是吧。
[00:42:16.902–00:42:18.348] 藤湖的命就不是命啊。
[00:42:20.230–00:42:20.748] 啊。
[00:42:22.598–00:42:23.244] 你们说为什么？
[00:42:26.086–00:42:26.956] 是因为。
[00:42:28.518–00:42:30.220] 相比于藤湖来说。
[00:42:30.854–00:42:32.428] 海龟长得跟我们更像。
[00:42:33.958–00:42:36.396] 他有头，有眼睛，有鼻子。
[00:42:37.094–00:42:37.964] 有辞职。
[00:42:41.446–00:42:42.060] 明白吧？
[00:42:43.334–00:42:44.300] 所以你说。
[00:42:44.934–00:42:46.092] 你爱海龟吗？
[00:42:47.686–00:42:48.716] 你爱你自己。
[00:42:51.334–00:42:51.980] 明白吧？
[00:42:53.254–00:42:53.836] 明白吧？
[00:42:54.630–00:42:55.212] 恋爱意思。
[00:42:56.838–00:42:58.188] 当然了，差一句啊。
[00:42:59.238–00:43:01.356] 这也是影视作品里面。
[00:43:01.958–00:43:13.388] 这个这个这个这个做共情的一种方式，就与与我们更像的那个东西，更能引起我们的共情。这个回头再具体说啊，在这里我就想告诉大家什么嘞？
[00:43:14.726–00:43:16.972] 审美是寻找自我认同。
[00:43:17.862–00:43:19.116] 你不爱任何人。
[00:43:20.870–00:43:21.868] 你只爱你自己。
[00:43:23.078–00:43:30.924] 这不是什么贬义啊，我今天讲的关于艺术是什么，影视是什什么是什么？没有贬义，全是中性词。
[00:43:31.526–00:43:33.196] 爱你自己没有什么不好。
[00:43:33.702–00:43:36.940] 对吧因为你就是你你以为你就是全世界。
[00:43:37.798–00:43:40.396] 对不对？世界上也有可能只有你呀。
[00:43:41.926–00:43:46.540] 其他任何一个你你看到的别人，看到的老师，看到你的同学。
[00:43:47.046–00:43:48.524] 都是你的投射而已啊。
[00:43:49.798–00:43:51.500] 有可能我们确实就是不存在呢。
[00:43:52.070–00:43:54.924] 你就是全世界，你爱你自己没有什么不好。
[00:43:55.430–00:44:02.508] 好吧，我讲的都是中性的话，中性的话，大家去理解这个原理，明白吧？审美。
[00:44:02.982–00:44:15.340] 永远是审美，永远是寻找自我认同懂了吗？好，那我们接着说啊，来，既然审美是寻找自我认同，然后呢，影视作品。
[00:44:16.454–00:44:19.756] 的缺点就是观众的。
[00:44:22.758–00:44:23.596] 他也敢弱。
[00:44:24.806–00:44:28.620] 那也就是啥呢？就是他找自我认同的时候啊，不是很好找。
[00:44:29.862–00:44:30.668] 明白了吧？
[00:44:31.398–00:44:36.012] 所以你看我们反过来在想这个问题，为什么影视作品混了这么多年？
[00:44:36.486–00:44:39.660] 看起来如此的全面，但其实他谁也干不掉呢？
[00:44:45.158–00:44:46.988] 对吧就是你这个。
[00:44:48.550–00:44:51.756] 影视作品我们说刚开始的时候为什么好？
[00:44:53.382–00:44:57.196] 为什么一电影曾经你随便拍啥都有人看？
[00:44:57.894–00:45:01.516] 因为你形势新奇啊，大家没有见过。
[00:45:02.214–00:45:02.764] 明白吧？
[00:45:03.398–00:45:11.212] 早年的时候别说看电影了，咱们中国有那种过去有那种我忘了那叫什么，在集上，反正。
[00:45:12.198–00:45:13.612] 像给你放幻灯片一样。
[00:45:14.886–00:45:17.740] 民国的时候给你放幻灯片，你都在那看。
[00:45:18.214–00:45:22.892] 要国外也有那老老的电影里面，我看到那种。
[00:45:23.366–00:45:25.740] 东西就是给你放幻灯片，你就花钱看吧。
[00:45:27.398–00:45:34.860] 你你就看幻灯片，都都有人愿意看早期的电影也是呀，就随便录点啥。咱们中国最早的电影就是录唱戏。
[00:45:35.782–00:45:36.748] 就是录畅戏。
[00:45:37.542–00:45:39.084] 因为这种形式大家没有见过。
[00:45:39.782–00:45:40.428] 没有见过。
[00:45:41.286–00:45:45.740] 但是这个形式这个全面的红利吃光了以后。
[00:45:47.750–00:46:06.604] 劣势就开始显现了。当然了，全面的这个红利还在前进啊，比如说人家研究出3D是吧？研究出各种特效，新的特效，就等于在这叫扬长，在扬长这条路上还在不断的前进。我们这节课呢就来着重研究一下怎么弊端。
[00:46:08.454–00:46:09.100] 怎么闭板？
[00:46:10.630–00:46:22.316] 就是这个参与感。我们说参与感，我们前面说了艺术的生命线就是A加T，就是观众的attention加time，对吧？
[00:46:22.950–00:46:24.460] attention注意力。
[00:46:25.158–00:46:26.220] 我们说。
[00:46:26.694–00:46:27.628] 注意力。
[00:46:28.550–00:46:31.052] 加时间的这么一个概念。
[00:46:31.942–00:46:38.508] 注意力加时间这么一个概念。我们说注意力加时间在我们影视作品里面叫啥呢？
[00:46:39.238–00:46:39.916] 叫啥来？
[00:46:40.710–00:46:41.548] 叫期待。
[00:46:45.606–00:46:47.020] 就是引起一个。
[00:46:47.654–00:46:50.028] 引起观众的一个期待。
[00:46:50.758–00:46:56.908] 引起一个观众的期待，必须是他的期待，对吧？你讲的再花哨，他没有参与感呀。
[00:46:58.118–00:47:01.868] 他没有参与感呀，如何让观众参与到影视作品来呢？
[00:47:02.406–00:47:03.084] 最。
[00:47:03.654–00:47:12.652] 好的方式最常用的方式就是引起他的期待。引起他的期待以后嘞，那这个事儿就不是你的事儿了。
[00:47:13.126–00:47:16.268] 就是他的事儿，他要验证他的期待。
[00:47:16.902–00:47:18.956] 这是人的一个很贱的一个。
[00:47:19.814–00:47:20.332] 本能。
[00:47:20.838–00:47:24.428] 就他一旦有期待了，他会想验证一下。
[00:47:25.190–00:47:28.268] 他这个期待，这就成为了他的事儿了。
[00:47:28.934–00:47:30.796] 这就是让观众来参与的。
[00:47:31.782–00:47:38.956] 也参与了在这呃关于这个呢，我们在这个教材上也有个术语，叫追索型注意力。
[00:47:42.406–00:47:43.756] 追索型注意力。
[00:47:46.470–00:47:50.380] 就是让观众产生的一个注意力以后呢，他还想追索追索。
[00:47:50.982–00:47:51.884] 这种词呢。
[00:47:53.062–00:47:54.252] 就是专门用来装逼的。
[00:47:54.950–00:48:04.620] 是吧没有什么用，而且听了很拗口，什么叫什么追索型注意力。你就说吸引了他的注意力之后，然后他就在想看看后面到底咋地的。
[00:48:05.126–00:48:05.644] 对吧。
[00:48:06.854–00:48:12.588] 大白话就是这么意思，就吸引了观众的注意力。他想知道后面到底咋地了。
[00:48:13.606–00:48:23.596] 就叫所谓的追索型注意力。但是我再次跟大家强调一下，对于我们影视作品来说，吸引一个观众的注意力永远不是难事。
[00:48:24.166–00:48:25.676] 因为我们手段太多了。
[00:48:27.206–00:48:31.052] 明白这个道理吧？我们影视作品手段太多了。
[00:48:32.710–00:48:38.188] 大家如果有接触网网络大电影啊，就是那些那个那个网络电影啊。
[00:48:39.398–00:48:40.076] 你们应该。
[00:48:41.222–00:48:44.780] 了解网络电影前几分钟在干嘛？
[00:48:46.726–00:48:47.308] 打架。
[00:48:48.454–00:48:49.292] 或者黄色。
[00:48:50.086–00:48:52.268] 要么在打，要么在露大腿。
[00:48:52.774–00:49:07.116] 你去看所有的网络电影，95%以上，前几分钟要么在打打，要么在露大腿。虽然这段打或者这段色情与后面的剧情有可能毫无关系。
[00:49:08.038–00:49:15.180] 但是他一定要这么做，为什么呢？就是他用最简单的方法获取你的注意力。
[00:49:16.902–00:49:17.452] 注意力。
[00:49:20.102–00:49:22.444] 用最简单的方法获取你的注意力。
[00:49:24.454–00:49:31.436] 当然了，我不推荐这种方法，因为我们有很多种方法，影视作品是获取注意力最容易的一个艺术形式。
[00:49:32.102–00:49:40.268] 他理应有各种各样的方法，这个我们以后可以讲。但是我告诉你，现在的网大基本上用这个为啥呢？我们回到这里。
[00:49:41.062–00:49:44.428] 我们说费里尼说影视是一个梦啊。
[00:49:45.990–00:49:47.564] 费丽因说影视是个梦啊。
[00:49:49.798–00:49:52.844] 梦里啊最主流的两样东西。
[00:49:53.702–00:49:54.892] 就是性誉暴力。
[00:49:57.030–00:49:57.676] 梦里。
[00:49:58.502–00:50:01.324] 人的梦梦里，包括你的白日梦。
[00:50:02.054–00:50:02.860] 梦想里。
[00:50:03.398–00:50:06.252] 最主流的两个东西是信誉暴力。
[00:50:06.918–00:50:07.692] 所以。
[00:50:08.230–00:50:09.292] 性与暴力。
[00:50:10.950–00:50:12.844] 当然，过审层面啊。
[00:50:13.318–00:50:18.796] 呃，是是是我们是不提倡的。但是我们因为是上课，我们。
[00:50:19.718–00:50:25.676] 从学术角度，我们必须承认性誉暴力就是现代电影的。
[00:50:26.534–00:50:27.148] 生命线。
[00:50:28.550–00:50:29.100] 是基础。
[00:50:33.286–00:50:35.308] 因为他他是我们共同的梦呀。
[00:50:36.422–00:50:42.380] 明白吗？你的梦离不开性誉暴力，所以主流商业片也离不开。
[00:50:42.950–00:50:43.660] 也离不开。
[00:50:46.406–00:50:49.036] 当然审查那你不不会轻易让你通过。
[00:50:49.734–00:50:55.148] 你需要在审查的范围内合理的展现信誉暴力。
[00:50:57.350–00:50:59.628] 所有的事情都是这样，永远是在。
[00:51:00.262–00:51:01.132] 做这个平衡。
[00:51:01.862–00:51:08.076] 明白吧？你也不可能说啊，那行明白了，性与暴力呗，那我就拍个黄片，那你就。
[00:51:09.542–00:51:24.140] 是吧那你就要进去了，是不是？不是这么玩的啊，来回到第四部分啊，这个刚才说这个追索型注意力，我们知道一下，这是个术语。但其实听我的啊，就是注意力加时间。
[00:51:24.614–00:51:25.900] 就是注意力加时间。
[00:51:27.366–00:51:42.956] 那如何获得一个普通观众的时间呢？根据前面我们上面说的，审美永远是自我的，每一个人只爱自己。所以你我我们又知道人有一个验证期待的本能。
[00:51:44.294–00:51:47.468] 你凡是给他一个期待，他一定会去想验证。
[00:51:48.166–00:52:02.444] 这是一个本能。所以在影视作品中，我们把一个注意力转化成一个长时间的注意力，转化成一个追溯性的注意力。我们用的就是让观众产生一个他想要验证的期待。
[00:52:05.062–00:52:12.108] 那什么样的期待观众是愿意验证的呢？这一课概念比较多啊，干的东西比较多。我我希望你们。
[00:52:13.734–00:52:17.132] 事后啊记下笔记之后，是事后多多想一想啊。
[00:52:17.638–00:52:22.028] 什么样的期待是观众预比较愿意去验证的呢？
[00:52:23.366–00:52:23.948] 可预期。
[00:52:25.606–00:52:27.596] 就是可预期范围内的期待。
[00:52:28.230–00:52:30.412] 因为可预期范围内的期待。
[00:52:31.014–00:52:32.268] 还是他了起来。
[00:52:33.702–00:52:37.964] 而不是你的期待，不是你营造的期待，是他的期待。
[00:52:38.598–00:52:40.524] 他只爱他自己，明白吧？
[00:52:41.190–00:52:42.636] 可预期范围内的期待。
[00:52:43.270–00:52:44.044] 所以啊。
[00:52:44.710–00:52:47.980] 很多年轻同学，包括你们在座的几个。
[00:52:49.030–00:52:52.748] 我第一次问你们，我说哎，你喜喜欢什么样的故事？
[00:52:53.382–00:53:00.076] 想写一个什么样的故事，将来成成为呃这个职业编剧之后，想写啥样的故事？
[00:53:01.222–00:53:03.820] 10个人10个同学。
