P051 二十五课-观影情绪节拍表25
[00:28:11.270–00:28:34.652] 太快了，对吧？一般如果是这里出现的伙伴啊，就能干到底了。当然他也有可能死，但他至少能干到底能干到底。所以65分钟死的伙伴一般是开场就出的。就窝里带的我们男主窝里带的哥们在这儿死。好啊，接着说咱们的情绪啊。那在这里灵魂黑夜必然要有难过。
[00:28:35.686–00:28:36.460] 必然要有难过。
[00:28:37.062–00:28:38.380] 对吧必然难过。
[00:28:43.558–00:28:44.876] 然后难过之后呢。
[00:28:46.662–00:28:47.564] 难过之后呢。
[00:28:51.430–00:28:59.436] 我们的主角在这里痛定思痛吧。因为我们说灵魂黑夜呀，灵魂黑夜他要找个地儿舔舐伤口吧。
[00:29:00.070–00:29:15.660] 而且他在反击之前，他积蓄力量，他得想通一些事儿吧。我们说周星驰如果舔舐伤口，他肯定要翻一翻以前的那个武功秘技，降龙杀八掌，他得看会了吧。所以在这里呢在这里啊我们会接一个。
[00:29:16.422–00:29:17.228] 欣慰。
[00:29:19.302–00:29:22.956] 类似欣慰的情绪，因为下面马上要接激动。
[00:29:25.606–00:29:30.444] 就男主角挺身而出，决定拼了，大干一场，对吧？
[00:29:31.590–00:29:33.324] 是因为后面直接接激动。
[00:29:33.798–00:29:45.612] 对吧因为难过直些接激动太快，这儿会有一个欣慰，会有一个舔舐伤口的过程。因为在这里啊，你需要男主角沉下心来思考一些东西，拍一场那个那个那个那个。
[00:29:46.214–00:29:48.844] 呃，比较状态的戏，对吧？
[00:29:49.414–00:29:53.388] 让他思考一些东西，然后激动这里，那自然是跟。
[00:29:54.214–00:29:59.820] 这个这个这个对手拼了，孤注一掷，对吧？勇敢的拼了，那最后得的是。
[00:30:00.582–00:30:02.508] 跟这个相对的那就是。
[00:30:03.526–00:30:04.332] 大满足嘛。
[00:30:04.934–00:30:07.308] 就最终真正的满足嘛，大满足嘛。
[00:30:08.102–00:30:08.684] 大满族。
[00:30:12.422–00:30:17.420] 大满族我们说那还是这些东西了，还是这些东西了，就是。
[00:30:18.854–00:30:22.412] 大高兴对吧？或者是大悲伤。
[00:30:24.870–00:30:29.516] 当然有没有还会有惊讶的情况呢？那就是有可能再出反转。
[00:30:30.822–00:30:31.628] 再出反转。
[00:30:32.582–00:30:39.180] 我们说这就是A故事上情绪，观众的观影情绪的。
[00:30:41.030–00:30:42.028] 基本大点。
[00:30:43.174–00:30:44.908] 基本上就是这么个规律。
[00:30:46.182–00:30:47.372] 基本上就是那么个规。
[00:30:48.070–00:30:54.636] 这是事件上啊在事件发生的过程中，跟着事件观众观影产生的情绪。
[00:30:56.166–00:31:01.836] 我们说啊还有一种情绪，我们不能忽略的不能忽略的，我们叫。
[00:31:03.750–00:31:09.068] 紧张感有紧张感，这这也是一种情绪吧，往往来自于。
[00:31:11.590–00:31:12.460] 悬念。
[00:31:13.446–00:31:15.628] 有一节课我们讲过悬疑与反转呀。
[00:31:16.102–00:31:19.820] 很多片子要有悬念的呀，商业片子往往都有悬念的呀。
[00:31:20.550–00:31:29.484] 对吧你只即便不是探案片，即便不是谍战片悬大悬疑片，你也也也也应该有点。
[00:31:30.214–00:31:31.212] 学医的东西。
[00:31:31.814–00:31:34.156] 让大家紧张的东西勾着大家的。
[00:31:35.238–00:31:38.988] 看的东西。也就是说，如果这些。
[00:31:39.814–00:31:42.956] 是A故事上我们要做的事情。
[00:31:43.494–00:31:46.316] 那么从悬疑的角度来讲。
[00:31:47.910–00:31:49.196] 从悬疑的角度来讲。
[00:31:52.294–00:31:53.452] 我们怎么打点呢？
[00:31:55.174–00:31:56.652] 一般在这个位置。
[00:31:57.670–00:31:58.892] 在上路之前。
[00:31:59.622–00:32:00.364] 我们说。
[00:32:01.222–00:32:04.780] 在上路之前，我们把这个这个叫。
[00:32:05.382–00:32:06.156] 悬疑。
[00:32:06.950–00:32:07.628] 展开。
[00:32:08.550–00:32:15.276] 在上路之前，把悬疑展开，在这个位置，然后再思考这个位置。
[00:32:16.710–00:32:17.548] 悬疑。
[00:32:18.502–00:32:19.212] 加强。
[00:32:20.262–00:32:26.700] 悬疑加强在思考这个位置，往往是悬疑加强。因为这里有时间。
[00:32:27.398–00:32:40.364] 让你反思我到底做的对不对吗？结合之前的那个我一直没有解决的那个悬疑，是不是当中有问题，是不是有个秘密，我们看错了，对吧？在思考这里完全可以让悬疑加强。
[00:32:40.870–00:32:55.020] 在上路之前让悬疑展开，你雄赳赳气昂昂准备上路了，眼看前途一片光明，对吧？离家出走了嘛？但是其实有一个事儿，观众看到了，这个事儿有可能后面会要你的命。
[00:32:55.494–00:32:59.244] 但是具体怎么弄，观众也不知道，这就叫悬念嘛。
[00:33:00.294–00:33:01.676] 往往就放在这个位置。
[00:33:02.566–00:33:06.668] 上路之前对吧？我们放在期待这儿，我们对在期待这儿。
[00:33:07.174–00:33:08.364] 然后再。
[00:33:09.222–00:33:10.092] 思考这里。
[00:33:10.662–00:33:11.596] 悬疑加强。
[00:33:12.550–00:33:14.700] 学习加强，有种种迹象表明。
[00:33:16.326–00:33:18.956] 这个事儿要坏事儿这个事儿要坏事儿。
[00:33:20.102–00:33:20.716] 然后。
[00:33:21.350–00:33:22.860] 生气和难过。这里。
[00:33:25.222–00:33:33.196] 灵魂黑夜呀灵魂黑夜必然是你A故事让你栽跟头了，那也其实也就是你之前这个悬疑。
[00:33:34.822–00:33:35.788] 彻底给你。
[00:33:36.646–00:33:43.916] 报应来了这么说吧，对吧？报应来了，这个我们说悬疑是悬而未觉的定时炸弹。
[00:33:44.518–00:33:46.572] 这个位置我们看到炸弹了。
[00:33:47.206–00:33:49.548] 这个位置看到炸弹在倒计时了。
[00:33:50.054–00:33:54.444] 这个位置炸弹爆炸了，炸弹在这爆了爆了解决了。
[00:33:55.558–00:33:56.300] 然后。
[00:33:56.934–00:33:58.604] 作为一个优秀的悬疑。
[00:34:00.070–00:34:02.028] 爆了就化成灰了吗？
[00:34:02.566–00:34:04.812] 啊，不会的，在结局这里。
[00:34:07.750–00:34:08.172] 反转。
[00:34:08.902–00:34:10.412] 再判断再上去。
[00:34:10.950–00:34:11.980] 这就是。
[00:34:12.518–00:34:19.276] 悬疑也是一种情绪啊，让观众紧张嘛，悬疑让观众紧张，紧张也是一种情绪。就说。
[00:34:19.750–00:34:22.860] 还有这条线不要去把它。
[00:34:24.198–00:34:24.940] 不实。
[00:34:26.726–00:34:27.404] 明白了吧？
[00:34:28.070–00:34:29.228] 这就是我们。
[00:34:30.438–00:34:45.292] 一个正常的私幕式的片子，观众的基本的观影情绪的一个走向。我们总结出来给大家参考一下，对吧？也算是一个基本的规范吧，大差不差，基本上就是这个路子。
[00:34:47.366–00:34:53.196] 然后我们找一个片子来卡一卡，来对一对，看看他们是怎么做的，好吧。
[00:34:57.318–00:34:58.444] 我给大家找的那个。
[00:34:59.366–00:35:10.668] 我不知道哪一节课，反正给大家拉片的时候，我给大家讲过一个电影叫摇滚校园，你们记得吧？摇滚校园这个片子我们说剧本做的是非常漂亮的，很干净很利索。
[00:35:11.366–00:35:12.460] 这个这个这个。
[00:35:15.078–00:35:16.748] 故事我先给大家讲一下啊。
[00:35:17.350–00:35:28.588] 故事我给大家讲一下好故事啊，几句话就能讲清楚是吧？讲的是什么呢？讲的是一个落魄的摇滚歌手，混的很差的摇滚歌手。
[00:35:29.382–00:35:49.436] 边缘人，然后很穷很穷呢，然后他就冒名顶替到一个学校里面去当老师，就人家这个学校找招老师，招的不是他招的是他朋友，他因为缺钱，冒名顶替就去了。去了那之后呢，就想挣这个钱。去了之后发现哟。
[00:35:49.638–00:35:53.004] 这个学校是个贵族学校，贵族学校这些小孩啊。
[00:35:53.670–00:35:55.212] 都会搞一搞乐器的。
[00:35:55.718–00:35:58.572] 然后他不是被摇滚乐队给踢出来了吗？
[00:35:59.334–00:36:00.524] 他就发现了。
[00:36:01.030–00:36:02.380] 这些小孩不错呀。
[00:36:03.174–00:36:04.524] 精通各种乐器。
[00:36:05.222–00:36:07.372] 他就想组织这帮小孩儿。
[00:36:08.486–00:36:19.468] 唱摇滚乐搞搞一支摇滚乐队，然后呢去参加一个摇滚乐的比赛，给自己出一口恶气，然后挣挣那个奖金。
[00:36:20.422–00:36:26.412] 他想挣那个奖金，然后带着小孩呢去参加那个摇滚乐的比赛，就是这么一个故事。
[00:36:27.814–00:36:31.180] 很标准的商业片，对吧？很标准的商业片。
[00:36:32.742–00:36:41.964] 也挺好看的，我拉片给大家拉过，我们来看一下他的故事走向有没有满足我们这个观众的观影情绪。
[00:36:43.334–00:37:00.204] 我凭着回忆给大家讲啊，后期的同学我讲到哪里，你们就把这场戏剪出来，在下面给大家看一看吧啊。我凭记忆先复述一下。首先第一个部分注意力就是开场让观众兴奋，让观众注意到你这个戏。
[00:37:00.742–00:37:01.804] 那他这个片子。
[00:37:02.310–00:37:05.484] 我想你们也应该能想到他会用什么演出嘛。
[00:37:05.958–00:37:15.212] 摇滚乐嘛讲的是摇滚乐，那开场肯定是我们这个男主角的一场演出。确切的说是最后一场演出，在老乐队的最后一场演出。
[00:37:15.878–00:37:17.516] 台台上很兴奋的唱歌。
[00:37:18.342–00:37:19.116] 异常。
[00:37:19.942–00:37:20.620] 音乐。
[00:37:21.382–00:37:23.276] 开场跟武戏是一样的。
[00:37:23.814–00:37:27.596] 就是吸引你的注意力，让观众兴奋。所以第一场没毛病。
[00:37:28.358–00:37:30.732] 然后第二场我们是联线爱。
[00:37:31.462–00:37:33.836] 安静下来之后，我们的主角可怜可信可爱。
[00:37:35.014–00:37:36.044] 可怜他怎么做的？
[00:37:39.590–00:37:42.604] 让乐队K出来，这就不说了，对吧？这是肯定的。
[00:37:43.110–00:37:46.220] 更重要的做了一个什么啊？我在课上给大家讲过的。
[00:37:47.174–00:37:49.164] 没钱。
[00:37:49.798–00:37:50.796] 没钱。
[00:37:51.782–00:38:08.364] 我说没钱是最容易激起共情的，因为绝大部分观众都觉得自己没钱，谁都觉得自己没钱，谁都觉得自己缺钱钱不够。所以你看他没钱没钱交房租，然后人家对他凶手恶煞，要把他赶出去，逼他交房租。
[00:38:15.206–00:38:19.404] 他赖呀他就赖，然后可爱有没有也有就是。
[00:38:19.878–00:38:21.612] 他为了把这个房租凑上。
[00:38:22.182–00:38:24.236] 他想把他最心爱的吉他给。
[00:38:25.094–00:38:25.676] 给卖了。
[00:38:26.534–00:38:32.524] 嗯，作为一个摇滚吉他手，这个这个吉他是他的生命啊。但是他这个这个这个。
[00:38:33.254–00:38:35.532] 大丈夫对吧？能屈能伸呀。
[00:38:36.102–00:38:41.356] 那个那个那个人家逼他交房租，他想把这个吉他给卖了。
[00:38:41.958–00:38:45.484] 所以让我们觉得瞬间觉得哎呦这个人物虽然可怜，但是。
[00:38:46.182–00:38:47.948] 你还算有所担当吧。
[00:38:48.582–00:38:49.836] 所以第二部分入戏。
[00:38:52.358–00:38:53.196] 联系爱。
[00:38:54.438–00:38:58.444] 就是这一部分。然后接下来呢就是产生期待和担忧。
[00:39:02.214–00:39:03.596] 他马上接到一通电话。
[00:39:04.774–00:39:05.356] 人家。
[00:39:06.790–00:39:13.196] 一个学校招老师，招代课老师，就顶班老师找的是呢他朋友。
[00:39:13.798–00:39:15.052] 他一听钱不少。
[00:39:15.622–00:39:19.756] 他给应下来了，他说我就是那个谁谁谁，我来吧。
[00:39:20.454–00:39:24.716] 然后呢，他就去这个学校当老师。你想啊你看他这个形象。
[00:39:25.702–00:39:26.348] 一个。
[00:39:27.622–00:39:30.188] 乐里勒忒的没有文化的。
[00:39:30.790–00:39:32.108] 不修边幅的。
[00:39:33.510–00:39:45.196] 地下摇滚乐吉他手去一个贵一板一眼，板板正正的贵族小贵族学校当老师，你难道没有期待和担忧吗？
[00:39:46.246–00:39:54.828] 你脑子里面马上就开始有预期了。我们说这里让观众产生预期啊，你马上就会预期到他那学生随便问那个数学题，他就不会了。
[00:39:55.302–00:39:58.220] 是不是？然后去了之后肯定要捣乱吧。
[00:39:59.654–00:40:01.932] 肯定要这么刘姥姥进大观园吧。
[00:40:04.262–00:40:10.028] 肯定跟其他老师要相处不好吧，是吧？所以你看期待和担忧，马上都有了。
[00:40:10.598–00:40:11.628] 他作为一个。
[00:40:13.254–00:40:19.212] 这样一个形象的一个相当于一个盲流吧，一个盲流去当老师，期待和担忧马上都来了。
[00:40:19.878–00:40:24.076] 这就是期待和担忧。然后进入到第二部分之后，我们说首先是花柳。
[00:40:24.774–00:40:27.692] 他去了这个学校之后，马上就开始搞笑了嘛。
[00:40:28.262–00:40:48.316] 肯定搞笑呀，去啥也不管，啥也不懂，开始鼓捣鼓捣这儿鼓捣鼓捣那儿，这儿捣乱那儿捣乱。我说的就是刘姥姥进大观园。第一件事情就是欢乐嘛，大家看笑话嘛，很开心，我说欢乐不是他欢乐，不是主角欢乐。我们主角四处碰壁，处处不适应。我们是说观众观影的时候很欢乐。
[00:40:48.486–00:40:49.580] 又看到笑话。
[00:40:50.534–00:40:51.628] 所以说欢乐这里。
[00:40:53.990–00:40:54.572] 欢来这里。
[00:40:56.230–00:40:56.748] 然后。
[00:40:58.598–00:40:59.148] 这里啊。
[00:41:00.486–00:41:01.100] 我们说。
[00:41:02.694–00:41:03.404] 期待放大。
[00:41:04.038–00:41:06.284] 思考中就是他发现了。
[00:41:08.998–00:41:09.900] 这些学生啊。
[00:41:12.838–00:41:13.548] 会乐器。
[00:41:14.470–00:41:15.788] 他就萌发了想要。
[00:41:17.958–00:41:19.660] 萌发了，想要那个那那个啥。
[00:41:20.454–00:41:25.772] 带这些学生组个乐团，组个乐队去参加比赛，赢奖金的这个念头。
[00:41:26.374–00:41:27.116] 期待放大。
[00:41:27.686–00:41:33.292] 然后我们也开始思考思考什么？我我说思考是思考什么？什么叫思考？
[00:41:33.926–00:41:37.452] 我刚才说了，思考其实就是你愿不愿意跟主角站在一起了。
[00:41:38.758–00:41:52.428] 其实有点就在这里，你开始有点觉得你小子这事儿啊，你可有点不地道是吧？就是这就叫思考。然后接下来呢他做这件事情肯定有风险的呀，让人发现了咋整？那哎。
[00:41:53.222–00:42:04.268] 这里得到一个小满足，他成功的组起了乐队，成功的避开了家长和校长对他的责难。因为校长和家长都差点发现这个事儿啊。
[00:42:05.030–00:42:15.308] 你天天排练，人家以为你上数学呢，里边叮咣的对吧？都贴死，别让隔壁听到他们在这玩乐器，还得串通所有的同学。
[00:42:16.134–00:42:28.300] 不能说漏嘴呀，因为不是所有同学都配合你呀，有那种爱学习，有学习组的呀，不是所有同学都是气氛组的呀，那有学习组的呀，人家要好好学习呀，对吧？
[00:42:29.574–00:42:32.364] 在这里呢暂时搞定小满足。
[00:42:33.126–00:42:34.284] 然后生气。
[00:42:35.174–00:42:38.636] 接下来会有生气的剧本，你你这里观众为什么生气？
[00:42:39.718–00:42:42.156] 就发现他为了钱把这些孩子都给出卖。
[00:42:43.110–00:42:51.980] 他的目的只有钱，不是带同学们去实追逐音乐梦，不是他就是为了钱，所以生气了。
[00:42:52.550–00:42:53.772] 然后难过是什么呢？
[00:42:54.598–00:42:58.636] 灵魂黑夜决裂，所有事儿都砸了，所有事儿都砸了。
[00:43:00.166–00:43:06.988] 比赛也参加不成了，他也被学校开除了。然后同学们呢学习也耽误了，音乐也没整上。
[00:43:07.526–00:43:08.268] 难过。
[00:43:08.870–00:43:11.628] 欣慰是什么呢？就我们的主男主角。
[00:43:13.350–00:43:14.220] 良心发现。
[00:43:14.822–00:43:16.716] 他觉得赢不赢那个奖金。
[00:43:17.894–00:43:28.108] 算了，钱不重要，但是孩子们的音乐梦想是真的。因为那些孩子不是为了奖金，那些孩子来找到他说哎。
[00:43:28.966–00:43:39.980] 老师今天不是参加比赛吗？你怎么不去呢？怎么那么怂了？他以为他已经被学校开除了嘛，他确实已经被学校开除了。但是这些孩子还惦记着他还在排练。
[00:43:40.710–00:43:41.996] 还想去唱歌。
[00:43:43.110–00:44:02.348] 欣慰，然后接下来马上激动，带着孩子冲过去，冲破阻挠，对吧？最后时间赶到，没有参赛资格就上去争取终于到台上去表演。然后表演的时候呢，不光他们表演的很成功，学校的老师家长全都来了。
[00:44:02.950–00:44:03.724] 全都来了。
[00:44:04.902–00:44:24.076] 然后在这种激动的情况下，最后获得了大满足，表演非常成功。家长们很嗨，这些贵族学校的这些学生的家长，那都是对吧？那都是硅谷精英啊，那都是律师医生的这种对吧？全都一板一眼的，但是全都被摇滚精神所感动了。
[00:44:24.550–00:44:27.148] 我们的男主角也找到了。
[00:44:27.878–00:44:29.612] 自己作为一个摇滚歌手。
[00:44:30.822–00:44:32.108] 最重要的使命。
[00:44:32.678–00:44:43.308] 就是传播摇滚精神，成为一个好的摇滚人，并不是什么奖金，并不是什么花船锦簇，对吧？然后呢，他大家都得到了大满足高兴。
[00:44:44.422–00:44:47.884] 你看A故事啊，我们的这个摇滚校园。
[00:44:49.734–00:44:50.444] 查的很准。
[00:44:51.846–00:44:56.140] 哎，我们再看这个悬疑，我们说摇滚校园可不是什么谍战片。
[00:44:56.614–00:44:59.596] 也不是什么侦探片儿，他有悬疑吗？
[00:45:01.030–00:45:01.708] 有权疑吗？
[00:45:03.558–00:45:04.620] 又骂。
[00:45:06.694–00:45:07.436] 首先。
[00:45:11.078–00:45:15.820] 我说过，基本上所有的商业片都有悬念，都有悬疑。
[00:45:16.486–00:45:22.412] 这个片子商业了不能再商业了，，这个故事非常商业，非常商业。
[00:45:24.038–00:45:30.860] 他的悬念旋疑是什么呢？我在悬念旋疑那那里第一个给大家举的例子就是假身份嘛。
[00:45:31.910–00:45:49.868] 就是假身份嘛，假身份就是很好用的一个悬念悬疑嘛。你看他不他这个不是个老师，他跑到那里去假装老师，这个不就是悬疑嘛？这个不就是悬念嘛？这个事情什么时候穿帮，穿不穿帮，怎么穿帮，穿帮了事之后有什么后果，不就是我们观众。
[00:45:51.046–00:46:04.940] 紧张的事情，担心的事情嘛，所以他的悬疑线他的悬疑线当然没有侦探片谍探片那么强。因为那些悬疑关乎生死，他这个悬疑没有那么强，但是人家也是呃这个这个这个五脏俱全的呀。
[00:46:05.734–00:46:07.212] 来假设问这个悬念。
[00:46:08.678–00:46:09.868] 是不是在这儿开始了？
[00:46:11.462–00:46:13.836] 他接了那封电话，决定去当。
[00:46:14.694–00:46:23.500] 这个贾老师悬念是不是在这开始了，在期待这里开始的对吧？然后期待放大这里，他决定利用这帮孩子去。
[00:46:24.934–00:46:28.236] 去去去去赢钱，就是他决定。
[00:46:28.774–00:46:30.924] 拿这帮孩子去去赚钱。
[00:46:31.782–00:46:51.708] 悬念放大，就是他这个假身份穿帮的风险变大，因为他不好好在那儿假装代课老师了，他要领着这帮学生逃课，领着这帮学生训练，领着学帮盯咣的。然后校长和其他老师都盯上他们了。所以他的假身份败露的可能性在这里放大了。
[00:46:52.358–00:47:05.388] 也就是这个悬念悬而未觉的这根线更细了，更要断了。定时炸弹快爆了，这里是发现定时炸弹，他决定去顶冒名顶替，发现定时炸弹。这里是定时炸弹，滴答滴答滴答开始加快了。
[00:47:06.118–00:47:10.956] 对吧他开始自己作死了，这里在南过这里定时炸弹爆了。
[00:47:12.070–00:47:18.764] 穿帮了呀，被学校开除了，就是在这里灵魂黑夜之前，灵魂黑夜或者说同步吧。
[00:47:19.590–00:47:20.524] 悬面爆炸。
[00:47:21.158–00:47:23.948] 禁定时炸弹爆炸，身份败露被开除。
[00:47:24.518–00:47:26.444] 被开除，我们说悬念线，你看啊。
[00:47:26.950–00:47:28.012] 在这个位置。
[00:47:28.646–00:47:36.780] 开始在这个位置滴答滴答在这个位置爆炸。我们说在很多悬念里面，它往往最后再来个反转，我们这个有吗？
[00:47:39.366–00:47:40.556] 我们这个悬念是什么？
[00:47:41.702–00:47:44.460] 他是个假老师，最后反转是什么？
[00:47:45.510–00:47:48.748] 他成了甄老师了嘛？对对？明白吧？
[00:47:49.254–00:47:50.636] 他成了真老师了。
[00:47:51.270–00:47:53.452] 他成为那个音乐老师了嘛。
[00:47:54.534–00:48:04.460] 对不对？就是说你不用去假装教数学，假装教历史了，你来教音乐不就完了吗？所以你看悬念反转又返回去了。
[00:48:05.158–00:48:06.092] 多漂亮的悬念。
[00:48:07.558–00:48:08.652] 多漂亮的旋景线。
[00:48:09.350–00:48:15.692] 所以说你看我们这个摇滚校园，大家如果不记得剧情，可以再去看一下。从观影情绪的角度。
[00:48:16.422–00:48:22.828] 卡的严死可缝，甚至连我们的这条悬疑线，他这个身份危机线卡的都很齐。
[00:48:23.718–00:48:24.268] 好了。
[00:48:25.414–00:48:33.548] 这节课就是给大家讲一下，从情绪的角度，从一个片子情绪的角度，我们既然情绪这么重要，那么在。
[00:48:34.246–00:48:39.692] 实际的操作中，你如何去检验你的情绪有没有到位，你就按照。
[00:48:40.486–00:48:47.276] 这个脉络这个表格这个规则去查一下。好吧，再次强调啊，这是一般规律。
[00:48:47.750–00:48:53.612] 一般规律不可能每一个片子百分之百准确。但是对于商业片来说。
[00:48:54.342–00:48:56.940] 差不多基本上差不多。
[00:48:57.478–00:48:59.884] 好吧，同学们自己体会下课吧。
[00:49:00.998–00:49:01.548] 嗯。
[00:49:38.438–00:49:39.628] 每一次。
[00:51:01.254–00:51:03.884] 在我两太不。
[00:51:12.934–00:51:14.892] 坚止切。
