P057 三十一课-单元剧的创作理念31
[00:24:14.502–00:24:24.332] 是因为要走那个模式，但是我们达不到那个条件，我们制作播出的这个流程达不到那个条件。所以呢我们就就就就模拟一下。
[00:24:25.254–00:24:25.804] 模拟一下。
[00:24:26.790–00:24:27.788] 这个大家了解啊。
[00:24:28.486–00:24:29.836] 就刚才是说到这个。
[00:24:31.206–00:24:35.212] 单元句的优点。第三个优点就是灵活，肯定相对还是灵活的。
[00:24:35.782–00:24:36.172] 好吧。
[00:24:36.678–00:24:37.100] 灵火。
[00:24:38.726–00:24:45.484] 然后那基于这些优点，他还有第四个优点，就是观看的时候啊，观众是比较舒适的。
[00:24:46.726–00:24:47.340] 比较舒适的。
[00:24:47.942–00:24:48.908] 这也是一个优点。
[00:24:49.702–00:24:50.060] 为啥？
[00:24:51.174–00:24:52.396] 因为你在上帝视角。
[00:24:53.702–00:24:54.412] 咱们这么说吧。
[00:24:55.654–00:24:56.908] 单元喜剧啊。
[00:24:57.606–00:25:00.876] 或者是大部分的单元句，你其实啊。
[00:25:01.414–00:25:02.060] 是不入戏的。
[00:25:03.686–00:25:04.908] 其实是不入戏的。
[00:25:05.574–00:25:06.540] 待会儿我讲为什么。
[00:25:08.038–00:25:09.132] 就你不需要入戏。
[00:25:11.270–00:25:11.820] 不要入戏。
[00:25:15.622–00:25:16.588] 相对舒适。
[00:25:18.790–00:25:19.852] 但是我们说啊。
[00:25:20.518–00:25:21.900] 所有的事情都是两面的。
[00:25:22.438–00:25:23.244] 都是两面的。
[00:25:24.102–00:25:26.476] 缺点也同样非常的明确。
[00:25:27.078–00:25:30.892] 第一个缺点大家都知道，我曾经也说过，没有黏度呀。
[00:25:31.718–00:25:35.628] 没有年度呀，看了上集，看不看下集都可以，对不对？
[00:25:36.134–00:25:44.492] 没有事儿牵挂，没有年度，对吧？当然这与剧情独立与你观看舒适，没有入戏都有关系。
[00:25:45.094–00:25:46.284] 对吧你缺乏黏度。
[00:25:46.758–00:25:47.404] 然后。
[00:25:47.942–00:25:49.868] 第一个缺点，我们说缺乏黏度。
[00:25:52.070–00:25:53.132] 第二个缺点呢。
[00:25:53.702–00:25:57.196] 第二个缺点呢，故事模式啊故事模式。
[00:25:57.670–00:25:58.412] 容易单一。
[00:25:59.686–00:26:03.372] 故事模式容易单一。因为你看啊你这几个人。
[00:26:04.134–00:26:10.796] 比如说啊比如说你是一个单元喜剧，你这几个人在这几间房间里天天闹闹哄哄的。
[00:26:13.062–00:26:19.436] 谁能惹事儿，谁能平事儿，谁跟谁吵架，谁欺负谁，谁暗恋谁。
[00:26:19.974–00:26:20.908] 基本上。
[00:26:22.118–00:26:22.924] 观众都有数。
[00:26:23.750–00:26:27.212] 所以单级故事模式是容易出现。
[00:26:28.102–00:26:36.652] 单一的情况了有可能会重出现重复，你必须要知道这个缺点，我们才能待会儿才能扬长避短。好吧，知道这是个短处啊。
[00:26:37.638–00:26:38.988] 单机模式容易单一。
[00:26:39.494–00:26:41.996] 第三个缺点就是故事规模。
[00:26:42.982–00:26:44.172] 只不事规模的问题。
[00:26:45.606–00:26:48.492] 故事规模偏小啊，因为篇幅有限。
[00:26:49.254–00:26:50.060] 天幅有限。
[00:26:50.534–00:26:55.148] 你一即要把这个事儿结束掉，所以你的故事规模啊是偏小的。
[00:26:55.782–00:26:57.164] 这个确定我们要心里有数。
[00:26:57.670–00:27:01.068] 但是不要慌，都是有办法解决的。记住我说的话。
[00:27:02.214–00:27:05.932] 守住你的长处，弥补你的短处，你就赢了。
[00:27:06.598–00:27:07.980] 做任何事情都是这样呀。
[00:27:09.190–00:27:16.012] 对吧做任何事情都是这样呀，打拳不也是吗？守住你的弱侧，对吧？发挥你的后手权。
[00:27:16.486–00:27:17.548] 都是一样的道理。
[00:27:18.118–00:27:19.532] 写东西也是这样的道理。
[00:27:20.230–00:27:21.420] 守住你的优点。
[00:27:21.926–00:27:25.100] 挨个弥补你的缺点，你知道你自己的故事规模小。
[00:27:25.926–00:27:26.604] 有办法解决。
[00:27:27.430–00:27:28.236] 有办法解决。
[00:27:29.734–00:27:31.916] 第四个缺点第四个缺点。
[00:27:32.710–00:27:33.132] 就是啥。
[00:27:34.566–00:27:35.852] 单元剧的人物啊。
[00:27:36.358–00:27:39.276] 一般来说啊没有什么大的人物弧线。
[00:27:40.518–00:27:41.292] 没有什么成长。
[00:27:41.958–00:27:49.740] 没有什么人物弧线，没有什么成长啊，有个什么显性的劣势呢？就是显得你在这个故事。
[00:27:51.110–00:27:52.204] 不那么有内涵。
[00:27:53.798–00:27:54.988] 明白这个意思吧？
[00:27:55.462–00:27:56.812] 就显得很肤浅。
[00:27:57.670–00:27:58.764] 人都没有成长。
[00:27:59.718–00:28:02.892] 对吧没有学到一些什么东西，没有精力。
[00:28:03.430–00:28:03.916] 巨大的。
[00:28:04.390–00:28:06.828] 内心对抗，所以显得。
[00:28:07.622–00:28:08.556] 不那么有内涵。
[00:28:09.094–00:28:10.188] 这也是为什么？
[00:28:11.142–00:28:13.324] 除了情景喜剧刚出来的那几年。
[00:28:14.438–00:28:14.924] 以外。
[00:28:15.814–00:28:19.692] 后面的情景喜剧基本上很难出现高的评分了。
[00:28:20.934–00:28:23.020] 你爱看，但是很难给他高分。
[00:28:24.358–00:28:27.244] 啊，就像那个那个那个麦当劳一样，你爱吃。
[00:28:27.846–00:28:31.564] 但是呢你很难说麦当劳真是美味啊，你们都不好意思说。
[00:28:32.230–00:28:37.100] 对吧？不好意思说，你如果觉得麦当劳很美味，显得你没有内涵。
[00:28:37.766–00:28:38.220] 对吧。
[00:28:38.854–00:28:42.028] 这是第三第四个缺点，内涵差点意思。
[00:28:43.750–00:28:44.236] 他的意思。
[00:28:45.542–00:28:46.860] 确实没有内涵，对吧？
[00:28:47.462–00:28:48.876] 没有内涵或者是表象上。
[00:28:51.046–00:28:51.980] 这就是我们说的。
[00:28:52.550–00:28:53.196] 单元句。
[00:28:53.702–00:28:55.180] 还有明确的优点和缺点。
[00:28:57.062–00:28:58.028] 我们说来。
[00:28:58.502–00:29:00.748] 这就是我们这节课的第一部分。
[00:29:02.406–00:29:03.788] 但学许记他到底是个啥？
[00:29:04.646–00:29:05.356] 咋来的？
[00:29:05.990–00:29:07.564] 他的优点和缺点是个啥？
[00:29:08.582–00:29:11.692] 我们说基于这些，我们才能写好它。
[00:29:12.262–00:29:13.804] 才能找到好的方法去写它。
[00:29:14.310–00:29:15.276] 才能去扬长避者。
[00:29:16.006–00:29:16.940] 那为什么？
[00:29:18.406–00:29:21.292] 那为什么我们这节课要讲一下这个单元句呢？
[00:29:23.078–00:29:23.692] 因为啊。
[00:29:25.478–00:29:26.444] 我认为啊。
[00:29:27.750–00:29:28.588] 单元句。
[00:29:30.406–00:29:32.268] 越来越适应现代的时代。
[00:29:34.342–00:29:35.788] 越来越适应现在的时代。
[00:29:39.334–00:29:40.012] 你看啊。
[00:29:40.486–00:29:44.716] 单据的优缺点，我们刚才各说了4个，但是优点我没写。
[00:29:45.318–00:29:48.204] 确定要把它写下来了，为啥呢？我就想让你看一看。
[00:29:50.790–00:29:55.596] 没有什么黏度，黏度比较低，对吧？然后呢，情节比较单一。
[00:29:56.614–00:29:57.388] 你这这。
[00:29:57.926–00:30:06.732] 模式化对吧先怎样再怎样模式化，对吧？黏度低，模式单一，然后呢规模比较小。
[00:30:07.526–00:30:10.988] 对吧这个规模比较小，然后呢，也没有什么内涵。
[00:30:12.358–00:30:13.612] 这四个特点。
[00:30:14.310–00:30:15.660] 你不觉得眼熟吗？
[00:30:16.934–00:30:18.412] 这四个特点是个啥呢？
[00:30:19.078–00:30:23.084] 这四点加在一块，不就是你们天天花两三个小时刷的那个玩意儿吗？
[00:30:24.550–00:30:28.332] 不就是你们天天沉迷于的那个短视频吗？
[00:30:29.766–00:30:32.012] 对不对？他不就无限趋近于。
[00:30:33.990–00:30:36.748] 你们喜欢的那种单一模式的爽感。
[00:30:37.830–00:30:39.564] 我们说短视频为什么能火起来？
[00:30:40.166–00:30:43.180] 他就是捕捉每一个人的爽感，然后给你单一的刺激。
[00:30:43.942–00:30:46.636] 就像我每天都会刷到大长腿，我也不知道为什么。
[00:30:47.942–00:30:49.036] 但是我还都看完了。
[00:30:49.734–00:30:52.780] 导致他又不停的给我推。
[00:30:53.350–00:30:58.540] 单一是吧？模式单一，每个我跟你说连背景音乐都一样。
[00:31:00.294–00:31:05.740] 那些发腿的那些女的，我不知道他们从哪逃换的音乐，反正每个人的音乐都一模一样。
[00:31:06.214–00:31:07.788] 然后运镜也一模一样。
[00:31:08.294–00:31:13.068] 先是一个屁股，然后慢慢拉开往前走，我一直等他回头，但是他也不回头反。
[00:31:14.182–00:31:15.372] 就是模式都一样。
[00:31:18.086–00:31:19.148] 绝对没有内涵。
[00:31:21.382–00:31:22.220] 真的没有什么内涵。
[00:31:25.254–00:31:26.316] 而且我前面也说了啊。
[00:31:26.982–00:31:27.756] 单元句啊。
[00:31:28.358–00:31:30.444] 有一个重要的门类，就是儿童动画。
[00:31:32.070–00:31:32.780] 我刚才说。
[00:31:33.350–00:31:34.828] 这个我们先放着，待会儿再说。
[00:31:35.878–00:31:37.804] 你说儿童为什么喜欢看这种东西？
[00:31:40.870–00:31:42.700] 他记不住你粘他什么呀。
[00:31:43.206–00:31:48.300] 你知道吗？儿童记不住上一集喜羊羊跟灰太狼到什么程度了？
[00:31:48.934–00:31:50.988] 所以他每一集打点打料。
[00:31:51.782–00:31:54.860] 第二下一集喜羊羊跟灰太狼又重新打起来。
[00:31:56.006–00:31:57.452] 上级的仇都忘了。
[00:31:58.118–00:32:00.332] 为啥？因为儿童他记不住呀。
[00:32:01.222–00:32:08.492] 明白吧？年度。然后我们说规模这个剧情单一也没有问题，他就要看单一的呀。
[00:32:09.126–00:32:11.372] 奥特曼打怪兽每一集剧情都差不多。
[00:32:12.326–00:32:13.580] 他就是要那个单一的。
[00:32:14.534–00:32:15.436] 单一的剧情啊。
[00:32:16.646–00:32:18.636] 单一的剧情就还他还爽。
[00:32:19.654–00:32:20.268] 明白吧？
[00:32:21.638–00:32:23.180] 我们说规模比较小。
[00:32:23.750–00:32:24.620] 没有问题啊。
[00:32:25.254–00:32:29.452] 没问题啊，我是儿童呀，我脑子里面能记多少东西啊，跟我小。
[00:32:29.926–00:32:31.948] 你跟我小孩子谈什么内涵？
[00:32:33.286–00:32:33.836] 儿童呀。
[00:32:35.398–00:32:35.788] 对吧。
[00:32:37.478–00:32:40.780] 所以我说儿童动画一水的。
[00:32:42.278–00:32:42.796] 代愿句。
[00:32:43.718–00:32:45.644] 一水的纯纯的单元句。
[00:32:46.758–00:32:49.612] 纯纯的单元句，而且基本上是纯闭合。
[00:32:50.438–00:32:57.548] 人物也没有变化，喜羊羊跟灰太狼第一集长什么性格？第300集还是什么性格？
[00:32:59.206–00:32:59.788] 纯闭合。
[00:33:02.182–00:33:03.980] 儿童动画适合于儿童。
[00:33:07.494–00:33:07.980] 但是。
[00:33:08.902–00:33:09.964] 互联网的发展。
[00:33:11.302–00:33:16.460] 啊我们大家，我们这些新的一代人，年轻人已经训练的。
[00:33:17.254–00:33:18.732] 越来越像儿童了。
[00:33:19.718–00:33:21.132] 我们都是baby。
[00:33:21.702–00:33:24.268] 我们现在就是baby，就是巨英。
[00:33:24.934–00:33:26.924] 所以我觉得啊。
[00:33:28.294–00:33:29.420] 中小体量的。
[00:33:30.278–00:33:31.116] 单人句。
[00:33:32.678–00:33:33.900] 会迎来他的。
[00:33:34.950–00:33:35.756] 爆发了。
[00:33:36.486–00:33:38.348] 会迎来它巨大的市场的。
[00:33:40.454–00:33:43.436] 这就是为什么这节课想把这个。
[00:33:44.454–00:33:46.604] 拿出来跟大家讲一讲，好吧。
[00:33:48.806–00:33:49.356] 对。
[00:33:50.182–00:33:52.204] 试着从里面学点东西。
[00:33:52.870–00:33:58.380] 来儿童动画我们抛开不说，我们这一课讲一下。
[00:33:58.854–00:34:01.484] 单演喜剧和任务类探案类。
[00:34:02.502–00:34:03.564] 我们说第一种。
[00:34:04.966–00:34:06.284] 单元的喜剧。
[00:34:09.542–00:34:10.956] 其中包括。
[00:34:12.454–00:34:14.604] 情景喜剧啊包括情景喜剧。
[00:34:17.990–00:34:20.428] 这种单元句我们其实看的挺多的。
[00:34:20.998–00:34:22.700] 国内你像什么。
[00:34:23.718–00:34:34.188] 这个早期的家有儿女呀呃编辑部的故事呀啊编辑部的故事有点复合类型啊。我强调一下啊，一个单元喜剧它同时可以包含任务。
[00:34:35.238–00:34:38.412] 任务也可以任务类的喜剧，也可以是单人喜剧。
[00:34:39.110–00:34:48.332] 动画也可以是动画的单元词句，明白这个道理吧？它互相是不是严格分开的啊，就像我说的故事类型一样，有很多剧它是跨跨类型的。
[00:34:49.030–00:34:56.044] 编辑部的故事其实编辑部的故事其实就是情景喜剧，单元喜剧加探案。
[00:34:56.806–00:35:03.596] 明白吧？编辑部的故事它是个单言喜剧的模式，但是他每一集呢他要都要跑出去惹事。
[00:35:04.198–00:35:06.924] 都要跑去做任务，因为他是个编辑部嘛，对吧？
[00:35:07.878–00:35:16.780] 但是像什么家有儿女呀、武林外传呀、爱情公寓呀，它就是标准的单元喜剧，甚至可以称之为情节喜剧。
[00:35:17.286–00:35:20.524] 那这种剧我们说它有个什么样的特点啊？
[00:35:22.758–00:35:30.540] 我们还是从单元的角度去理解啊，首先它单元肯定是闭合的，单元完整。然后嘞，那它什么连续了？
[00:35:31.462–00:35:33.164] 行情连续是我们最先想到的。
[00:35:33.734–00:35:36.332] 情景喜剧的场景是肯定是连续的。
[00:35:37.926–00:35:50.348] 对吧我们说我们先就来看场景啊，情景喜剧，情景喜剧剧嘛，它有个场景连续的问题。情景喜剧的场景一般来说就是5到8个之间，5到8个之间啊。
[00:35:50.918–00:35:54.188] 不会不太会超过10个，一般就是一个。
[00:35:55.750–00:35:59.020] 1个3千米的棚就解决了，30千0平米的棚就解决了。
[00:35:59.622–00:36:00.940] 一般会搭一个什么呢？
[00:36:03.238–00:36:04.556] 有哪几个场景啊？
[00:36:05.286–00:36:08.012] 第一，需要有一个共同出现的场所。
[00:36:09.446–00:36:27.372] 这个是所有情节喜句需要解决的问题。因为你你的角色啊有很多，对吧？待会我们说的角色问题啊，我们先就说场景一个情节喜剧，它的场景啊需要有一个共同出现的场所，这也是为什么情节喜剧的第一组场景往往是一个。
[00:36:28.454–00:36:28.908] 咖啡厅。
[00:36:30.054–00:36:30.572] 酒吧。
[00:36:31.686–00:36:32.332] 客栈。
[00:36:33.222–00:36:39.948] 或者是办公室，就这些人如果恰好所有的主角，如果恰好在同一个工作场所的话，那就用办公室。
[00:36:40.646–00:36:41.420] 那就用办公室。
[00:36:43.910–00:36:47.052] 或者像炊事班的故事，那就是那个食堂。
[00:36:48.326–00:36:51.468] 对吧就是那个餐厅嘛，他们就全部坐在那。
[00:36:51.942–00:36:53.740] 或者是那个什么。
[00:36:54.630–00:36:55.628] 东北一家人。
[00:36:56.230–00:36:56.684] 反店。
[00:36:57.606–00:36:58.764] 对吧饭店。
[00:36:59.462–00:37:00.844] 有一个共同出现的场所。
[00:37:01.382–00:37:02.156] 然后呢。
[00:37:03.046–00:37:04.780] 再就是主要。
[00:37:06.054–00:37:08.172] 主要角色的卧室或者叫家。
[00:37:09.670–00:37:12.812] 因为这个地方需要承载承载很多爱情戏。
[00:37:13.382–00:37:14.028] 状态系。
[00:37:14.502–00:37:14.860] 对吧？
[00:37:15.430–00:37:17.228] 然后呢，其他人也可以过来串门。
[00:37:18.886–00:37:20.556] 然后再就是办公地点。
[00:37:21.254–00:37:25.964] 如果刚才那个共同场景不是办公地点的话，再就会出现个办公地点。
[00:37:26.694–00:37:32.012] 基本上就这三类场景三类场景。因为办公地点和卧和家。
[00:37:32.550–00:37:38.636] 一般不止一个，所以综合起来构成一个5个到8个之间的一个。
[00:37:39.270–00:37:39.820] 所谓的。
[00:37:40.518–00:37:40.908] 场景。
[00:37:41.702–00:37:44.972] 这也就是情人喜剧里面需要连续的东西。
[00:37:45.798–00:37:46.540] 连续这个场。
[00:37:47.558–00:37:50.636] 我们前面说为什么需要。
[00:37:51.206–00:37:52.556] 有一些共同出现的。
[00:37:53.990–00:38:00.044] 这么一个场景呢，为什么这么需要这个场景呢？因为单元喜剧啊，它的人物设定也是有讲究的。
[00:38:00.646–00:38:06.572] 单元喜剧的人物一般来说，主要人物大于4。
[00:38:07.110–00:38:07.852] 小于6。
[00:38:08.614–00:38:09.132] 小于6。
[00:38:09.734–00:38:13.900] 主要人物啊，我们说是身上经常扛主线的人物。
[00:38:14.950–00:38:16.908] 一般来说小于6个。
[00:38:18.086–00:38:18.956] 为什么啊？
[00:38:19.558–00:38:20.460] 是因为。
[00:38:21.030–00:38:28.684] 在美国研究的啊，因为美国做这种剧做的时间比较长，比我们长，他们已经研究出一些现成的经验供我们借鉴。
[00:38:29.254–00:38:33.996] 是因为他们认为一个观众同时能记住的角色。
[00:38:34.566–00:38:36.268] 不太会超过6个。
[00:38:37.190–00:38:41.548] 所以一般的情景喜剧不鼓励角色。
[00:38:42.246–00:38:42.828] 超过6个。
[00:38:43.462–00:38:50.092] 有没有超过6个的？当然有当然有，但是呢不鼓励这么做。一般来说极限是6个。
[00:38:50.662–00:38:52.012] 但为什么又说。
[00:38:53.318–00:38:55.564] 不不推荐小于4个。
[00:38:57.286–00:38:58.252] 是因为啊。
[00:38:58.918–00:38:59.884] 在喜剧里面。
[00:39:01.318–00:39:01.964] 因为。
[00:39:02.630–00:39:03.692] 场景有限。
[00:39:04.486–00:39:05.964] 故事规模也有限。
[00:39:06.598–00:39:08.140] 故事模式也有限。
[00:39:09.286–00:39:10.796] 所以一般来说啊。
[00:39:11.302–00:39:12.012] 采用。
[00:39:13.510–00:39:14.124] 多谢叙事。
[00:39:14.630–00:39:16.972] 就这边在干嘛，那边在干嘛，这边在干嘛，那边在干。
[00:39:19.302–00:39:21.036] 去干点嘛的时候呢。
[00:39:21.798–00:39:23.052] 一般不能一个人去。
[00:39:23.558–00:39:24.972] 你路上都有人聊天啊。
[00:39:25.926–00:39:27.052] 得有人跟你沟通啊。
[00:39:27.814–00:39:34.092] 你不沟通，怎么能让观众知道你们两个来干嘛，前因后果是什么，害怕什么，想要什么，对吧？
[00:39:34.662–00:39:39.148] 所以你看啊，如果双线去势一条线俩人，这不就四个起步吗？
[00:39:40.486–00:39:45.388] 就是这不就四个题目嘛？所以啊一般来说啊是这么一个设定。
[00:39:45.894–00:39:46.540] 这么一个设定。
[00:39:47.590–00:39:51.628] 你看这就是一个单元喜剧，不管你要不要做情景喜剧。
[00:39:53.318–00:40:10.956] 如果要做情侣喜剧，你的场景也需要你设计。但如果是你是一个单纯的单言喜剧，场景呢就不需要那么太去在乎了。因为场景也可以按照传统电视剧就是有一组场景，但是也有广广泛的外景，也可以嗯呃我哪穿，对吧？爱上哪上哪去。
[00:40:11.974–00:40:22.828] 人物呢一般是主要人物啊，扛主线的人物，扛事儿的人物一般是4到6个，或者我们叫常驻角色。在这个里面的常驻角色。
[00:40:23.558–00:40:27.628] 这就是从人物的角度，从场景的角度，你先要有一个基本的设定。
[00:40:29.766–00:40:31.180] 这是人物角度，这是常景角度。
[00:40:31.814–00:40:35.500] 然后我们说但愿喜剧啊但愿喜剧它是个喜剧。
[00:40:36.038–00:40:37.900] 他还有一个非常重要的。
[00:40:38.374–00:40:40.492] 东西需要你去设定叫人物关系。
[00:40:41.798–00:40:42.700] 叫人物关系。
[00:40:43.718–00:40:52.076] 我们说啊人物关系实际上是单元喜剧中连续的最重要的东西。
[00:40:52.742–00:40:58.444] 就是他连续个什么玩意儿呢？你说连续个场景，连续的场景，其实我们观众是没有酌情点。
[00:40:59.206–00:41:00.652] 是没有酌情点。
[00:41:01.798–00:41:02.572] 没有着力点。
[00:41:03.206–00:41:07.468] 但是你如果连续的人物关系，观众还是能够一定程度共情的。
[00:41:08.070–00:41:09.196] 我们说过啊。
[00:41:09.734–00:41:15.084] 所有的单元句，它的缺陷是什么来着？是观众在上帝视角，他其实不那么共情。
[00:41:15.590–00:41:17.868] 明白吧？当然你也可以说这是优点。
[00:41:18.822–00:41:20.300] 观众不那么关心。
[00:41:20.966–00:41:21.804] 這些人物。
[00:41:22.566–00:41:24.236] 这你可以说这是个优点。
[00:41:24.774–00:41:28.812] 对吧你也可以说这是个缺点。所以我说为什么要扬长避短？
[00:41:30.822–00:41:35.596] 观众不怎么关心，观众不共情。我们这么说吧，观众不尽戏。
[00:41:38.150–00:41:40.620] 优点是什么？就是观众没那么紧张。
[00:41:41.446–00:41:42.348] 相对舒适。
[00:41:43.590–00:41:44.460] 罗伯特麦基。
[00:41:44.934–00:41:46.316] 在他的教材里面说过。
[00:41:47.238–00:41:48.172] 这个喜剧啊。
[00:41:48.838–00:41:51.276] 喜剧就是避免观众共情。
[00:41:51.910–00:41:53.708] 因为观众一旦共情，他就不希望了。
[00:41:55.750–00:42:01.164] 对不对？你一旦觉得卓哔雷好可怜啊，我跟卓便拎是一样的人，那你就笑不出来了。
[00:42:02.822–00:42:03.788] 那你就笑不出来了。
[00:42:04.518–00:42:04.876] 对吧。
[00:42:06.310–00:42:07.052] 不共情啊。
[00:42:08.966–00:42:10.700] 你看我们随便举个例子啊。
[00:42:11.718–00:42:13.132] 曾小贤在戏中。
[00:42:13.606–00:42:16.716] 歹徒挡着他一把菜刀砍过来。
[00:42:17.222–00:42:17.964] 你还在笑。
[00:42:19.046–00:42:20.012] 你明白这个意思吧？
[00:42:20.710–00:42:28.716] 你喜不喜欢曾小平？你其实蛮喜欢他的，但是这把菜刀砍下来的时候，你丝毫不会觉得他一他你完全不担心他会受伤。
[00:42:31.014–00:42:31.852] 明白这个道理吧。
[00:42:32.582–00:42:34.796] 你不担心曾小贤会受伤。
[00:42:36.390–00:42:38.604] 因为你有绝对的安全。
[00:42:40.006–00:42:44.268] 你对剧情有绝对的把握，绝对的安全。你看透了。
[00:42:44.774–00:42:45.548] 哎呀呀呀。
[00:42:46.726–00:42:47.948] 胡飞马上来救他。
[00:42:48.710–00:42:49.964] 对吧你看透了。
[00:42:50.662–00:42:52.876] 你安全这是优点。
[00:42:53.894–00:42:55.468] 对吧这是优点。
[00:42:56.262–00:43:01.516] 但是任何一个优点都有另外一面缺点，就是你我有时候还是想让你动点。
[00:43:02.470–00:43:02.988] 那个了嘛？
[00:43:04.806–00:43:06.252] 所以说那着力点着力在哪？
[00:43:07.110–00:43:07.820] 人物关系。
[00:43:09.286–00:43:11.244] 一把刀砍上曾小贤的时候。
[00:43:12.326–00:43:13.164] 你笑。
[00:43:13.670–00:43:15.148] 你一点儿不担心他受伤。
[00:43:15.686–00:43:17.708] 但是他跟胡一菲吵架的时候，你哭了。
[00:43:20.966–00:43:25.036] 因为人物关系还是可以用来着力的这就是我说的扬长立短。
[00:43:25.606–00:43:32.588] 所以要设置人物关系。同时单元喜剧里面人物关系实际上是剧情的永动机。
[00:43:33.542–00:43:37.996] 这个道理大家心里要有数啊，它实际上就是剧情的永动机啊。
[00:43:38.758–00:43:49.036] 你就是围了这事儿来做了，咱就这么说吧。咱今天因为都是编剧，咱可以明着说单演喜剧里面，你的剧情啊，你其实就是从这个这这个反复的人物关系拉锯里面。
[00:43:50.374–00:43:51.276] 去去去构建的。
[00:43:52.358–00:43:53.068] 那我们就来。
[00:43:53.702–00:43:54.764] 研究一下这个人物关系。
[00:43:55.526–00:43:59.436] 大是喜剧里面好用的人物关系，我们大家一起想一想都有些啥。
[00:44:01.510–00:44:01.932] 都是学生。
[00:44:02.822–00:44:06.284] 最好用的啊，第一种必然竞争。
[00:44:07.590–00:44:12.908] 那种双男主、双女主或者是强男一女一碰到一块了，就他俩一直在竞争。
[00:44:14.470–00:44:15.276] 一直在。
[00:44:17.190–00:44:18.956] 当然竞争也有也分种类啊。
[00:44:19.558–00:44:21.132] 有的就是压制型的。
[00:44:21.734–00:44:24.876] 就是一个老能压制，另外一个观众看这个爽感。
[00:44:25.382–00:44:29.420] 对吧永远看爽感，偶尔翻一次，观众很开心的。
[00:44:30.054–00:44:35.308] 偶尔那个弱者往上翻一次啊，观众很开心的，但是你放心，下一集马上又把它打下去了。
[00:44:36.422–00:44:36.844] 为啥？
[00:44:37.414–00:44:41.548] 人物关系连续，但年喜剧里面人物关系不要搞给我搞变化。
[00:44:42.342–00:44:51.372] 懂吗？不要搞变化，不要搞颠覆，谁强谁弱摁死了，他偶尔当然可以反一下，但反完了之后再打下去。
[00:44:52.006–00:44:53.452] 因为观众要这个爽感。
[00:44:57.062–00:44:58.476] 儿童就要需要。
[00:44:59.014–00:45:02.060] 有一集光头强熊大熊二，我操。
[00:45:03.206–00:45:06.700] 人物关系一下反反转过来，小朋友接受不了的。我跟你说。
[00:45:07.462–00:45:13.228] 给他摁回去，好吧，这是一种竞争关系。还有一种竞争关系啊，也有势均力敌的那种也有。
[00:45:13.766–00:45:17.292] 就是两个人势均力敌，那你就可以做什么？做此起彼触。
[00:45:18.886–00:45:27.212] 就这集他占优势，下一集他占优势，这局他在占优势，这集他在占优势。然后这一集呢他好像要占优势了，但是他让了他一下。
[00:45:28.038–00:45:34.156] 他让完他之后，他没有觉得他让他他觉得反而觉得自己牛逼，然后他就生气了，下一集我往死里整。
[00:45:34.822–00:45:43.564] 你看这就是此起彼伏，看起来模式单一，但是也在里面寻求变化，还是扬长避短的思路。好吧，也在里面寻求变化。你看竞争关系。
[00:45:44.070–00:45:44.780] 还有什么关系啊？
[00:45:45.574–00:45:46.476] 还有追求关系。
[00:45:47.174–00:45:49.932] 对吧谁一直追谁，这个也非常常见。
[00:45:50.438–00:45:53.324] 我们说的追求关系同时可以衍生出三角关系。
[00:45:53.862–00:45:54.284] 对不对？
[00:45:54.758–00:45:57.068] 我们说在单元喜剧里面经也经常有三角关系。
[00:45:59.462–00:46:02.700] 然后再就是那个那个反转关系。
[00:46:03.302–00:46:04.364] 也是经常用的。
[00:46:05.126–00:46:12.012] 经常用的在单元喜剧里面，比如说什么美剧里面有很多什么什么废柴舅舅呀什么。
[00:46:12.678–00:46:14.796] 呃，什么什么小姨啊，什么什么。
[00:46:15.302–00:46:18.732] 就是本来应该是一个他照顾他。
[00:46:19.590–00:46:22.924] 但是是一个反转关系，结果是那个小孩照顾这个。
[00:46:24.006–00:46:25.164] 这个不成气儿的。
[00:46:25.638–00:46:28.652] 舅舅或者小姨那种反常关系也是经常用的。
[00:46:30.214–00:46:43.404] 我们说在这个单元喜剧里面，人物关系是剧情的永动机是非常重要的对吧？就什么那个克制关系，对吧？谁是谁的天敌，对吧？报复关系，谁是谁的仇家。
[00:46:43.878–00:46:45.356] 对吧然后再。
[00:46:46.598–00:46:49.260] 这种大家可以多去找一些啊。
[00:46:50.150–00:47:05.420] 每个同学可以多去找一些补充到补充到你的素材库里面，我一下也想不出来太多。但是最常用的呢实际上啊还是在人物设定的时候，直接就出现的叫trouble make。
[00:47:06.246–00:47:06.636] 对吧。
[00:47:07.142–00:47:10.668] 那个那个那个咱们应该叫什么呢？用汉语说的话。
[00:47:11.494–00:47:16.524] 呃，就是反正就是惹事儿的那个人，对吧？惹事儿的那个。
[00:47:17.990–00:47:18.988] 和平事的那个。
[00:47:21.606–00:47:22.764] 惹事儿的和平事儿的那个。
[00:47:23.718–00:47:28.588] 当然啊当然啊因为是群系嘛因为是群系嘛。
[00:47:29.222–00:47:32.332] 所以惹平事儿的往往有好几个。
[00:47:33.446–00:47:34.892] 惹事的可以只有一个啊。
[00:47:35.398–00:47:36.748] 平事的往往有好几个。
[00:47:38.182–00:47:39.628] 当然这个是最常用的啊。
[00:47:40.230–00:47:48.940] 然后还有这些啊，当然可以复合啊可以复合型的。比如说他跟他是个竞争关系，他跟谁还有个三角关系。
