P033 十四课-场景与对白14.2
[00:26:06.534–00:26:07.404] 我是警察。
[00:26:08.486–00:26:09.036] 谁知道？
[00:26:10.342–00:26:12.908] 啊，天台上那场戏不是经典吗？
[00:26:13.670–00:26:19.212] 那个那个那个那个梁朝伟从后面呃，那个那个拿枪逮着刘德华了吗？
[00:26:20.422–00:26:24.940] 对吧刘德华让让他说可不可以给我个机会，对吧？我想做个好人。
[00:26:25.670–00:26:29.164] 然后那个梁朝伟，对不起，我是警察。
[00:26:29.670–00:26:30.348] 刘德华说。
[00:26:30.886–00:26:31.372] 谁知道？
[00:26:35.174–00:26:35.628] 这个。
[00:26:36.134–00:26:36.844] 经典台词。
[00:26:37.542–00:26:38.604] 用到你什么。
[00:26:39.558–00:26:40.364] 文学功底了。
[00:26:40.998–00:26:42.252] 小学毕业就能写出来。
[00:26:43.110–00:26:45.324] 对不起，我是警察，谁知道？
[00:26:46.342–00:26:46.828] 对吧。
[00:26:47.366–00:26:48.460] 台词本身。
[00:26:49.318–00:26:50.028] 就那么回事。
[00:26:51.238–00:26:54.028] 就是情境，你先把情境营造好了。
[00:26:54.534–00:26:55.916] 然后你台词。
[00:26:56.838–00:27:08.268] 简练有力就能成为经典。我不是说这个台词是随随便便写出来的啊，不是这个意思啊，我是说你情境牛逼了之后，你的台词越简练，越精准越好。
[00:27:09.734–00:27:10.284] 明白吗？
[00:27:11.078–00:27:11.596] 所以。
[00:27:12.550–00:27:17.356] 好的台词要么来自于人设，要么来自于牛逼的情境。
[00:27:18.054–00:27:19.052] 牛逼的冲突。
[00:27:21.222–00:27:23.948] 但是都不都是不啰嗦的台词。
[00:27:25.030–00:27:31.564] 都不是那种呃你不可理喻，你无理取闹，你什么什么我哪有不可理喻，哪有无理取闹。
[00:27:32.486–00:27:33.932] 那那种不是那种。
[00:27:34.694–00:27:35.340] 不是那种。
[00:27:36.038–00:27:37.292] 真正牛逼的台词。
[00:27:38.022–00:27:39.244] 要么贴着人设来。
[00:27:40.358–00:27:41.452] 要么跟着婷婷走。
[00:27:43.462–00:27:49.228] 好吧，那我们就来举这是举例子啊，这是给你们讲一下什么叫好的台词。
[00:27:49.766–00:27:50.508] 那我们就来。
[00:27:51.142–00:27:53.900] 那我们就来这个这个说一下。
[00:27:54.438–00:27:57.740] 台词这个这个对白啊这个词儿啊。
[00:27:58.598–00:28:01.068] 到底应该怎么写，就你怎么写。
[00:28:01.990–00:28:08.364] 对吧我们说的实惠的，你怎么写？首先写台词有一个最基本的原则。
[00:28:09.382–00:28:10.988] 有一个最基本的原则。
[00:28:11.846–00:28:12.588] 就是。
[00:28:14.150–00:28:14.924] 单写。
[00:28:16.358–00:28:17.580] 这是一个最基本的原则。
[00:28:18.438–00:28:22.060] 你不要比如说有三个角色，甲乙丙。
[00:28:23.398–00:28:26.412] 你不要甲写什么，甲说什么，乙说什么丙说什么。
[00:28:27.270–00:28:36.588] 你把甲说的全部写完，再说再写乙的，再写丙的这是一个最基本的套路，你就要分开写，为什么分开写，为什么让人分开写？
[00:28:37.254–00:28:41.516] 你要带入每一个角色呀，你要带入每一个角色。
[00:28:42.310–00:28:46.604] 甲是一个什么样的性格，什么样的背景，什么样脾气？
[00:28:47.142–00:28:52.460] 遭遇什么样的事儿，以及他在这个事件中什么立场，你先完全见到假。
[00:28:53.318–00:28:54.636] 把假的台词写完。
[00:28:55.974–00:28:57.644] 然后再进完全进到乙。
[00:28:58.182–00:28:59.084] 去同哪些意义。
[00:29:00.390–00:29:07.180] 是这么写的，不是甲乙丙、甲乙丙、甲乙丙，他三个人在这对话，你就三个人哐哐写，那你最后肯定写不明白。
[00:29:07.846–00:29:19.500] 这是最基本的写法，这个一定要注意。好吧，带入每一个人，而且要表演着写甲是一个什么什么样的性格，他在这件事情有什么样立场，你带你进甲里面演着写。
[00:29:20.678–00:29:22.668] 明白吗？带着表演写。
[00:29:23.238–00:29:25.868] 你自己演演技不好，没关系，又没人看。
[00:29:26.758–00:29:29.036] 我们说编剧是书房里的影帝呀。
[00:29:29.606–00:29:31.852] 关起门来，谁能看见你自己演。
[00:29:32.326–00:29:33.452] 你去表演这个奖。
[00:29:33.990–00:29:34.604] 去写。
[00:29:35.398–00:29:42.444] 这是一个最基本的原则，就是要单写，不要甲乙丙那么写，是甲写完再写乙，再写丙。
[00:29:43.142–00:29:44.396] 好吧，然后第二。
[00:29:45.190–00:29:46.156] 我之前也说过。
[00:29:46.886–00:29:47.884] 你那个素材库。
[00:29:53.030–00:29:54.508] 我不是说过吗？让你记吗？
[00:29:55.526–00:29:58.412] 你要写好台词，你的素材库必须丰富。
[00:30:00.518–00:30:02.796] 你必须知道每一种人说话的。
[00:30:04.006–00:30:05.900] 呃方式说话的。
[00:30:07.846–00:30:08.460] 而套路。
[00:30:10.182–00:30:15.564] 你那个小本要大量的记素材，在这个地方是要发挥作用的，要调动用自己的素材库。
[00:30:16.646–00:30:21.964] 比如说那个那个我最近还还还还还那个还记那个呢。
[00:30:23.078–00:30:26.508] 就别人说说什么山东人说话还爱倒装。
[00:30:28.998–00:30:31.852] 啥叫倒装？就说这个事儿不靠谱吧，我觉得。
[00:30:34.022–00:30:36.332] 他们就说这是山东人的说话的特点。
[00:30:36.870–00:30:38.892] 然后我就在在记这个玩意儿。
[00:30:39.622–00:30:44.652] 你那你你你如果写到一个山东人说话的时候，你就可以写道庄嘛？我认为。
[00:30:45.350–00:30:49.484] 是吧你这个写倒装吗？就你这种素材啊。
[00:30:50.598–00:30:51.372] 多记。
[00:30:52.294–00:30:53.004] 多分类。
[00:30:53.510–00:30:57.836] 你你写的时候，你调用起来，你的人物就说台词就会。
[00:30:58.502–00:31:05.260] 更有趣更有辨识度，也更贴合他的角色，他的处境。然后这是第二个。
[00:31:05.862–00:31:11.692] 呃，方法就是大量的调用你的素材库，不要自己闭门造车，好吧，3。
[00:31:13.574–00:31:15.468] 3、小心。
[00:31:16.582–00:31:17.580] 问答陷阱。
[00:31:20.422–00:31:21.516] 小心问答建解。
[00:31:23.046–00:31:26.956] 就写台词啊，特别是初学者，包括我刚开始写的时候。
[00:31:29.318–00:31:31.948] 你如果写了两个人对话的一场戏。
[00:31:32.422–00:31:33.388] 大量的对白。
[00:31:33.894–00:31:34.828] 你就会发现。
[00:31:38.310–00:31:40.140] 全是问答形式。
[00:31:41.958–00:31:48.492] 全是问答形式。甲问一个问题，乙回答甲又问一个问题，乙又回答乙问问题，甲又回答。
[00:31:49.414–00:31:52.396] 你就会发现你的台词有大量的问答模式。
[00:31:56.070–00:31:57.164] 其实你生活中。
[00:31:58.502–00:32:01.068] 你每天跟人说话，哪有那么多问答模式。
[00:32:02.438–00:32:03.628] 为什么会出现这种情况？
[00:32:04.422–00:32:05.452] 为什么会出现这种情况？
[00:32:09.670–00:32:15.564] 我们说这是一个陷阱啊，你小心你台词，你对白中的问答模式，为什么会出现这种情况？
[00:32:16.102–00:32:16.844] 原因在这儿。
[00:32:20.198–00:32:23.308] 就你们一场戏想要扛的信息很多。
[00:32:23.846–00:32:27.052] 但是你表达扛这些信息的手段有限。
[00:32:27.590–00:32:29.516] 你就死命的用对白去扛。
[00:32:30.566–00:32:32.332] 动作跟环境扛的太少。
[00:32:32.806–00:32:34.188] 死命的用对白去扛。
[00:32:36.070–00:32:37.900] 你想表达的信息多。
[00:32:38.374–00:32:39.308] 不是问题。
[00:32:40.006–00:32:49.356] 只要这些信息是有效的，你想多表达没有问题，这儿我不拦着你，你有本事表达完，我不拦着你，只要这信息有效。
[00:32:49.862–00:32:52.268] 但是一定要小心问答陷阱。
[00:32:53.926–00:32:54.540] 哎。
[00:32:55.238–00:32:58.092] 隔壁那个老张为什么成天凶巴巴的？
[00:33:00.134–00:33:03.788] 这你就有所不知了，他小时候命可苦了。
[00:33:04.518–00:33:16.652] 怎么个苦法呢？他从小父母双亡，自己一个人整，就你想表达老张的身世，你在你的大纲里面，在你的梗盖里面，你写过老张的身世。
[00:33:17.606–00:33:20.300] 然后呢，你觉得这个实验师对你的剧情很有用。
[00:33:21.638–00:33:22.956] 你最后把它落在哪了？
[00:33:24.006–00:33:26.444] 你他妈就落在另外两个角色，他闲扯淡上了。
[00:33:28.230–00:33:29.132] 明白这个意思吧？
[00:33:29.638–00:33:31.084] 两个人闲闲扯淡。
[00:33:34.630–00:33:37.548] 大量的信息大量的信息用问答模式表达。
[00:33:38.342–00:33:38.764] 知道吧？
[00:33:39.430–00:33:40.876] 大量的信息问答模式表达。
[00:33:42.086–00:33:43.660] 所以你去看那种。
[00:33:44.166–00:33:49.612] 呃，你的剧本或者说初学者的剧本里面有大量的，这你就不知道了。
[00:33:50.470–00:33:54.796] 恕我直言啊，恕你妹恕你直言，你别直言了。
[00:33:55.622–00:34:02.988] 我开始写的时候大量的啊就一呃一场戏里面有五个恕我直言，6个，这你就不知道了。
[00:34:03.494–00:34:06.476] 所以一定要小心这个事情，问答模式。
[00:34:07.654–00:34:19.372] 一定要避免我我让你避免给你不是说不让你表达信息啊，一定要理解这个事儿啊，把它放在动作呃，把它环放在环境和动作里面可以表达的。
[00:34:19.846–00:34:30.252] 老张呃那个那个绅世很苦，呃，很穷，不一定非要另外俩老娘们在这叨逼叨叨逼叨。
[00:34:30.982–00:34:35.468] 把它说出来对吧？你可以环境的也可以表达老张。
[00:34:37.062–00:34:40.780] 这个这个呃那个是哭出声吧。
[00:34:41.702–00:34:46.380] 动作也可以表达老张是苦出身吧，他的习惯动作他的。
[00:34:47.206–00:34:54.028] 他的他的他做事的那种风风格，做事的方式，对吧？一看就是农民。
[00:34:55.430–00:35:00.652] 一看就是农民出身半辈子的农民，你通过环境描述动作描述。
[00:35:03.398–00:35:04.460] 其他的描述。
[00:35:05.030–00:35:06.028] 解决不了吗？
[00:35:06.630–00:35:10.540] 完全可以解决呀，为什么非要两人叨逼叨叨逼叨说人老张。
[00:35:11.174–00:35:19.148] 呃那个生活条件不好呢，离婚带个孩子从农村出来，你俩快别说了，对吧？就就是千万要要要。
[00:35:19.814–00:35:22.316] 要避免这个问答模式，这个是。
[00:35:22.950–00:35:32.588] 初学者或者是呃这个也不算初学者，年轻编剧在从业的前几年里很容易遇到的问题。老老编剧也也有时候也会。
[00:35:33.254–00:35:37.548] 一不小心就就就这这都是经验之谈啊，我告诉大家一定要注意。
[00:35:40.742–00:35:41.996] 然后这是第三点。
[00:35:42.566–00:35:43.308] 第四。
[00:35:46.246–00:35:47.884] 写每句台词之前。
[00:35:49.734–00:35:51.020] 先写潜台词。
[00:35:58.918–00:36:19.324] 明白什么叫潜台词吧，这很很很简单的对吧？就像我说的那个那个呃呃泰坦尼克号那个呃丁卡布料跟上流社会那些人吃饭，对吧？那些人假装关心他的生活方式，假装关心他的那个哎，那你家在哪儿啊？潜台词就是你个穷逼没房子吧。
[00:36:19.878–00:36:20.332] 是吧。
[00:36:20.902–00:36:21.484] 就是。
[00:36:22.982–00:36:29.996] 每一句话是有潜台词的那这种台词往往在戏里面就是比较精彩的。有潜台词的。
[00:36:31.654–00:36:33.452] 这种词儿是比较精彩的。
[00:36:34.118–00:36:35.020] 所以你。
[00:36:35.654–00:36:39.116] 在写对白的时候啊，你可以尝试先写潜台词。
[00:36:40.198–00:36:41.388] 先写潜台词。
[00:36:44.774–00:36:46.316] 然后再写正定台词。
[00:36:46.886–00:36:49.580] 对吧你碰到一个呃老朋友。
[00:36:51.302–00:36:54.764] 你的呃碰到一个老同学，十年没见了。
[00:36:55.526–00:36:56.684] 他想跟你炫富呀。
[00:36:57.798–00:36:58.860] 他想跟你炫富呀。
[00:37:00.710–00:37:01.164] 对吧。
[00:37:02.630–00:37:06.668] 那他的潜台词就是我比你有钱，我比你有钱我比你有钱。
[00:37:08.166–00:37:18.348] 你先把这个表达出来，然后再写正经台词，他见了你们面你的面，第一句话呃，见了你面，你们俩坐下。第一句话就是哎福员，我门口那宝马停那没事吧。
[00:37:18.950–00:37:19.564] 对吧？
[00:37:21.670–00:37:31.020] 你写这种台词的时候，你为什么能写出这种台词呢？你为什么知道在这里要写这种台词呢？你需要先写潜台词，就是这两个人见面。
[00:37:31.910–00:37:33.228] 潜台词有哪些？
[00:37:34.758–00:37:41.740] 你先写出来，然后再把它变化成真正的台词，这也是一个创作习惯。
[00:37:42.214–00:37:42.732] 大家。
[00:37:43.430–00:37:44.268] 也可以学一下。
[00:37:44.774–00:37:45.772] 也可以注意一下。
[00:37:46.470–00:37:48.748] 好吧，然后第5个。
[00:37:49.702–00:37:51.084] 还有一个很好用的方法。
[00:37:51.686–00:37:56.492] 很好用的方法就是你如何把你的人物的台词写到。
[00:37:57.606–00:38:05.804] 入木三分，写到非常贴合他，然后又写到这个你的戏里面常常有多个人物呀，每个人物的台词都能够。
[00:38:06.342–00:38:07.724] 呃，非常贴合他。
[00:38:08.646–00:38:13.260] 切合有有有有有区别，有自己的特色，对吧？
[00:38:14.790–00:38:17.036] 怎么还有一个办法，怎么做呢？
[00:38:18.118–00:38:19.852] 就是给每个角色写日记。
[00:38:21.638–00:38:22.700] 这是一个很好用的方法。
[00:38:24.006–00:38:24.812] 这个办法很好用。
[00:38:26.214–00:38:27.660] 特别适合你写电影的时候。
[00:38:28.550–00:38:30.060] 呃，写电视剧也可以啊。
[00:38:30.822–00:38:32.140] 就是说几个主要人物。
[00:38:32.838–00:38:33.900] 你给他们写日记。
[00:38:36.070–00:38:36.844] 给他们写日记。
[00:38:38.118–00:38:39.340] 还要写日记啊。
[00:38:39.974–00:38:42.412] 来，你戏里面今天会发生一件事儿吧。
[00:38:44.006–00:38:46.380] 你的几个主主要角色是不是都参加了？
[00:38:47.750–00:38:48.172] 对吧。
[00:38:52.806–00:38:54.764] 那么他们共同都经历这个事儿了呀。
[00:38:55.942–00:38:58.988] 你可以完全可以通过他们每一个人的角度写一篇日记嘛。
[00:39:00.134–00:39:00.684] 今天。
[00:39:01.158–00:39:09.196] 迪卡布料奥去上流社会那个那个那个餐厅吃了一顿饭。迪卡布廖奥回到家写了一篇日记，今天他妈上楼。
[00:39:10.054–00:39:12.716] 对吧借的那双鞋给我脚挤得够呛。
[00:39:14.150–00:39:15.436] 没有正经西装呀。
[00:39:15.974–00:39:21.868] 对吧什么都是偷来的呀，借的那双鞋给我脚挤够呛，上楼的时候还给我绊了一脚。
[00:39:22.502–00:39:29.420] 他最头大的就是他妈上叉子那一瞬间，一排叉子，我也不知道该用哪个，就从他的角度先写遍日记。
[00:39:30.214–00:39:36.396] 然后那那个女主角的那个未婚夫也写篇日记啊，今天好好的在那吃饭。
[00:39:36.902–00:39:54.764] 不知道哪来一个穷小子，还自称画家，对吧？看就是不顺眼，关键是我未婚，我未婚妻对他还不错，对吧？口口声声，俩人说是朋友，这小逼啊，就每个人的角度写一篇日记，你就会更加进入每一个角色。
[00:39:55.526–00:39:56.748] 你在创作一个。
[00:39:58.374–00:40:06.988] 正经戏的时候，创作一个你重视的戏的时候，创作一个你想要好好表达好好呈现的剧本的时候。
[00:40:07.462–00:40:08.364] 我建议你。
[00:40:09.254–00:40:12.876] 可以尝试给戏中的几个重要角色。
[00:40:13.350–00:40:15.020] 每个人写一篇日记。
[00:40:15.622–00:40:17.772] 当然，这个不出现在正文里。
[00:40:18.406–00:40:20.012] 当然他不出现在你的剧本里。
[00:40:20.806–00:40:22.124] 但是几个重要的角色。
[00:40:23.622–00:40:28.108] 他在短短的，反正也没几天嘛，在这几天的事里面。
[00:40:30.214–00:40:32.108] 他们每个人给他写写日记。
[00:40:33.926–00:40:34.892] 这就是我说的。
[00:40:36.102–00:40:37.836] 关于对白，我想给大家讲。
[00:40:38.406–00:40:40.108] 对白好的对白。
[00:40:41.158–00:40:43.724] 我认为有两种来源，一种来自于人物。
[00:40:44.806–00:40:46.060] 我们说是京剧型。
[00:40:46.662–00:40:48.428] 特别贴人物，特别贴人设。
[00:40:52.134–00:40:52.684] 这个。
[00:40:54.662–00:40:58.764] 还有一种就是情境情境牛逼，你这个情境牛逼了。
[00:40:59.302–00:41:00.268] 你的台词。
[00:41:01.286–00:41:03.276] 反而要越简练，越简洁越好。
[00:41:04.902–00:41:06.188] 越简单越有力量。
[00:41:06.822–00:41:07.660] 你跳我也跳。
[00:41:08.838–00:41:09.452] 对不起。
[00:41:10.374–00:41:13.388] 我是警察，谁知道就仨字，谁知道。
[00:41:14.438–00:41:15.340] 有力量呀。
[00:41:15.846–00:41:19.020] 就是情境牛，然后如何写出这样的好的台词呢？
[00:41:20.902–00:41:22.348] 我个人认为可以从。
[00:41:23.110–00:41:23.916] 这五个方向。
[00:41:25.158–00:41:30.764] 是你需要注意的五个方向。第一个是普世的啊，第一个是所有的编剧老师都会这么跟你说。
[00:41:31.238–00:41:33.868] 你要分开写每个人的台词。
[00:41:34.438–00:41:37.004] 不要不要什么一块儿记流水账写。
[00:41:37.542–00:41:42.156] 第二个就是我说过的，你要调用你的素材库，你一定要调用你的素材库。
[00:41:42.982–00:41:45.708] 你素材库里面会有形形色色人来说过的话。
[00:41:46.566–00:41:48.172] 这个不是你简简单单。
[00:41:49.062–00:41:50.508] 就能一下模拟出来的。
[00:41:51.238–00:41:52.332] 有素材是很重要的。
[00:41:53.446–00:41:57.196] 什么样人爱说什么样的话，对吧？比如说我我我就记得。
[00:41:58.278–00:41:58.796] 那个。
[00:41:59.718–00:42:00.492] 呃，我。
[00:42:02.374–00:42:03.084] 提名者。
[00:42:03.686–00:42:08.588] 就有这种我我曾经分类有一类人叫提名者，就动不动人就说名字。
[00:42:09.318–00:42:11.724] 动不认动不动就说别人的名字。
[00:42:13.190–00:42:16.652] 以显示自己的牛逼，他往往提的是一些厉害人物的名字。
[00:42:19.206–00:42:19.628] 对吧。
[00:42:20.166–00:42:21.004] 这个这个。
[00:42:21.574–00:42:23.212] 比如说他如果认识名人。
[00:42:24.070–00:42:24.460] 对吧。
[00:42:25.222–00:42:33.420] 那个那个比如说他认识黄晓明，他就说哎呀，昨天跟小明一起这样，那个上回小明跟我说啊，就他俩要提这个名字。
[00:42:34.630–00:42:39.276] 当然不一定是明星啊，可以是你们地方的名人。比如说你们县里的首富。
[00:42:39.782–00:42:49.324] 假设叫叫军强是吧？王军强王总是你们县里的首富。但在他嘴里呢，他就是说哎呦上个月军强那边啊什么。
[00:42:50.950–00:42:53.004] 你看你这种就是一种。
[00:42:53.638–00:42:57.292] 一种人的行文方式，他说话的方式嘛，你就可以记下来嘛。
[00:42:58.758–00:43:01.132] 分类叫提名者爱提名字。
[00:43:01.702–00:43:02.412] 爱提名字。
[00:43:04.166–00:43:06.796] 就是你的素材库就就就就发挥作用。
[00:43:07.398–00:43:07.948] 发挥作用。
[00:43:09.734–00:43:12.812] 然后第三就是千万要避免问答和陷阱。
[00:43:13.990–00:43:15.628] 千面千万要避免这个。
[00:43:16.422–00:43:19.500] 为什么会出现问答陷阱？就是因为你你的信息。
[00:43:20.038–00:43:21.740] 你想表达的信息，你没地儿搁。
[00:43:22.278–00:43:32.620] 没地儿哥，你就在那瞎鸡巴扯是吧？你根本就不知道这些年我我经历了什么，你经历了什么呀，就开始给人讲起来。
[00:43:33.446–00:43:38.572] 你这些经历什么跟这个剧情有什么关系啊？有一点点关系，但是你不要讲呀。
[00:43:39.078–00:43:41.548] 你不要用嘴讲是，对不对？
[00:43:42.246–00:43:55.244] 不要去这呃Q and的A模式，我们说叫是吧？不要有这个啊。4就是尝试先写潜台词，这样的话可以让你的台词更立体，更有趣。
[00:43:55.846–00:43:57.772] 先写潜台词。第五。
[00:43:58.438–00:44:03.340] 就是又是一个呃独门技巧，给你的主要角色写写日记。
[00:44:04.326–00:44:05.196] 学写日记。
[00:44:05.990–00:44:06.444] 好吧。
[00:44:08.166–00:44:20.364] 这就是关于台词，我想给大家说的台词主要是想给大家表达一个什么呢？台词真的不需要文学功底，不要去给我写琼瑶台词，那种文学功底没有必要的对吧？
[00:44:21.510–00:44:24.908] 呃，我们写的台词就是。
[00:44:25.638–00:44:30.156] 很平时，但是很有力量，你跳我也跳，这小学生都能写出来。
[00:44:30.950–00:44:31.532] 对不对？
[00:44:32.070–00:44:36.972] 不要担心这个问题，写写好台词呃，我们是有方法的。
[00:44:38.630–00:44:41.420] 我我我这里举例子，我说那个那个。
[00:44:43.366–00:44:45.516] 那个那个那个泰坦尼克号。
[00:44:46.214–00:44:54.188] 卡布廖奥上上楼去和富人阶层吃了一顿饭。那场戏我们大家也一块看一下，好吧。
[00:44:56.678–00:44:58.412] , Mr. Dawson.
[00:45:02.182–00:45:04.876] Best I've seen, ma'am, hardly any rats.
[00:45:14.086–00:45:19.308] Iturns out that Mr. Dawson is quite a fine artist. He was kind enough to show me some of his work to.
[00:45:20.038–00:45:25.228] Roose and I differ somewhat in our definition of F, not to impute in your work, sir.
[00:45:37.254–00:45:45.932] you your is wonder Mr. Andrews truly you.
[00:45:48.998–00:45:53.932] Do take no caviar for me, thanks, never did like it much.
[00:45:55.718–00:46:16.636] And where exactly do you live Mr. Dawson Well right now my is theMS Ti After that I'm God's good humor and how it you means I work my way from place to place you know, tramp steamers and such but I won my ticket on Titanic here a lucky handed poker a very lucky hand.
[00:46:18.086–00:46:25.260] All life is a game of luck A real man makes his own luck, got right.
[00:46:25.926–00:46:29.644] And you find that sort of rootless existence appealing, do you?
[00:46:32.934–00:46:34.284] Yes, ma'am, I do.
[00:46:35.174–00:46:49.100] I mean, got everything I need right here with me, got hair in my lungs and a few blank sheets of paper, I mean I love waking up in the morning not knowing what's going to happen or who I'm going to meet where I'm going to wind up.
[00:46:50.086–00:47:02.572] Eer not I was sleeping under a bridge and now here I am on the grand a ship in the world having champagne with you fine people I take some I figured life's a gift and I don't intend on wasting it.
[00:47:03.526–00:47:10.060] You never know what hand you're going to get dealt next, You'll learn to take life as it comes at you you go count.
[00:47:11.686–00:47:13.452] make each day count.
[00:47:14.182–00:47:16.588] Well said Jack here呀 here呀.
[00:47:17.574–00:47:18.764] 没给看。
[00:47:20.486–00:47:21.996] 没一个。
[00:47:27.622–00:47:29.452] 对，就是这场戏啊。
[00:47:30.182–00:47:34.860] 我们看啊这个每个人的台词都很有特点，有潜台词。
[00:47:35.398–00:47:39.692] 对吧然后有有有符合人设符合人物的金剧。
[00:47:40.806–00:47:42.060] 也有这种情境下。
[00:47:43.750–00:47:45.548] 很简练很有力量的台词。
[00:47:46.374–00:47:48.428] 这场戏就是标准的。
[00:47:51.526–00:47:52.684] 好台词的典范。
[00:47:53.286–00:47:54.764] 我们今天看了两场戏。
[00:47:56.742–00:47:57.708] 一场是。
[00:47:59.206–00:48:00.236] 风骚律师。
[00:48:01.318–00:48:02.668] 第一季第1集的。
[00:48:03.366–00:48:08.076] 那场碰瓷戏，还有一场是泰坦尼克号。
[00:48:09.286–00:48:11.340] 这个这个男女主角。
[00:48:11.814–00:48:13.324] 一起吃饭的一场戏。
[00:48:15.238–00:48:21.420] 我们这一节课不是讲场景怎么写吗？我们说场景里面有环境，有动作，有对白，很多同学卡在这儿了。
[00:48:22.214–00:48:27.884] 不知道怎么样描述这些东西，把环境描述明白，把动作写明白和台词写明白。
[00:48:28.774–00:48:30.060] 我们做一个练习。
[00:48:31.014–00:48:33.068] 这两场戏已经拍出来了。
[00:48:33.574–00:48:34.380] 摆在这儿。
[00:48:35.558–00:48:37.068] 你把它翻回去。
[00:48:39.526–00:48:40.172] 写成剧本。
[00:48:42.950–00:48:47.148] 就是照着这场拍出来的戏，1比1的还原成剧本。
[00:48:47.878–00:48:48.748] 反向操作。
[00:48:49.286–00:48:51.468] 不是剧本开成戏，是把戏写成剧本。
[00:48:52.038–00:48:55.788] 然后再去读你的剧本，看看你描述的东西。
[00:48:56.678–00:49:01.804] 对不对？你有没有把场景，把环境、动作和对白都描写清楚？
[00:49:02.790–00:49:07.884] 做一个这个练习，好吧，这是这节课的作业，把这两场戏翻回翻回剧本。
[00:49:09.414–00:49:10.060] 下课。
