P045 二十一课-谈几个进阶问题（下）21.2
[00:27:33.286–00:27:34.860] 忽略了一个场景问题。
[00:27:35.398–00:27:37.068] 在这里我给大家提一下。
[00:27:38.438–00:27:40.236] 给大家规定一下。
[00:27:41.126–00:27:46.604] 咱们班的同学必须把场景当做一个元素来对待。
[00:27:48.870–00:27:58.732] 就说不要加办公室、车里、饭店、咖啡厅、咖啡厅，你们最己喜欢写一部一部戏，他妈有他妈十几场戏。
[00:27:59.206–00:28:01.516] 一共7场戏，有十几场在咖啡厅。
[00:28:01.990–00:28:08.396] 哪有那么多咖啡要喝啊，哪有那么多咖啡要喝，你只不过是想找个地方聊天而已。
[00:28:09.254–00:28:09.900] 对不对？
[00:28:10.502–00:28:11.212] 所以说。
[00:28:11.910–00:28:18.476] 对吧也不能在你家，不能在我家。然后呢，我跟你又不是一个单位，那咱俩在哪聊呢？又有咖啡厅，又有饭店。
[00:28:21.638–00:28:26.476] 场景不要过于单一，场景要作为一个元素。
[00:28:27.974–00:28:28.588] 来表达。
[00:28:31.942–00:28:32.588] 明白吗？
[00:28:33.926–00:28:36.812] 因为场景啊它也是可以传达信息的。
[00:28:38.662–00:28:39.692] 他也可以是。
[00:28:41.158–00:28:42.444] 有很重要的作用啊。
[00:28:42.918–00:28:44.940] 对你这个人物或者对事件来说啊。
[00:28:45.670–00:28:47.628] 那么简单说，你去找你的老板。
[00:28:48.806–00:28:50.892] 你未必要去他的办公室嘛？
[00:28:52.774–00:28:54.956] 你可以去高尔夫球场找他吧。
[00:28:55.878–00:28:56.588] 对不对？
[00:28:57.094–00:29:01.868] 他上班时间并没有在办公室，他在高尔夫球场呀，你可以去高尔夫球场找他呀。
[00:29:02.534–00:29:09.356] 那么这场戏是不是就比在办公室里要好看一些呢？而且这个场景是不是也传达了一些信息呢？
[00:29:11.462–00:29:13.356] 明白吗？你们自己去体会。
[00:29:14.086–00:29:14.668] 好吧。
[00:29:19.654–00:29:27.244] 把场景作为一个重要元素来对待。大家记着这句话，写完剧本之后检查一遍你的场景。
[00:29:28.998–00:29:38.476] 它是一个武器，就说你不要把它说哎呀，只要有个地儿就行了，它也是一个武器，你可以用的，别浪费了，是这个意思好吗？
[00:29:39.494–00:29:40.748] 然后第10个。
[00:29:41.702–00:29:42.572] 关于对话。
[00:29:45.094–00:29:46.540] 对话枯燥的问题。
[00:29:47.142–00:29:47.916] 依然存在。
[00:29:48.582–00:29:53.932] 对话枯燥，对话像流水账这个问题依然存在，很严重。
[00:29:54.406–00:29:55.564] 很多人都避免不了。
[00:29:58.118–00:30:05.708] 我在讲对白的那节课说过一些方法，对不对？我今天再给大家加一个加一个方法。
[00:30:11.558–00:30:12.332] 加一个方法。
[00:30:12.870–00:30:15.052] 如何解决你的对话？
[00:30:19.750–00:30:20.364] 枯燥。
[00:30:21.702–00:30:25.292] 对话没有意思的问题就是给。
[00:30:26.022–00:30:29.068] 给你的对话适当的增加势能。
[00:30:32.198–00:30:33.740] 适当的增加势能。
[00:30:34.950–00:30:35.692] 比如说。
[00:30:37.318–00:30:38.412] 一对夫妻。
[00:30:39.078–00:30:48.556] 在家里的一段对话，你本来是想用这段对话表达一些信息，推进一些剧情。但是呢你觉得很枯燥。
[00:30:50.054–00:30:51.212] 你觉得很枯燥。
[00:30:54.310–00:30:59.020] 那么你就可以考虑一下，我可不可以给他们两人之间增加一个势能呢？
[00:31:01.542–00:31:02.316] 比如说。
[00:31:05.126–00:31:09.708] 这个女的女方对男方有点小误会，有点生她的气了。
[00:31:11.462–00:31:17.644] 所以每一句话虽然还是那些内容，但是每一句话要枪他，要咄咄逼人。
[00:31:18.214–00:31:19.020] 要怪他。
[00:31:20.806–00:31:21.356] 是不是？
[00:31:26.918–00:31:28.396] 这个方法有很多的。
[00:31:28.934–00:31:29.740] 有很多的。
[00:31:31.846–00:31:42.156] 增加各种各样的势能，从情绪的角度，对吧？我生你的气了，或者是我想要点钱是吧？对话这还是些对话。但是呢我想讨好你。
[00:31:43.238–00:31:45.900] 要点钱想讨好，对吧？
[00:31:46.438–00:31:47.340] 这个这个。
[00:31:48.006–00:31:49.420] 还是这夫妻俩。
[00:31:52.262–00:31:54.028] 呃，这个女方要找男方。
[00:31:55.014–00:31:56.044] 这个这个这个。
[00:31:57.318–00:31:57.836] 来。
[00:31:58.566–00:32:02.412] 聊天对话，这些对话还是你的那些内容。但是呢。
[00:32:02.950–00:32:08.268] 这个女女女女主进来这个男男男主的房间的时候，男主正在。
[00:32:09.510–00:32:10.284] 看毛片儿。
[00:32:10.918–00:32:15.596] 咔就一一关，对吧？但是你这裤子还没提上去。
[00:32:17.286–00:32:24.780] 那你看对话还是这些对话，但是呢势能又有了，我要我作为男方，我要隐藏一个东西。
[00:32:25.670–00:32:26.156] 对吧。
[00:32:27.718–00:32:35.596] 那就不就又有势能了吗？而且又符合你的这个这个角色的人设。
[00:32:37.286–00:32:41.260] 明白这个意思吧？就是你的对话太干。
[00:32:41.894–00:32:43.180] 往往是因为。
[00:32:45.030–00:32:49.004] 这个对话的双方之间缺乏势能。
[00:32:50.214–00:32:51.020] 它是能量。
[00:32:51.750–00:32:57.228] 没有能量，你知道吧？没有能量，很容易干巴巴的，你一句我一句说相声。
[00:32:59.366–00:33:00.492] 这个大家去体会。
[00:33:01.606–00:33:09.068] 你先把对话写出来啊，当然我还是说这句话，咱们这堂课你得这堂课的内容，你得先有剧本。
[00:33:09.798–00:33:16.940] 才能聊啊，你得先真的写过东西才能聊。你先得有对话，我们才能改善这个对话的势能。
[00:33:17.414–00:33:18.316] 明白这个意思吧？
[00:33:22.374–00:33:32.556] 我今天就讲这么多吧，好吧，等遇到别的问题的时候，再详细跟大家讲。因为最近呢确实是一直在看项目，看剧本，然后。
[00:33:33.062–00:33:35.532] 呃，送去备案，咱们这个。
[00:33:36.390–00:33:46.124] 咱们国家这个剧本备案呢要要半年呢是吧？要要审半年。所以最近在教很多项目，半年之后听结果看哪个项目。
[00:33:47.526–00:33:48.652] 通过了审查。
[00:33:49.382–00:33:51.052] 所以最近看剧本非常多。
[00:33:51.526–00:33:57.004] 然后发现共性的问题呢，值得探讨的问题，我也会及时跟大家一起分享。
[00:33:58.150–00:34:00.332] 达到咱们这个实战课的目的。
[00:34:01.062–00:34:02.700] 但是还是。
[00:34:03.686–00:34:15.692] 希望大家多写多练，否则我光跟你说这些问题，你心里觉得啊，到时候不会出这些问题的，你记不住那么多呀，你不写，你怎么知道哪些问题是你会遇到？
[00:34:16.774–00:34:18.732] 好吧，大家可以根据。
[00:34:19.302–00:34:21.228] 嗯，我在。
[00:34:21.990–00:34:28.492] 有一课里面我教过大家怎么写一个策划案，先根据那个格式那个思路自己去策划一些项目。
[00:34:29.286–00:34:33.580] 然后呢，这呃我准备下阶段呢在咱们的班级里啊。
[00:34:34.054–00:34:37.004] 或者先从七班，咱们实验实验班。
[00:34:37.702–00:34:38.796] 这个先试点。
[00:34:39.302–00:34:40.524] 给大家搞一些。
[00:34:41.798–00:34:43.564] 命题类的一些。
[00:34:44.102–00:34:47.212] 提案征集，然后希望给大家也是。
[00:34:47.814–00:34:48.652] 尽快的。
[00:34:49.446–00:34:51.308] 搞一些能够上线的作品。
[00:34:53.734–00:34:54.860] 写了好的同学。
[00:34:55.334–00:34:56.268] 就是尽快的。
[00:34:57.382–00:34:58.316] 转成职业化。
[00:34:58.950–00:35:01.260] 尽快的这个有自己的作品。
[00:35:02.310–00:35:03.500] 希望吧，好吧。
[00:35:04.326–00:35:05.292] 这节课就上到这了。
[00:35:06.342–00:35:07.596] 下课。
