P023 十一课-类型片11.2
[00:25:23.846–00:25:26.316] 熟不熟？小人物遇大事，熟不熟？
[00:25:26.822–00:25:28.236] 是吧一般是这种类型。
[00:25:29.286–00:25:31.180] 我们说这种片子有什么要素呢？
[00:25:33.510–00:25:35.180] 就是这个人要无辜。
[00:25:39.942–00:25:41.580] 一个无辜的家伙。
[00:25:42.310–00:25:50.764] 他越无辜，越无害，无害，懂我意思吧？无害很很普通，很善良。就是我说的小人物，明白这个意思吧？
[00:25:51.238–00:25:54.412] 然后一个突然的麻烦，我们说叫从天而降。
[00:25:56.198–00:25:58.124] 从天而降一个突然的麻烦。
[00:25:59.462–00:26:01.164] 然后最后。
[00:26:01.734–00:26:03.980] 关乎生死生死考验。
[00:26:04.806–00:26:06.124] 就是这类片子。
[00:26:07.814–00:26:09.196] 的基本套路要素。
[00:26:10.822–00:26:12.108] 很多喜剧片。
[00:26:13.318–00:26:13.868] 是这样的。
[00:26:14.470–00:26:16.460] 周星驰的片子全是这样。
[00:26:17.894–00:26:18.572] 大部分吧。
[00:26:19.238–00:26:20.364] 一个很无辜的人。
[00:26:22.854–00:26:30.092] 从天而降的麻烦，那不知道招谁惹谁了，对吧？然后呢，最后生死大战呢。
[00:26:31.590–00:26:44.492] 生死大展，但不是所有的麻烦家伙都是喜剧片啊，绝不是啊你孩子让人绑架了，救小孩的那种片子，那那的这生死营救什么的之类的都是麻烦家伙呀。
[00:26:45.478–00:26:46.636] 一个无辜的人。
[00:26:47.526–00:26:48.844] 从天而降一个麻烦。
[00:26:49.670–00:26:51.756] 然后这个这个是。
[00:26:52.390–00:27:03.564] 呃，关乎生死对吧？家里出事了什么的，那都属于麻烦，也就家伙愈麻烦，就是有一个人好烟烟的突然出事了。
[00:27:04.070–00:27:04.876] 这种故事。
[00:27:05.862–00:27:16.812] 它也是一个很古老的故事类型。所以我为什么反复强调说，他这个分类方法可取之处就是它是从讲故事角度分的。因这种故事也是人家愿意听的呀。
[00:27:17.862–00:27:18.732] 明白这个意思吗？
[00:27:20.614–00:27:21.772] 变签仪式。
[00:27:22.502–00:27:23.692] 哎呀，一听又。
[00:27:24.486–00:27:25.644] 听不懂是不是？
[00:27:27.014–00:27:29.932] 我觉得他这是就是翻译的严重有问题。
[00:27:34.246–00:27:37.164] 来，我们说变签仪式是什么类型啊？
[00:27:38.278–00:27:39.212] 我这么说吧。
[00:27:39.846–00:27:45.100] 就生活中的一个问题，这个问题很常见，但是你的处理方式。
[00:27:46.214–00:27:46.828] 不对。
[00:27:50.406–00:27:51.244] 明白这个意思吗？
[00:27:52.742–00:27:56.300] 你看啊，我们这么说吧，就说一个常见的问题。
[00:27:58.726–00:28:01.100] 然后你用一个非常规的方式。
[00:28:03.974–00:28:04.844] 去处理了。
[00:28:06.214–00:28:07.660] 对吧那是。
[00:28:08.230–00:28:10.380] 可不可以理解为过激行为呢？
[00:28:10.918–00:28:13.388] 我之前跟你们说过的那种过激的行为呢。
[00:28:18.278–00:28:21.900] 然后最终要回归正确的方法。
[00:28:23.750–00:28:24.876] 回归正确的方法。
[00:28:26.118–00:28:45.516] 就这种类型的片子其实也是非常常见的。它在古老的故事里面不常见，但是在电影故事在现实题材中是非常多的，是这几年是非常多的这种题材的片子，比如说录取通知书。我给大家举过这个例子，想考大学。
[00:28:46.022–00:28:49.932] 就就是想考大学的问题是个很常见的。
[00:28:50.534–00:28:57.100] 家庭问题很容易理解这个问题本身很容易理解。然后呢，他们伪造了一个大学，他并没有。
[00:28:58.438–00:29:00.972] 采用常用的手段伪造了一个大学。
[00:29:04.614–00:29:06.540] 实际上是一种。
[00:29:07.174–00:29:09.388] 过激的行为，同时也是一种。
[00:29:10.214–00:29:11.116] 责任的逃避。
[00:29:12.966–00:29:22.540] 所以在教材上，他认为我这个过激行为往往是一个逃避行为。你当然可以那么去理解啊，他逃避了，他没有用正确的方法解决，他当然是逃避。
[00:29:24.390–00:29:29.708] 最后他要回归，就这帮人开始真的努力学习之后，反而把这个假的大学。
[00:29:30.342–00:29:31.628] 给搞成了一个真的大学。
[00:29:32.774–00:29:33.612] 我说这就是。
[00:29:35.334–00:29:36.620] 所谓的变迁意识。
[00:29:38.118–00:29:39.052] 所谓的变迁意识。
[00:29:40.614–00:29:41.292] 能理解吗？
[00:29:42.406–00:29:46.348] 还有还有一个片子很红的，我不知道你们看没看过，叫触不可及。
[00:29:47.238–00:29:49.164] 就是一个全身瘫痪的一个富豪。
[00:29:49.990–00:29:54.060] 然后雇佣了一个这个呃刑满释放的一个。
[00:29:54.534–00:29:56.204] 小是街头小痞子。
[00:29:56.678–00:29:59.404] 一个一个黑人，对，原版是法国片。
[00:30:00.038–00:30:01.132] 然后美国也翻拍了。
[00:30:01.862–00:30:03.372] 美国版是凯文哈特演的。
[00:30:04.422–00:30:07.820] 凯文哈特跟那个绝命毒师的那个老白演。
[00:30:09.030–00:30:13.452] 嗯，讲的就是一个富豪全身瘫痪。然后呢。
[00:30:13.990–00:30:15.532] 对生活已经失去了。
[00:30:16.422–00:30:16.908] 信心了。
[00:30:19.430–00:30:21.900] 然后雇佣了一个黑人。
[00:30:23.398–00:30:28.396] 刑满释放的一个黑人年轻人做他的看护，这人毫无经验，也做不了看护。
[00:30:30.182–00:30:33.388] 这就是一个变迁意识的。他他的问题就是我瘫痪了。
[00:30:34.118–00:30:34.700] 我瘫痪了。
[00:30:36.646–00:30:38.060] 不想活了，我想死。
[00:30:38.726–00:30:43.244] 想死呢，但是自己又死不了呀，没有手段呀。他就说那我就雇一个。
[00:30:43.814–00:30:44.876] 不负责任的。
[00:30:45.638–00:30:46.604] 私人看护师。
[00:30:47.846–00:30:52.524] 让他一失误把我弄死得了，然后他就雇了一个最不靠谱的。
[00:30:53.286–00:31:02.572] 这个这个看护士，一般你不得雇一个四五十岁的老娘们干这种事儿嘛，对不对？阿姨什么的，对吧？比较细心嘛。
[00:31:03.302–00:31:06.572] 他就雇1个20多岁的刚刑满释放的黑人小伙。
[00:31:08.550–00:31:18.924] 但是最后反而这个黑人小伙子把他照顾的很好，用自己另类的方式把他照顾的很好，然后回归面对这个问题，就是我瘫痪了又怎样呢？我还是要努力的生活。
[00:31:19.430–00:31:20.076] 就在回归。
[00:31:20.774–00:31:25.996] 这就是所谓的变迁意识，这么理解能理解吧？这名字不需要去记啊，因为太难记了。
[00:31:26.758–00:31:27.468] 你就记这种。
[00:31:28.294–00:31:29.196] 寻常问题。
[00:31:29.798–00:31:32.908] 过激行为解决，最后回归正确方法。
[00:31:33.446–00:31:39.020] 好吧，包括麻烦家伙也是就是家伙遇麻烦，小人物一出大事就是这个类型。
[00:31:40.102–00:31:42.348] 如愿以偿也是啊，就这种名字。
