P013 第六课-剧本的格式6
[00:28:42.598–00:29:03.036] 你只能把这么说吧，比如说你说呃呃这个主角角色A可能先占优势，然后呃压制了角色B。然后后来呢角色B反超，然后角色A呢又气急败坏，使了个阴章，你这些可以描述一下，但是像这种。
[00:29:03.110–00:29:05.804] 呃，追逐戏打斗戏。
[00:29:06.438–00:29:08.652] 这种戏呢可能是。
[00:29:09.542–00:29:10.124] 最终。
[00:29:11.174–00:29:13.100] 呈现主要是靠。
[00:29:13.734–00:29:14.316] 导演组。
[00:29:15.014–00:29:15.564] 所用组。
[00:29:16.294–00:29:16.844] 长景组。
[00:29:17.446–00:29:18.892] 他们能找到什么样的场景？
[00:29:19.494–00:29:22.604] 来如何呈现这场戏，根据实际的情况。
[00:29:23.430–00:29:24.684] 他们决定的比较多。
[00:29:25.798–00:29:46.396] 所以在这种戏就很容易出现你写了一行字，他们拍了5分钟这种情况，大漠孤烟，万马奔腾，8个字要他们的命，对吧？看起来在你剧本上就8个字，但是呢他们要搞他们要拍拍蛮久的，一会有这种情况都不绝对。
[00:29:46.502–00:29:58.060] 好吧，但是咱们呃编剧来说啊，写剧本的时候也要装着一颗拍摄的心，你少写点大漠孤烟万马奔腾这种事情是吧？真的剧情需要没办法。
[00:29:58.534–00:30:02.956] 所以说这个剧本啊的格式我就给大家这么简单说一下。
[00:30:03.462–00:30:11.180] 大家理解这个意思，其实就是剧本呈现给大家的基本单位是场，一共有多少场戏？
[00:30:11.814–00:30:18.284] 嗯，一般那就是电视剧的话，以及4445分钟的电视剧，那就是三十几场戏。
[00:30:19.814–00:30:26.444] 电影的话也是七八市场，八个市场，对吧？11一个电影的剧本。
[00:30:27.174–00:30:27.820] 四丸字。
[00:30:29.318–00:30:31.916] 看你描述的细致程度嘛。
[00:30:33.030–00:30:42.156] 但是这个东西还是在实战中，大家自己去摸索吧。我只给大家讲一个最基本的，好吧，这节课加出来的，我会分享一份剧本给大家。
[00:30:42.790–00:30:43.596] 好，下课。
