P015 第八课-勾勒画面8.1
[00:28:09.062–00:28:14.956] 这个呃我我给你上点呃上一个西红柿炒鸡蛋，对吧？拿小碟儿盛给你。
[00:28:16.294–00:28:19.660] 那客人肯定生气啊，客人说你那大盘子空着给我看呢。
[00:28:20.774–00:28:29.836] 你上了两个大空盘子，然后告诉客人，我没有地方装了，我拿小碟给你盛点菜，我拿骨碟给你盛点，那肯定有失体统嘛。
[00:28:31.782–00:28:32.716] 明白这个意思吗？
[00:28:33.510–00:28:34.124] 就是说。
[00:28:34.694–00:28:36.844] 人家那种片子是因为信息量太。
[00:28:39.878–00:28:40.684] 所以用一点。
[00:28:41.382–00:28:44.876] 而且一般来说也用于用来交代。
[00:28:46.726–00:28:50.316] 环境的变迁或者年代的变迁，对吧？
[00:28:51.046–00:28:53.036] 30年以后什么什么什么。
[00:28:54.406–00:28:59.020] 就用点旁白，你用画面很难表现30年过去了。
[00:28:59.654–00:29:00.908] 对吧或者是。
[00:29:01.478–00:29:03.692] 1942年的那个冬天。
[00:29:05.190–00:29:06.668] 比以往来的更冷。
[00:29:07.430–00:29:10.252] 河南的农民踏上了逃荒的路。
[00:29:12.038–00:29:22.220] 这时候你用点白交代一下，否则大家看不出来这是哪年，这是些农民的桃荒，对吧？你用点可以那种都是。
[00:29:23.622–00:29:25.740] 高手高阶选手用的。
[00:29:27.270–00:29:31.948] 包括闪回，我们说老李小时候命运多舛。
[00:29:32.838–00:29:37.292] 闪回为啥有些有些呃牛逼的戏也用。
[00:29:37.862–00:29:51.276] 那些而且那个戏啊你去看啊，基本上都是通过小说呀，或者是通过别的文体改过来的。他有时候信息量确实是装不下了。你如果说是一个剧本，我就准备写一个剧本。
[00:29:52.518–00:29:54.412] 你还加骨蝶儿。
[00:29:55.462–00:29:57.644] 你要做多少菜，你心里没数吗？
[00:29:58.150–00:30:01.964] 我非常不推荐初学者用，你先老老实实把故事讲好。
[00:30:03.078–00:30:04.268] 可以用回忆。
[00:30:04.742–00:30:18.828] 没问题，回忆是可以用的，但别给我用闪回。就是我这儿需要一个之前的信息了。好家伙，我蹭的一下就往前闪一下，就为了交代我这个人小时候命运多舛，没有必要没有必要。
[00:30:19.462–00:30:23.148] 这是这个有些同学有可能会产生的疑问，好吧。
[00:30:23.878–00:30:30.156] 我们刚才说到哪儿了？咱们从大纲开始就是用这三样东西去去开始讲了。
[00:30:30.982–00:30:32.332] 全是可视化的。
[00:30:33.830–00:30:43.148] 对吧你全是能拍出来的，全是画面。为什么人家说编剧说话比小说家会有画面感，因为你们写每一。
[00:30:44.006–00:30:49.068] 段每一场的时候，你脑子里面装的全是画面，没有画面就不要写。
[00:30:49.862–00:30:51.148] 没有画面不要写。
[00:30:51.686–00:30:53.772] 对吧我记得我以前曾经在。
[00:30:54.662–00:30:56.460] 一个剧本里我自己的例子啊。
[00:30:56.934–00:31:01.836] 剧本里写过这么一段话，说我今天去朋友家做客。
[00:31:03.270–00:31:09.420] 朋友一对情侣，一对夫妻吧，一对小夫妻。我一推门一进去，他俩。
[00:31:10.374–00:31:15.692] 抬头跟我打了一下招呼，打了个招呼，他们俩都是我朋友嘛。然后呢。
[00:31:16.230–00:31:21.836] 虽然看起来没有什么异常，但是我感觉到他们俩刚吵过架。
[00:31:22.726–00:31:23.724] 这种情况有没有？
[00:31:24.358–00:31:27.724] 有吧，咱们生活里经常有，所以一推门发现哎。
[00:31:28.326–00:31:29.836] 两个人好像吵架了。
[00:31:30.918–00:31:34.380] 然后我就在剧本里写了这么这么一场戏。
[00:31:34.854–00:31:35.340] 来。
[00:31:37.190–00:31:38.412] 你让导演咋拍？
[00:31:40.934–00:31:42.892] 你感觉到他俩好像吵过架。
[00:31:43.398–00:31:54.892] 你用内心独白吗？咦，他们俩是不是吵过架了，你只能用内心独白去表达，这就是我说的，不要这样做很low这点信息。
[00:31:55.494–00:32:01.548] 对吧你这么写就是不负责任，因为你拍不出来，然后你写内心独白呢就是low。
[00:32:02.182–00:32:03.500] 那你说这种情况怎么办？
[00:32:04.934–00:32:12.972] 你就得描述给导演或者描述给工作人员，你想表达我能感觉出他俩人吵过架。
[00:32:14.022–00:32:15.436] 那他俩的坐姿。
[00:32:16.870–00:32:18.060] 地上的物品。
[00:32:19.014–00:32:20.524] 他俩说话的语气。
[00:32:21.350–00:32:23.436] 然后他们正在观看的电视节目。
[00:32:24.934–00:32:26.988] 他俩抬头看我时候的眼神儿。
[00:32:27.590–00:32:32.012] 我接到这个信息之后，我的反应你把这些描述出来。
[00:32:32.646–00:32:45.228] 让观众跟着你一起感觉到，我操他俩好像真的是吵过架了，这才行，明白这个意思吗？不要不负责任的写，我感觉他俩好像吵过架了，那观众感觉不到。
[00:32:47.014–00:32:47.916] 这是不负责任。
[00:32:48.998–00:33:00.332] 然后呢，说那我写写成内心独白，对吧？我我这个主角往里一进，内心独白，咦，他们俩是不是吵过架了，这是low。
[00:33:01.062–00:33:03.372] 才驴于地球，不要这么做。
[00:33:03.974–00:33:05.836] 好不好？描述出来。
[00:33:06.726–00:33:10.252] 不难描述出来，这就是发挥我们本领的时候。
[00:33:10.726–00:33:30.124] 我跟大家说，这素材，平常积累的那些素材调用一下呀，你生活中每一个人都有去别人家里一推门，感觉气氛不太对，对方好像吵过架，每个人都有这样的经历。你下次经历这种事情的时候，好好观察一下，是什么触发了你这个感受。
[00:33:30.982–00:33:38.796] 对吧肯定不是地上一滩雪，那还有个菜刀，那不是刚刚吵过架，那是出大事的，你赶紧报110。
[00:33:40.038–00:33:48.460] 肯定不是这么大的症仗的一个描述，对吧？就是一些微小的一个眼神，或者是坐姿。
[00:33:49.222–00:33:55.596] 对吧或者是他们说话的语气，平常你你去了，他们都是说哎，你来了。
[00:33:57.126–00:33:58.764] 那个呃做。
[00:34:00.230–00:34:01.004] 说四个字儿。
[00:34:01.606–00:34:02.892] 今天是来了。
[00:34:05.382–00:34:06.188] 俩字儿。
[00:34:06.854–00:34:08.684] 那不是这区别不就来了吗？
[00:34:09.254–00:34:11.756] 就就能感受到气氛的不对了。
[00:34:14.630–00:34:17.900] 这只是举个例子，好吧，就是说你。
[00:34:18.566–00:34:29.036] 从大纲开始，你的每一笔都要负起责任，负起什么责任，负起一个勾勒画面的责任，不要写那种没有画面的事儿了。
[00:34:29.830–00:34:38.156] 没有画面的话，一句也不要写了。那写写一些什么样的事儿呢？你写事儿，你得跟着脉络走呀，1个脉络。
[00:34:38.662–00:34:39.884] 每一段的责任。
[00:34:40.454–00:34:41.292] 大家明白了吗？
[00:34:43.174–00:34:43.916] 不是很明白。
[00:34:45.350–00:34:46.028] 不是很明白。
[00:34:47.366–00:34:50.700] 确实这一部分呢就是概念性的东西多。
[00:34:52.230–00:34:57.612] 但是我们必须去这么学。我上一节课跟大家说过啊，我说这是个横轴。
[00:34:59.494–00:35:00.556] 这是个横轴啊。
[00:35:02.374–00:35:04.556] 这是根据时间画的轴。
[00:35:05.766–00:35:10.156] 我之前教过大家，我们说讲故事有八要素。
[00:35:11.782–00:35:12.236] 对吧。
[00:35:14.406–00:35:18.412] 我说按照八要素可以完整的讲出一个故事梗概。
[00:35:19.686–00:35:20.588] 什么样的人？
[00:35:21.382–00:35:22.796] 产生了一个什么样的欲望？
[00:35:23.430–00:35:25.484] 通过一个什么样的动作去实现？
[00:35:25.958–00:35:28.012] 遇到了一个什么样的核心问题？
[00:35:28.710–00:35:34.508] 对吧实现这个问题的过程中，重重的阻碍是什么？最后得到了一个什么样的结果？
[00:35:35.110–00:35:38.700] 在这个得到这个结果以后呢，正价值战成了负价值。
[00:35:39.910–00:35:40.556] 八要素。
[00:35:42.342–00:35:42.764] 对不对？
[00:35:44.614–00:35:53.100] 那么我们来说现在写大纲的时候，时间轴是启成转和，是这个序列。那我们的八要素何去何从呢？
[00:35:55.398–00:35:56.940] 八要素就是我们的纵轴。
[00:35:58.438–00:35:58.924] 纵轴。
[00:36:04.422–00:36:05.196] 你看啊。
[00:36:06.022–00:36:08.236] 这是10个核心事件。
[00:36:09.990–00:36:12.140] 这是10个核心事件的。
[00:36:12.646–00:36:13.228] 作用。
[00:36:14.342–00:36:15.692] 然后我们的八样素。
[00:36:17.414–00:36:19.052] 分成三大要素的话。
[00:36:19.686–00:36:20.620] 就是人物。
[00:36:24.326–00:36:24.940] 世接。
[00:36:26.342–00:36:27.052] 主题。
[00:36:31.366–00:36:33.196] 然后人物是什么来着？
[00:36:34.342–00:36:34.988] 身份。
[00:36:41.542–00:36:42.156] 欲望。
[00:36:47.142–00:36:47.692] 动作。
[00:36:55.718–00:36:56.492] 问题。
[00:36:58.886–00:36:59.564] 主力。
[00:37:01.414–00:37:01.964] 结果。
[00:37:08.422–00:37:10.636] 主题正价值。
[00:37:11.462–00:37:12.876] 副驾驶对吧？
[00:37:15.366–00:37:19.948] 我们说你把你原本的八要素放在纵轴上。
[00:37:22.566–00:37:23.276] 然后。
[00:37:24.230–00:37:25.324] 让他实现。
[00:37:25.990–00:37:26.604] 他在。
[00:37:28.390–00:37:29.964] 每一个环节内。
[00:37:30.886–00:37:34.444] 序列横轴序列内每一个环节内的作用。
[00:37:35.110–00:37:36.076] 比如说他的身份。
[00:37:36.742–00:37:37.356] 上来。
[00:37:37.894–00:37:43.820] 开场画面里面，哎呦，我们应该往写的那一排啊，来开场画面里面。
[00:37:44.454–00:37:45.260] 他的身份。
[00:37:45.958–00:37:47.852] 他的第一身份必须交代。
[00:37:48.550–00:37:49.356] 必须交代。
[00:37:50.438–00:37:51.628] 这时候他会有一个身份。
[00:37:52.646–00:37:53.100] 对吧。
[00:37:55.782–00:37:56.428] 我们说。
[00:37:57.222–00:37:57.772] 在。
[00:37:58.662–00:38:00.620] 转折这里他的身份。
[00:38:01.350–00:38:02.412] 也是会发生变化的。
[00:38:04.006–00:38:08.044] 他开起始欲望是什么？终点的欲望是什么？后点的欲望是什么？
[00:38:08.742–00:38:14.252] 就是说把你的八要素在横横轴里面找到各自的位置。
[00:38:17.062–00:38:18.220] 你之前的梗概。
[00:38:18.854–00:38:19.660] 结合你。
[00:38:20.166–00:38:21.964] 新的10个序列事件。
[00:38:22.918–00:38:25.548] 就可以形成一个很立体的。
[00:38:26.278–00:38:27.276] 表格式的。
