P059 三十三课-怎样克服拖延症
[00:23:59.750–00:24:02.508] 假设你写剧本的时候，你每写一个字儿。
[00:24:03.174–00:24:03.628] 你的。
[00:24:04.774–00:24:07.564] 这个手机钱包就叮进来1块钱。
[00:24:08.518–00:24:12.748] 如果有这个及时正反馈，我告诉你，所有的编剧都不可能脱稿。
[00:24:14.022–00:24:15.532] 就绝对消灭拖延症了。
[00:24:16.134–00:24:23.468] 你每写一个字儿，那别就进账1块钱，每写一个字进账1块钱。我跟你说，这个事儿啊会比玩抖音打游戏还有意思。
[00:24:24.358–00:24:26.348] 你会更有你会非常有干劲。
[00:24:27.462–00:24:31.980] 因为他创造了一个叫及时正反馈这个东西，而且是钱。
[00:24:33.126–00:24:34.188] 他消灭一切。
[00:24:35.174–00:24:36.044] 那个那个那个。
[00:24:36.934–00:24:38.252] 刷短视频带来的快感。
[00:24:38.726–00:24:40.108] 对吧钱的快感是最大的。
[00:24:40.998–00:24:45.964] 所以说你看如果写剧本有及时性反馈，那编剧就不可能是。
[00:24:47.686–00:24:48.716] 拖炎症的仲裁去了。
[00:24:50.726–00:24:57.836] 我们说去网吧打游戏，我们年轻的时候都去网吧通宵，去网吧通宵打游戏，从来没有一个人犯拖眼镜。
[00:24:58.342–00:25:13.228] 从来没有一个人打开电脑，磨磨唧唧，哎呀，进游戏慢点进吧，我先干点，我还没准备好，我等会儿再进服务器吧，不可能的，每个人都在那迫不及待，而且还在那骂这什么网速啊，我怎么还没进去啊，对吧？
[00:25:14.118–00:25:14.572] 为什么？
[00:25:15.046–00:25:16.684] 就因为那个玩意儿它有及时正反馈啊。
[00:25:18.470–00:25:19.596] 所以说你看写作。
[00:25:20.518–00:25:20.972] 写剧本。
[00:25:21.446–00:25:22.796] 你要给自己创造一个。
[00:25:23.654–00:25:24.396] 及时正反馈。
[00:25:24.998–00:25:25.580] 比如说。
[00:25:26.182–00:25:28.492] 你每天写写完多少字之后。
[00:25:29.126–00:25:37.004] 奖励自己吃点好的，吃个冰淇淋，或者每天写完多少字之后，奖励自己干点啥，干点什么你开心的事。
[00:25:37.606–00:25:39.564] 给自己创造这个这叫小奖励。
[00:25:40.614–00:25:42.924] 大奖励把它具体出来。小奖励呢？
[00:25:43.494–00:25:44.524] 然后让他平繁起来。
[00:25:45.382–00:25:47.788] 这样的话你自己去创造一个正。
[00:25:49.158–00:25:49.708] 这就是。
[00:25:50.214–00:25:52.748] 解决拖延症，从原理的角度，第一个方。
[00:25:54.054–00:25:54.636] 第二个方法。
[00:25:56.582–00:25:59.340] 就我们犯拖延症的那些事儿啊，他往往是一个。
[00:26:00.550–00:26:04.492] 大的事儿除了没有及时正反馈以外啊，它往往是一个复杂工程。
[00:26:06.054–00:26:07.020] 简单工程啊。
[00:26:07.494–00:26:08.332] 很难反拖圆价。
[00:26:08.838–00:26:10.636] 比如说这儿有一块砖。
[00:26:11.366–00:26:15.564] 有点碍事儿，走路有点碍事儿，我让你把它搬到外面去。
[00:26:16.134–00:26:19.788] 就一块砖的事儿，很少有人有拖延镜，因为太简单了。
[00:26:22.310–00:26:26.156] 所以说犯拖延证呢，往往是这个任务啊，他有时候挺复杂。
[00:26:27.462–00:26:28.300] 比如说一个剧本。
[00:26:28.934–00:26:30.060] 特别是一个电视剧剧本。
[00:26:30.598–00:26:31.372] 几十万次。
[00:26:31.942–00:26:35.628] 这他妈啥时候是个头呢？对吧？几十万字，然后嘞。
[00:26:36.262–00:26:37.580] 比如说700多场戏。
[00:26:39.078–00:26:40.236] 这啥时候是个头呢？
[00:26:41.926–00:26:42.476] 这时候啊。
[00:26:42.950–00:26:45.196] 就要把庞大的任务拆解。
[00:26:46.566–00:26:47.532] 我们叫拆解任务。
[00:26:48.710–00:26:49.196] 做计划。
[00:26:51.270–00:26:52.204] 拆解任务做计划。
[00:26:54.406–00:27:01.708] 这也是克服拖延症的一个重要方法。你把庞大的任务啊一拆解，你就会发现每天啊。
[00:27:02.534–00:27:05.196] 不用你写多少场的，每天写不了多少字的。
[00:27:07.398–00:27:08.588] 这个这个事情啊。
[00:27:09.062–00:27:11.564] 也是克服拖延这样一个有效的方法。
[00:27:12.198–00:27:13.260] 咱们大部分同学啊。
[00:27:13.734–00:27:18.892] 有拖延症的同学啊，他是怎么他是怎么做事的呢？比如说啊咱们随便说。
[00:27:20.294–00:27:21.772] 假设这个剧本30万字。
[00:27:22.630–00:27:29.132] 30万字，然后呢，他人生当中一天最多一次写过15000字。
[00:27:30.054–00:27:31.404] 然后呢，他就給自己。
[00:27:32.358–00:27:36.076] 一个拖延症的西里安慰说，我最后20天再写。
[00:27:36.998–00:27:40.140] 20天1005000正好30万是吧？
[00:27:40.742–00:27:42.348] 但我告诉你，这种情况下。
[00:27:43.110–00:27:44.012] 基本上就完蛋了。
[00:27:44.742–00:27:45.996] 到了那天你也写不了。
[00:27:47.174–00:27:50.220] 肯定会出点啥事，为啥呢？因为这就是标准的团。
[00:27:51.558–00:27:52.108] 标准的船统。
[00:27:52.742–00:28:00.172] 正确的方法是从你接到任务的当天，就把这个任务拆解了。你就会发现每天的工作量并不大。
[00:28:02.310–00:28:06.508] 把它拆解了之后，你就会发现你整个任务可控可执行。
[00:28:07.206–00:28:09.228] 比如说每天只需要工作1小时。
[00:28:10.022–00:28:15.404] 其实啊关于写作，我是不提倡大家每天写作超过4小时的。
[00:28:16.230–00:28:19.500] 你如果是专业写作，我都不推荐你。
[00:28:20.166–00:28:28.076] 超过4小时，你如果是业余，我认为两个小时就足够了。你每天把两个小时刷短视频的时间换成写作。
[00:28:28.550–00:28:32.140] 日积月累，你就会发现你你可以完成一个非常庞大的计划。
[00:28:33.670–00:28:36.844] 就是用这种拆解的方法啊，就是用这种拆解的方法。
[00:28:37.446–00:28:39.116] 把这个庞大的任务。
[00:28:39.718–00:28:41.612] 变得可执行。你就会发现。
[00:28:42.118–00:28:44.652] 每天的工作啊其实并不多啊。
[00:28:45.254–00:28:46.828] 然后第三种方法。
[00:28:48.582–00:28:49.260] 就是从。
[00:28:50.374–00:28:53.708] 把那些给你及时反馈的那些干扰因素。
[00:28:58.150–00:28:58.732] 关闭干扰。
[00:29:00.774–00:29:01.260] 为啥呢？
[00:29:01.766–00:29:02.764] 因为你。
[00:29:03.494–00:29:04.812] 再给自己定目标。
[00:29:05.286–00:29:06.476] 再拆解这个计划。
[00:29:07.430–00:29:07.852] 太阳。
[00:29:08.390–00:29:10.476] 这个事儿啊，他也不如手机香啊。
[00:29:11.206–00:29:11.628] 是吧哈？
[00:29:12.998–00:29:26.380] 你再拆解，再有正反馈，实际上他还是没有刷短视频，躺在那里玩短视频更安逸，或者躺在那里打游戏更安逸，对吧？所以呢在工作期间把这个干扰关闭。
[00:29:28.582–00:29:32.492] 我们小时候干扰一般是游戏机啊或者电视啊，对吧？
[00:29:32.966–00:29:41.388] 或者是看小说啊什么的对吧？现在的干扰比较单一，就是手机就是手机，一切的干扰都来自于手机。
[00:29:41.926–00:29:46.956] 所以在工作期间把手机关掉，对吧？或者把手机调到工作模式。
[00:29:47.686–00:29:50.028] 这个是很重要的一个事情啊，把这个。
[00:29:51.334–00:29:51.692] 关闭。
[00:29:52.518–00:29:52.940] 游戏。
[00:29:53.830–00:29:55.244] 关闭短视频，关闭游戏啊。
[00:29:55.718–00:29:59.468] 同学们，我自己也有拖延症啊，我刚才说过啊，举我自己的例子。
[00:30:00.038–00:30:02.764] 这个这个这个我的拖延症其实曾经也挺严重的。
[00:30:03.558–00:30:04.076] 呃。
[00:30:07.206–00:30:09.676] 很大一部分原因来自于打网游啊，打网游。
[00:30:11.654–00:30:18.924] 我是怎么戒掉这个事儿的呢？我就是有一次我其实打了20年的网游，同学们打了20年的网游。
[00:30:19.398–00:30:27.244] 呃，当然当中断断续续啊也也玩不同的游戏。有一次我玩一个游戏，这个游戏出了一个叫游戏生涯总结。
[00:30:28.870–00:30:38.252] 就是他总结了我打了多长时间游戏，升了多少级，什么什么，反正做了一个那种回顾，自动生成了一个你的游戏生涯回顾。
[00:30:38.918–00:30:40.012] 我觉得这个东西吧。
[00:30:40.870–00:30:44.844] 设计出这个活动的这个产品经理啊，应该被开除。
[00:30:45.798–00:30:55.916] 因为他并没有给我带来很多的荣耀感，反而让我发现，我操我在这个游戏上怎么浪费了这么多的时间和金钱呀。
[00:30:58.662–00:31:01.612] 而且我当时算了算那个时间，如果用来写剧本。
[00:31:02.342–00:31:03.468] 能写三部戏。
[00:31:04.998–00:31:11.436] 就会发现，虽然我不是一个重度网瘾患者啊，我其实每天打游戏也就打个半个小时一个小时。
[00:31:12.390–00:31:15.436] 很克制，但是你就会发现日积月累啊。
[00:31:16.358–00:31:18.764] 还是严重的影响了你的工作。
[00:31:19.302–00:31:21.804] 浪费了很多时间，所以当时我就把游戏戒掉了。
[00:31:22.278–00:31:25.068] 这也是我说的，你只要拆分开啊。其实。
[00:31:26.854–00:31:35.500] 你可以做成一个很大的工程啊，游戏是个反面例子。当然主要是说的大家要关闭手机，关闭干扰啊，这是第三个方法。
[00:31:37.894–00:31:38.668] 第四个方法。
[00:31:39.334–00:31:39.724] 在。
[00:31:41.478–00:31:42.188] 客服。
[00:31:42.694–00:31:43.436] 会员证里面。
[00:31:43.910–00:31:47.276] 有一个非常著名的叫十分钟法则。
[00:31:48.710–00:31:49.356] 这个。
[00:31:50.214–00:31:52.716] 国内外都经常提啊1分钟法则。
[00:31:54.118–00:31:59.372] 客服拖延证就是你不想干对吧？什么事你不想干正事不想干，不想写的时候啊。
[00:32:00.774–00:32:01.580] 你说服自己。
[00:32:02.310–00:32:03.148] 先写10分钟。
[00:32:03.718–00:32:05.132] 十分钟你总有吧。
[00:32:05.766–00:32:07.276] 十分钟你总能坚持吧。
[00:32:07.942–00:32:09.388] 先写10分钟还不行吗？
[00:32:10.086–00:32:11.500] 这就是著名的10分钟法则。
[00:32:12.230–00:32:12.652] 什么能？。
[00:32:15.334–00:32:30.348] 不想干，不想写的时候，特别是早上起来，对吧？早上起来是扩延症的重灾区，磨磨唧唧，这个没干完，那个没干完，对吧？，一会儿又要又要说哎呀，我要不先洗衣服吧，哎呀，要不先收拾收拾这个吧，就磨磨唧唧就不开始干活。
[00:32:31.366–00:32:32.460] 先十分钟还不行。
[00:32:33.382–00:32:34.156] 先写10分钟。
[00:32:35.398–00:32:35.884] 這就是。
[00:32:36.518–00:32:40.972] 著名的1分钟法则，这个法则的原理是啥呢？其实就是让你进入状态。
[00:32:41.638–00:32:44.268] 我们很多时候啊在在这个。
[00:32:45.286–00:32:54.380] 面对由于长时间的拖延症啊，由于你长时间的拖延症困扰，所以你在面对任务的时候啊，实际上是带着恐慌的。
[00:32:54.918–00:32:58.828] 很多时候啊你是高估了这个任务的困难性。
[00:33:01.542–00:33:03.084] 你只要先写1分钟啊。
[00:33:04.262–00:33:05.260] 往往你就进入状态。
[00:33:05.926–00:33:10.668] 你会不知不觉发现10分钟很快就过去了，一个小时两个小时。
[00:33:11.142–00:33:12.940] 也过去了，你就工作起来。
[00:33:13.446–00:33:15.596] 所以说这就是十分钟法则，它的原理。
[00:33:16.102–00:33:16.876] 其实他就是。
[00:33:17.542–00:33:19.404] 告诉你，你高估了。
[00:33:19.942–00:33:21.004] 任务的困难性了。
[00:33:21.510–00:33:27.692] 你只要开始动手进入到里面也就没有那么困难了啊，这就是1分钟法则。
[00:33:28.614–00:33:34.444] 配合十分钟法则，我们再提出一个方法啊，配合十分钟法则叫我最爱的一场戏。
[00:33:40.198–00:33:43.372] 就是我们在写剧本的时候啊，在做一个项目的时候啊。
[00:33:43.846–00:33:44.428] 有时候。
[00:33:45.094–00:33:45.644] 下手。
[00:33:46.790–00:33:50.892] 虽然十分钟法则好用，但是呢下手有时候写不出来。
[00:33:51.526–00:33:57.644] 那我建议你，你先写你整个结构当中你最喜欢的一场戏，最喜欢的一段戏。
[00:33:59.206–00:34:05.548] 这个项目是你想出来的，这个故事是你构思出来的这些人物是你创造出来。
[00:34:06.086–00:34:13.676] 你即便还没有整体思路，还没有完全想好咋写，但是你必然有你最喜欢的那么几场戏。
[00:34:14.790–00:34:18.508] 对吧因为有些对抗，你是在创造人物的时候就已经想好了。
[00:34:19.526–00:34:23.340] 你是在构建环境的时候，就已经想好在这儿要发生一个什么事儿了。
[00:34:23.942–00:34:24.620] 先写那一场。
[00:34:25.670–00:34:26.412] 先写那一场呀。
[00:34:27.430–00:34:28.204] 能够帮助你。
[00:34:28.934–00:34:30.284] 快速的进入状态。
[00:34:32.198–00:34:32.556] 就是。
[00:34:35.078–00:34:36.044] 写你最爱的一戏。
[00:34:36.550–00:34:36.972] 第五方。
[00:34:37.862–00:34:38.604] 第六个方法。
[00:34:39.558–00:34:40.204] 我叫他。
[00:34:41.318–00:34:41.836] 为了谁？
[00:34:44.006–00:34:44.396] 为了谁？
[00:34:48.166–00:34:48.684] 啥意思啊？
[00:34:49.734–00:34:50.156] 就是。
[00:34:51.110–00:34:53.356] 拖延症严重的这些同学啊。
[00:34:53.958–00:34:57.260] 往往就是我说的那种内驱力比较差。
[00:34:58.982–00:34:59.948] 啥叫内驱力啊？
[00:35:00.550–00:35:01.900] 内驱力也叫自驱力。
[00:35:03.590–00:35:04.012] 就是。
[00:35:07.014–00:35:09.580] 你可以测试一下你是不是缺乏内驱力的人。
[00:35:10.566–00:35:11.628] 就是一个事情啊。
[00:35:12.678–00:35:14.316] 如果是别人拜托你。
[00:35:15.110–00:35:17.740] 这个事儿是帮别人的对别人好的事情。
[00:35:18.406–00:35:20.012] 你往往比较上心。
[00:35:21.030–00:35:23.820] 但是呢这个事情如果只是对你自己负责任。
[00:35:24.486–00:35:25.676] 做了之后对你好。
[00:35:27.846–00:35:29.068] 你反而拖拖拉拉。
[00:35:29.574–00:35:29.996] 最後。
[00:35:30.534–00:35:31.948] 往往不了了之了。
[00:35:33.478–00:35:38.700] 这种情况就是典型的缺乏内驱力或者缺乏自驱力。
[00:35:39.846–00:35:43.372] 那为什么别人的事儿往往比较上心呢？因为那是外驱理。
[00:35:44.038–00:35:48.300] 就这个事情啊，你如果没有做好，别人会很失望。
[00:35:49.254–00:35:50.540] 你受不了别人失望。
[00:35:51.494–00:35:53.516] 外驱力趋势你做的比较好。
[00:35:54.310–00:35:58.476] 但是如果一个事情你明明知道你如果咬咬牙做了。
[00:35:59.046–00:36:04.204] 对你自己的人生，对你自己的发展会有帮助，会有好处，会有提升。
[00:36:05.286–00:36:05.964] 你还不去做。
[00:36:07.942–00:36:09.804] 你看这就是典型的内驱力缺乏。
[00:36:10.598–00:36:11.628] 这也是一个场。
[00:36:12.806–00:36:14.028] 这也是很多同学。
[00:36:14.534–00:36:15.852] 有拖延症的原因。
[00:36:16.454–00:36:17.356] 是内曲利权。
[00:36:19.174–00:36:20.172] 内驱力缺乏。
[00:36:20.902–00:36:23.308] 非常影响一个人的成长。
[00:36:25.574–00:36:29.036] 同学们，我在生活中认识很多所谓的。
[00:36:29.574–00:36:34.956] 成功人士吧，对吧？所谓混的比较好的人，他们无一例外啊都是内驱力行人。
[00:36:35.846–00:36:38.316] 都是行动派，做事情都是很果断的。
[00:36:40.646–00:36:42.092] 那么你如果。
[00:36:42.918–00:36:48.364] 内曲力差。我们说你有拖延症的话，往往是内曲力差。内曲力差的话，其实。
[00:36:48.966–00:36:49.676] 外曲力啊。
[00:36:50.342–00:36:51.308] 会相对好一些。
[00:36:52.390–00:36:54.508] 也就是说这个事情如果是为了谁而做。
[00:36:55.142–00:36:56.044] 你可能更伤心。
[00:36:57.094–00:36:58.348] 在咱们的班级里呢。
[00:36:59.334–00:37:01.580] 在咱们的特别是在咱们的训练营里。
[00:37:02.214–00:37:03.372] 我跟他们强调的是。
[00:37:03.846–00:37:04.716] 所有人写剧本。
[00:37:06.278–00:37:07.820] 你可以不为了你自己写。
[00:37:08.838–00:37:09.676] 你为了我来写。
[00:37:11.398–00:37:12.236] 为了老师来写。
[00:37:14.982–00:37:16.012] 然后你如果写不好。
[00:37:17.446–00:37:18.604] 我会觉得很失望。
[00:37:19.270–00:37:20.492] 我会觉得很丢脸。
[00:37:21.702–00:37:23.052] 我会觉得我教的不好。
[00:37:25.030–00:37:25.548] 所以大家。
[00:37:26.086–00:37:27.660] 可以尝试为了我而行。
[00:37:28.550–00:37:46.380] 当然了，你生活当中如果你有个很爱的人，对吧？你爸妈或者你你的爱人你毛定他更更合适，对吧？我是说你如果没有人毛的话，你可以铆定我对吧？为了我写嘛？为了老师写老师在看着你好不好？为了我写对吧？为了我写。
[00:37:47.622–00:37:50.028] 然后呢，其实还有一个很好的方法啊。
[00:37:50.598–00:37:54.412] 在实践当中用的非常多的一个方法，就是找搭档。
[00:37:59.686–00:38:00.460] 就找个搭档。
[00:38:00.966–00:38:03.436] 其实找搭档也能解决为了谁的问题。
[00:38:04.102–00:38:17.964] 就是在咱们实践当中啊，在咱们实际这个剧本这个职业编剧的这个这个这个行业里边啊，有很多的双人双人组合，有很多很多的双人组合啊，其中有非常多的夫妻档。
[00:38:18.662–00:38:21.228] 也有这个兄弟档啊，姐妹档都有。
[00:38:22.598–00:38:24.236] 我曾经有两个学生啊。
[00:38:24.742–00:38:27.532] 有一个是非常严重的拖延症。
[00:38:28.038–00:38:29.100] 兼抑郁症。
[00:38:29.862–00:38:31.596] 几乎都要放弃职业生涯了。
[00:38:32.806–00:38:41.260] 他年轻的时候很很很年轻就得过大奖啊，是一个非常好的苗子，好很好的编剧苗子是个女孩子。但是由于严重的拖延症。
[00:38:41.766–00:38:46.924] 伴着伴随着抑郁症，他几乎要放弃职业生涯了。但是最后咋解决问题的呢？
[00:38:47.430–00:38:50.380] 就是找了一个好姐妹，两个人一块儿写。
[00:38:51.046–00:38:53.132] 然后现在呢就克服了这个问题。
[00:38:53.670–00:38:59.564] 又呃这个作品又又出的很快了，对吧？有一个戏还是给我写的，目前正在给我写。
[00:39:00.294–00:39:05.356] 这个这个就是他跟他的搭档啊，他跟他的搭档，所以找搭档啊在。
[00:39:06.566–00:39:08.972] 咱们这个行业里面啊是解决拖延症。
[00:39:09.862–00:39:10.924] 呃的一个方法。
[00:39:12.614–00:39:18.380] 为啥嘞？为啥这个方法好用呢？就是其实就是解决一个内外内趋力转外趋力的问题。
[00:39:19.078–00:39:28.172] 俩人互相监督是吧？抱团取暖，两个拖延者互相监督，你看你写多少，我看我写了多少。当然了，大部分时候是写同一个作品。
[00:39:29.254–00:39:37.708] 有时候呢也可以不写同一个作品，两个搭档也可以不写同一个作品，但依然可以互相交换意见，互相监督，互相督促。
[00:39:38.630–00:39:40.332] 互相帮着想办法。
[00:39:41.286–00:39:45.580] 明白吧？所以说这也是非常好用，非常实在的一招。
[00:39:46.054–00:39:51.724] 咱们的同学啊，由于咱们同学咱们有社群啊，咱们有很多同学在一个班级里，你们如果。
[00:39:52.198–00:39:57.164] 感觉自己拖延症很严重，感觉自己内驱力不足，我也推荐你们。
[00:39:57.766–00:39:59.564] 在同一个城市找一个搭档。
[00:40:00.262–00:40:04.044] 当然了，现在这个这个这个交互方式其实是不是同一个城市的？
[00:40:04.870–00:40:05.836] 不那么重要，对吧？
[00:40:06.662–00:40:08.364] 可以视频嘛，可以语音嘛。
[00:40:09.190–00:40:10.636] 所以说找搭档啊。
[00:40:11.366–00:40:14.796] 是实践当中总结出来的非常好用的一招。
[00:40:17.702–00:40:18.156] 7条。
[00:40:19.110–00:40:23.852] 就是我给大家总结的克服拖延症的方法，克服拖延症了。
[00:40:25.254–00:40:27.180] 当然了，这些啊都是。
[00:40:28.006–00:40:28.972] 这个这个这个。
[00:40:32.646–00:40:38.828] 从表层来讲啊，从方法论的角度来讲，克服你拖延症的一些。
[00:40:39.878–00:40:40.236] 一些。
[00:40:41.126–00:40:41.900] 计俩嘛。
[00:40:42.438–00:40:43.468] 或者一些招数吧。
[00:40:44.742–00:40:50.732] 本质上来说啊，我还是希望大家提高自己的写作水平，提高自己的想象力。
[00:40:51.238–00:40:52.620] 如果你把写作。
[00:40:53.318–00:40:54.924] 修炼成一种享受。
[00:40:55.526–00:41:09.612] 是吧就是你不需要延那个那个未来的那个延迟享受，对你激励。你写作本身写作这个过程，你本身就能找到快乐，找到享受，对吧？你文思泉涌，下笔如有神。
[00:41:10.278–00:41:21.132] 这个这个你如果能修炼到到这种程度，你好好学习咱们讲故事的方法，好好练习，对吧？能修炼到这种程度，用咱们的创作方法能够如鱼得水。
[00:41:21.862–00:41:36.076] 那么你创作本身你就会感觉写东西就像刷短视频一样有趣，就像打游戏，你安排这些角色在这个戏中的命运线，就像你打那个角色扮演游戏一样快乐。
[00:41:37.126–00:41:41.580] 你最终要是拿能达到那种境界，那这些方法你都不需要。
[00:41:42.374–00:41:46.604] 因为写作本身就给你带来了及时正。
[00:41:47.174–00:41:53.292] 就给你带来了快乐，带来了享受。你也不会认为写作是一种能让你痛苦的事儿。
[00:41:54.342–00:41:55.084] 明白这个意思吧？
[00:41:56.262–00:42:02.892] 那这节课就说这么多，因为拖延症啊确实困扰着我们几乎所有的创作者。
[00:42:03.782–00:42:07.532] 所以我希望大家尽早的克服成为一个好编剧，好吧。
[00:42:08.294–00:42:08.652] 下课。
[00:42:09.990–00:42:11.116] 嗯。
