P063 职业编剧怎么用ai写剧本
[00:25:42.438–00:25:47.084] 对吧你说了些什么呀？你什么还有人比我厉害。
[00:25:47.622–00:25:54.444] 不理解就好像咱们这一代人觉得聪明就是正义呀，从小我们就这么被灌输的呀，也要被颠覆喽。
[00:25:55.334–00:25:56.524] 因为能力换了呀。
[00:25:58.182–00:25:58.924] 能力换了。
[00:26:00.102–00:26:02.572] 所以说AI会带来的颠覆性的东西很多。
[00:26:03.334–00:26:11.052] 是吧它是一个巨大的窗口期，它会有一个比较长的窗口期，机会很多的一个窗口期，你不要再犹豫了。
[00:26:12.070–00:26:12.844] 赶紧学吧。
[00:26:13.862–00:26:20.172] 不要觉得哎呀这个东西到底行不行啊，low不low啊，对吧？我们经常会觉得新的东西low。
[00:26:21.222–00:26:41.852] 对吧直播刚出来的时候，我们觉得他low，我觉得哎呀直播的人都是网络卖什么，对吧？电商刚出来的时候觉得low，对吧？甚至于喊打喊杀，把电商都灭了，中国的经济就好了，实体就起来。其这是一些很错误的想法。我跟大家讲，互联网刚出来的时候，中央台都有个节目讨论互联网到底对这个世界好不好？
[00:26:42.790–00:26:54.444] 因为新东西出来的时候啊，大家因为对他的恐惧，因为对固有赛道的坚持，因为那些既得利益者的舆论引导，大家会对一个新技术进行攻击。
[00:26:55.942–00:26:57.420] 造一些阴谋论，对吧？
[00:26:57.894–00:26:58.700] 造一些这种想。
[00:27:00.134–00:27:00.684] 没有必要。
[00:27:02.598–00:27:03.500] 我们这一代人啊。
[00:27:05.062–00:27:09.196] 非常受一句电影台词的影响，姜文导演在让子子弹飞里面。
[00:27:09.670–00:27:12.812] 说有一句台词说要站着把钱挣了同学们。
[00:27:14.438–00:27:16.076] 我们很多人说这句台词影响。
[00:27:16.870–00:27:17.292] 觉得。
[00:27:18.470–00:27:22.252] 如果一件事情虽然挣钱，但是如果别人说他low，我就不做了。
[00:27:23.270–00:27:24.236] 我认为影响不好。
[00:27:25.382–00:27:25.996] 首先。
[00:27:26.470–00:27:27.948] 姜文导演肯定不是这个意思。
[00:27:28.678–00:27:29.164] 为啥呢？
[00:27:29.670–00:27:30.092] 因为。
[00:27:30.982–00:27:33.900] 他在让子弹飞这个电影里面，他挣钱是咋挣的？
[00:27:35.366–00:27:37.804] 抢劫假冒县长。
[00:27:38.342–00:27:40.332] 有哪件事情是合法的？我想请问。
[00:27:41.766–00:27:43.052] 这叫站着把钱挣了吗？
[00:27:44.038–00:27:46.764] 其实他也在走捷径，也在走歪门邪道。
[00:27:48.550–00:27:51.756] 更何况，我们现在应用新技术不是歪门邪道。
[00:27:52.454–00:27:53.324] 不是捷径。
[00:27:54.086–00:27:56.268] 我们学aiI不是想走捷径呀。
[00:27:57.766–00:28:00.812] 我们是提高生产力呀，提高创作力呀。
[00:28:01.286–00:28:06.412] 就像我们如果做电商，做短视频不是走捷径呀，有什么可low的呢？
[00:28:06.982–00:28:09.676] 同学们，我从我个人角度啊。
[00:28:10.406–00:28:13.996] 我一直在做lowlo的事情，我第一批做的短视频。
[00:28:15.238–00:28:16.012] 我是中国。
[00:28:16.998–00:28:18.476] 第一部网剧的创作者。
[00:28:19.814–00:28:20.844] 我还做过网大。
[00:28:21.574–00:28:24.012] 做个自媒体是吧？也做个直播。
[00:28:25.126–00:28:29.548] 这些所谓大家觉得哎呀喽喽的东西我一向不去抗拒同学们。
[00:28:30.758–00:28:31.628] 你知道為什麼吗？
[00:28:32.870–00:28:33.292] 兄弟们。
[00:28:34.022–00:28:34.988] 给大家讲个故事啊。
[00:28:37.382–00:28:38.476] 我小学的时候。
[00:28:39.686–00:28:40.684] 曾经有好几年。
[00:28:41.414–00:28:42.540] 在路边卖冰棍。
[00:28:44.294–00:28:46.348] 90年代啊，我妈下岗了。
[00:28:47.110–00:28:47.852] 当清洁工。
[00:28:48.870–00:28:49.516] 收入不高。
[00:28:50.022–00:28:52.268] 所以呢我卖冰棍儿贴补一下家用。
[00:28:52.742–00:28:54.444] 夏天啊确实很热。
[00:28:54.982–00:28:55.404] 很累。
[00:28:55.974–00:28:56.524] 咱同学们。
[00:28:57.126–00:29:01.676] 我一点也不觉得苦，因为赚的钱还可以。在那个年代，你只要愿意。
[00:29:02.726–00:29:03.212] 做点马。
[00:29:03.782–00:29:07.276] 赚钱是可以的，我唯一最难受的地方是什么？
[00:29:07.910–00:29:09.036] 我们是一个小县城。
[00:29:09.606–00:29:13.740] 我经常会碰到同学，我每次碰到同学，我都特别不好意思。
[00:29:14.278–00:29:14.924] 特别尴尬。
[00:29:15.814–00:29:17.676] 如果远远看到他们啊，我就躲起来。
[00:29:18.150–00:29:26.476] 如果他们已经走过来了啊，已经非要跑过来问我买冰棍了，我就一直低着头不抬头，对吧？借他们的钱给他们冰棍，我就不抬头。
[00:29:27.046–00:29:28.108] 很愚蠢的一种。
[00:29:29.670–00:29:33.324] 很消极的一种抵抗方式是吧？其实谁不知道。
[00:29:33.958–00:29:40.332] 怎么回事？同学们现在有很多这个爽文啊重生。如果我穿越到90年代，当时的我，我会怎么做呢？
[00:29:41.030–00:29:43.788] 我会抱着箱子去学校里面买。同学们。
[00:29:44.262–00:29:46.540] 我作为一个学习很好的小朋友。
[00:29:47.814–00:29:50.924] 我家里条件不好，我要卖冰棍，这是什么？
[00:29:51.718–00:29:52.556] 这是人设。
[00:29:53.062–00:29:59.916] 我们学校有几千个老师和孩子，这是什么？这是流量。你觉得他们会不买我的冰棍吗？
[00:30:00.710–00:30:01.484] 这是变现。
[00:30:02.598–00:30:03.660] 我为什么要害怕？
[00:30:04.422–00:30:05.740] 我为什么要不好意思啊？
[00:30:07.142–00:30:13.548] 人只有在弱小的时候，才会为自己的弱点感到自卑。同学们，我现在长大了，我强大了。
[00:30:14.054–00:30:15.436] 并不是说我没有弱点。
[00:30:16.166–00:30:17.772] 我其实还在卖冰棍。
[00:30:18.534–00:30:19.532] 我一直在卖冰棍。
[00:30:20.166–00:30:21.388] 只不我不害怕。
[00:30:22.854–00:30:23.436] 自卑了。
[00:30:26.150–00:30:27.180] 同学们，你如果。
[00:30:27.942–00:30:33.996] 还是赚不到钱，或者没有找到赚钱的诀窍。你反思一下，是不是你还在害怕。
[00:30:34.502–00:30:35.500] 还在自悲呢。
[00:30:37.382–00:30:43.020] 搞不好，你现在依然是那个在路边低着头，不敢抬头卖冰棍的小孩。
[00:30:47.878–00:30:49.676] 这是我的真实的经历。
[00:30:50.662–00:30:51.948] 希望能给大家一点启发。
[00:30:52.806–00:30:53.260] 下课吧。
