P028 十三课-电视剧13.1
[00:26:29.638–00:26:30.284] 然后。
[00:26:30.918–00:26:38.540] 还有TVB系列呀哦，TVB那些港片当时也是非常好看，对吧？还有琼瑶系列。
[00:26:39.270–00:26:44.876] 琼瑶阿姨在中国电视剧史上，那绝对是泰山北斗，不得不。
[00:26:45.382–00:26:46.732] 呃，这个有他的。
[00:26:47.494–00:26:48.748] 巨大的一席之地。
[00:26:50.278–00:26:51.692] 他开创了一个时代。
[00:26:52.742–00:26:54.348] 第开创了一个流派。
[00:26:55.174–00:27:09.548] 非常厉害非常厉害啊，他写的他写的东西是很硬的。现在大家经常会嘲讽一些就也不叫嘲讽啊，就戏谑一些他的一些台词啊，这个在网上挺流行的。但其实当年我们看的时候是很过瘾的。
[00:27:10.886–00:27:12.140] 因为他是戏写的好。
[00:27:12.678–00:27:14.732] 它整个戏的结构。
[00:27:15.302–00:27:16.396] 和情节写的好。
[00:27:18.182–00:27:19.404] 绝对有他的一席之地。
[00:27:20.038–00:27:23.020] 然后后来还有一些什么精品电视剧，我印象当中的啊。
[00:27:24.166–00:27:26.860] 嗯，士兵突击士兵突击比较新了。
[00:27:27.558–00:27:37.548] 有些同学可能知道那部戏出来很多人啊，什么宝强啊、陈思成呀、张译呀、段奕宏呀，都是那部剧那部电视剧出来的。
[00:27:38.022–00:27:41.676] 那部电视剧我为啥印象特别深啊？因为那部电视剧当时。
[00:27:42.470–00:27:43.212] 没卖掉。
[00:27:46.022–00:27:46.956] 就是他被淘汰。
[00:27:48.838–00:27:54.892] 那部电视剧因为太怪了，你们现在可能感觉不出他有多怪，但当时觉得非常怪。
[00:27:55.942–00:27:58.220] 那部电视剧里面没有女性角色。
[00:27:58.790–00:28:07.916] 你能想象一部，我们说电视剧是广告的弟弟，他是在电视电视机里服务女性观众，陪着女性观众的。
[00:28:08.582–00:28:09.036] 对吧。
[00:28:09.574–00:28:12.428] 但是他的电视剧整个全是男性荷尔蒙。
[00:28:12.998–00:28:13.996] 而且还不算。
[00:28:14.566–00:28:17.516] 当兵的也没有服装上也没有变化。
[00:28:18.086–00:28:19.436] 场景呢也很单一。
[00:28:20.102–00:28:24.940] 然后呢，也没有女性角色，关没有女性角色就代表什么？没有情爱，没有爱情戏。
[00:28:25.958–00:28:28.236] 所以当时电视台都不买那个剧。
[00:28:29.350–00:28:31.244] 完成不了，他好看归好看。
[00:28:31.782–00:28:33.068] 但是他完成不了。
[00:28:34.182–00:28:35.180] 那个作用呀。
[00:28:36.486–00:28:42.732] 所以我印象非常深，那部电视剧后来就是先走的地方，结果在地方播的时候播火了。
[00:28:43.622–00:28:44.876] 才重回卫视。
[00:28:45.926–00:28:46.892] 等于还亏钱了。
[00:28:47.590–00:28:52.268] 等于还亏钱了，因为先走地方给的钱很少啊，所以这部戏我印象也很深。
[00:28:53.190–00:28:54.092] 还有什么戏啊？
[00:28:55.750–00:28:56.524] 刘老根儿。
[00:28:57.862–00:29:01.964] 刘老根其实也可以，我认为刘老根也应该载入中国电视剧的。
[00:29:02.598–00:29:08.364] 实测，如果出个纪念册的话，为啥？首先刘老根是一部非常优秀的电视剧。
[00:29:09.030–00:29:12.364] 何庆坤写的，然后赵本山高秀敏。
[00:29:13.126–00:29:14.412] 范围主演。
[00:29:17.190–00:29:23.436] 那部戏在当年也属于难得的良心电视剧。为啥？那时候电视剧普遍注水。
[00:29:23.910–00:29:27.852] 一拍拍的很长，为啥呢？因为很多电视剧是先卖再拍。
[00:29:28.422–00:29:34.956] 就你已经确定要买我电视剧了，那我就照死类注水拍个30集、四0集、50集、60集呗。
[00:29:35.462–00:29:35.852] 对吧。
[00:29:36.614–00:29:44.844] 很多这种情况，但那部电视剧他每一集的打点一看就是没有注过水，就是规规矩矩剧本怎么写的，怎么拍的。
[00:29:46.406–00:29:50.924] 然后呢，演员阵容也那就不用说了，当时都是巅峰期的铁三调。
[00:29:52.262–00:29:54.956] 最重要的我对那个电视剧印象最深是什么啊？
[00:29:55.430–00:30:00.556] 我当时看完那个电视剧，我最佩服的一点是什么？那个电视剧是非常少见的。
[00:30:01.990–00:30:03.212] 反派设置方式。
[00:30:04.806–00:30:05.932] 他的反派。
[00:30:08.262–00:30:09.068] 是乡长。
[00:30:11.718–00:30:17.708] 就刘老根要创业，他前进的路上，就他是经典叙事。刘老根创业。
[00:30:19.494–00:30:26.316] 经典叙事就是一个人物，一个事件，一个视角刘老根要创业，然后给他设置障碍。
[00:30:28.550–00:30:37.420] 没有钱呀，旁边的人不理解呀，这些都是小障碍，肯定要设的大障碍是什么？这个所有学编剧的人都懂大障碍，你要设要一个狠的呀。
[00:30:37.990–00:30:40.492] 他感示了什么当地的乡长。
[00:30:41.766–00:30:48.716] 然后冯乡长，然后冯乡长还有个搭档是公安局局长的小舅子。
[00:30:50.278–00:30:53.228] 等于这两个反派他设定的都非常的大胆。
[00:30:55.878–00:30:56.492] 非常的大的。
[00:31:00.134–00:31:01.292] 到现在绝对审不过。
