P068 无论看多少次都觉得超级！无敌！治愈！《玩具总动员》拉片解读，独特视角（一）
[00:30:05.670–00:30:16.012] 巴斯对吧？巴斯被反医的妹妹给拿走了，控制了啊，呼迪再去营救巴斯。但是巴斯受刺激过度已经疯了啊，已经疯了。然后。
[00:30:16.582–00:30:25.324] 这时候开始出现刚才铺垫配角团吧，21拍也就四十几五分钟这里。
[00:30:26.054–00:30:45.980] 胡底向老友们求助，但是大家却对他更误会了，发现那个巴斯的断臂了吗，他们以为彻底误会，胡底杀死了巴斯，拒绝帮助他啊，弄巧重拙，众叛齐离啊，众叛亲离啊，一定要记住，这里众叛亲离。然后第22分钟。
[00:30:46.150–00:30:55.692] 啊，第22拍52分钟，这里恐怖的这些虫组玩具啊，并不是什么坏人啊，发现他们并不是什么坏人，只是虚惊一场。他们甚至帮巴斯接好了胳膊。
[00:30:56.358–00:31:19.324] 但是高高出现一个小的利好，第23拍马上再打下去53分钟。这个反译啊要用炮仗炸掉这个巴斯光年。嗯，而且在这里啊，由于巴斯光年已经疯了，所以他再次做了一个胡底的愧疚。因为他本来想选胡底，结果胡迪躲了一下，就选中了巴斯光年。我们说这一招啊反复可以用啊。
[00:31:19.590–00:31:38.604] 同学们一定记住啊，制造主角的负罪感，制造主角的原罪，实际上可以反复用啊，反复用，反复消减才能有趣嘛。特别是刷男主的时候啊，因为两个男孩之间，你其实很难去做那些矫情的戏，倒不如做这种戏啊，同学们待会儿我们讲细节的时候，大家自己再学一学。
[00:31:39.878–00:31:42.604] 由于户籍躲了一下啊，我们可以看一眼啊。
[00:31:43.142–00:31:46.092] 这种小小的一些小小小消解的一些戏。
[00:31:46.790–00:31:48.812] 其实是挺有意思的。
[00:31:56.070–00:32:16.604] 他本来想炸掉胡地，胡地躲在这里。当然胡弟没有任何的错，因为他只是想保护自己，但是他的无心的行为导致了巴斯光年要被炮仗炸掉。因为他不知道他这样做。
[00:32:16.902–00:32:19.148] 对。
[00:32:21.574–00:32:41.916] 明白吧？同学们一定要学着啊，一定要学着，你看啊这样去制造主角的愧疚，我们观众是不会怪他的，明白我这意思吧？因为在都已经到故事的第三幕了，中后期了，你如果再去制造主角有意愧疚，那就完蛋完蛋了，那就捞不回来了，明白吧？记自己记一下啊。
[00:32:42.086–00:32:56.268] 在故事的中后期，你为了增加两个人人物感情的拉扯、厚度以及剧情的紧张感，我们可以再次制造主角的愧疚感，但是没有必要让他像故事开始那样故意使坏了。
[00:32:56.742–00:33:14.604] 因为你这时候如果还故意，比如说小主人那个那个坏人本来想选我炸掉，然后我故意躲在巴斯光年后面把巴斯光年推出去，那就完蛋了。同学们在这个位置，那就完蛋了。我们没有篇幅再去把它捞回来了，捞不回来了，对吧？
[00:33:15.398–00:33:35.324] 所以说啊这里它是一个不小心啊不小心。然后同时选中八次光年之后，由于下雨了，设定一个时间锁。同学们，这里设定时间锁设定了多么的时间锁啊。同学们记得吧？我说时间锁是个比喻，就是增加紧迫感。在这个电影里面时间锁这是个时间锁呀。
[00:33:36.422–00:33:38.060] 设了个闹钟。
[00:33:38.790–00:33:45.996] 对不对？设了个闹钟，所以说这有时候也是够直白啊。有时候这些美国电影啊也是够直白的。
[00:33:46.630–00:34:08.668] 然后设了一个时间锁，当然了，跟之前的那个一星期之后搬家形成双重时间锁啊。呃在2十三拍这里，巴斯光年身上被绑的这个窜天猴是本剧的最大危机啊。本戏的最大危机，也就是死亡危机啊。我们说第二3拍巴斯光年身上这个炸弹已经到了这个窜天猴已经到了灵魂黑夜了。
[00:34:09.222–00:34:20.940] 然后那二4拍另外一个时间锁，此时不用，更待何时，对不对？另外一个安迪马上要搬走的那个时间锁，马上也要给一下子呀。
[00:34:21.414–00:34:22.060] 懂不懂啊？
[00:34:22.662–00:34:40.108] 明白吧？也就说这里是最要劲儿的时候，灵魂黑夜了，打到谷底了。你巴斯光年身上被绑子残天猴了，对吧？八4光年人生要破灭了，狐底最在意的是什么啊？胡底最在意的是他的小主人。所以说这里二4拍干到底第25拍。
[00:34:40.710–00:34:48.044] 也就是第55分钟，双男主由于分别被束缚了自由，两人开始灵魂交谈啊，灵魂交谈。
[00:34:48.518–00:34:49.900] 我其实讲过啊。
[00:34:50.374–00:35:10.812] 那个主角被打入谷底，经历过灵魂黑夜之后，怎么振作起来来着找个地方舔舐伤口是吧？重新解读，重新思考，然后发挥潜能。这里就是字面意义上的两个人就是灵魂交谈，互相激励，好吧，字面意义上啊，呃，同学们一定要理解。
[00:35:10.886–00:35:20.748] 第一，这是95年的片子。第二呢，这是个动画片。第三，这个片子只有70分钟出头啊，所以说这里确实略微草率了。
[00:35:22.502–00:35:27.788] 哎，给你们看一看这样草率的戏，就是两个男主角重新振作起来。
[00:36:37.798–00:36:38.668] about me。
[00:36:39.366–00:36:41.068] You should get out of here while you can.
[00:36:50.470–00:36:50.860] 。
[00:36:53.350–00:37:00.428] What you doingCom on there's a kid over that house get out.
[00:37:02.918–00:37:04.140] We can do it.
[00:37:10.566–00:37:11.564] 什么病这样。
[00:37:23.526–00:37:25.836] 哎，爱妈帮我什么呢？
[00:37:45.158–00:37:45.612] 嗯。
[00:37:46.182–00:37:48.364] 不。
[00:37:52.422–00:38:13.852] 也从侧面证明了一件事情，就是话疗啊确实在早期的电影里面啊应用的比较比较多。但是我们要理解一个什么事情啊，为什么早期的电影用化疗用比较多啊，因为人家地其他地方没用这么多话疗，灵活运用啊，灵活运用挺好的啊，来记个知识点啊，记个知识点。
[00:38:13.926–00:38:36.348] 同学们一定要记着啊，呃这里不光是写台词，呃，你人生当中劝别人也是这样啊，你不断的夸他怎么好，夸他怎么那个实际上是很难劝好他的。你只有剖析你自己展现你还不如他，他才会振作起来啊。呃，这个台词是这么写。你生活当中你要劝别人，或者你要说服别人，也是这样。
[00:38:36.678–00:38:57.084] 也是这样，你从他的角度一直说一直说，因为他他的事情他比你了解，所以你光夸他好没有用，你得说我孬，你看我更傻，我小时候还不如你呢，啥啥啥，他这马上他就开心了啊，优越感就起来了。所以说生活当中嗯这个说服别人啊，这些招都可以应用啊。同学们这里是题外话啊。
[00:38:57.222–00:39:02.700] 题外话来第26趴第58分钟。
