P058 三十二课-跟《鱿鱼游戏》学写强设定
[00:28:41.702–00:28:48.620] 那些现实主义的题材呢，反而是A级片。比如说一个男的跟一个女的谈恋爱，哇，他反而拿到大预算。
[00:28:49.254–00:28:55.308] 你知道吧？然后请两个大明星，然后来演演绎一段传奇的爱情。
[00:28:55.942–00:29:09.836] 你看这种片子啊，在早年啊，他认为这种片子是更广泛范围内大家能接受的。因为你拍个密室杀人，你感觉好像很多人不愿意看嘛，对吧？就是就评为B级了。
[00:29:11.014–00:29:13.932] 那种现实主义的片子啊反而评为A级。
[00:29:14.950–00:29:28.012] 但是在这几年，至少在好莱坞啊，好莱坞因为是电影工业工业化生产，它很现实的，他用大数据说话，然后他他很现实，他评估一个片子就很现实，现在完全反过来了。
[00:29:29.350–00:29:36.204] 就好莱坞现在的A级片啊都是强势兵，你去看好莱坞现在的大制作啊全是强势兵。
[00:29:36.998–00:29:37.804] 全是强势力。
[00:29:38.854–00:29:39.788] 全是带点儿。
[00:29:40.614–00:29:41.292] 魔幻。
[00:29:42.150–00:29:43.372] 现实主义的设定。
[00:29:44.326–00:29:53.420] 反而两个人要想正经谈个恋爱，或者是想拍个传记片，拍拍谁的一生。这种片子啊只能拿到B级片的预算了。
[00:29:54.278–00:29:54.892] 为啥？
[00:29:55.622–00:29:57.068] 给你钱，你想花哪？
[00:29:57.734–00:30:01.644] 你也没地儿花呀，是这个问题，是因为预算现在越来越大了。
[00:30:02.278–00:30:02.988] 所以。
[00:30:03.910–00:30:20.684] 现在的A级片反而是你看好莱坞的A级片，这几年变形金刚速基对吧？然后这个这个这个我跟你讲，速度激情以前就是B级片，就是B级片标准的BG片起家，拍着拍着拍成了A级片了，你知道吧？然后这种。
[00:30:21.446–00:30:25.836] IP的是吧？哈利波特呃这个这个这个。
[00:30:26.502–00:30:29.484] 这个这个这个加勒比海盗。
[00:30:30.182–00:30:37.836] 这个这个漫威是吧，这个这个复仇者联盟全都是一水的魔幻现实主义，全都是一水的强射电。
[00:30:38.502–00:30:46.476] 所以这几年的A级片啊，其实反而是强势令片了，这个是我们这节课最需要思考的一个问题。
[00:30:48.294–00:30:53.484] 就是强设定的片子逐渐成为了市场主力了。
[00:30:55.718–00:30:59.852] 我们可以分析其中的原因，对吧？但是呢我们更。
[00:31:00.582–00:31:15.276] 更重要的是啊，因为出现了这种情况，我们应该研究一下强势性的片子怎么玩，还怎么写，以及它跟现实主义的题材有些什么样的区别。好吧，这个是我们主要需要研究的啊。
[00:31:15.814–00:31:22.860] 但是啊还是那句话啊，我没有说现实主义题材就不玩了啊，没有那个意思没有那个意思。
[00:31:24.006–00:31:31.500] 还是可以玩还是可以写，你有还是可以写啊。但这节课我们因为讲优鱼游戏，我们着重说一下强势力。
[00:31:32.102–00:31:33.452] 首先来。
[00:31:38.022–00:31:59.164] 我们可以研究一下强设定。我们先从大面上啊说一下呃强势魔幻现实主义强设定和一般设定有些什么样的优点和缺点，肯定都有优缺点的。因为咱们之前课上不是说过嘛，我们以后都要有个扬长避短的思维啊，有有个扬长避短的思维，不能说啊那强势定就无敌干死一般设定，那你吹牛逼了，对吧？
[00:31:59.334–00:32:01.516] 我不是药神，就是现实主义题材。
[00:32:02.310–00:32:03.340] 人家也牛逼着呢。
[00:32:04.358–00:32:11.308] 而且啊我跟你说啊，现实主义有个什么优势啊，现实主义评分高，真的。
[00:32:11.846–00:32:19.372] 现实主义评分高，你一个超级英雄，你一个僵尸片，你一个鬼片，你拍的再好看，分儿不会太高。
[00:32:19.878–00:32:22.540] 懂吧？因为大家都知道这是个快餐。
[00:32:23.430–00:32:36.236] 嗯嗯啊好像没什么深度，明白这意思吧？但是现实主义题材呢，你看你只要细腻的刻画，它分儿都很高。我说最现实主义啊就设定最一般的就是你们之前经常跟我说的失之愈合。
[00:32:38.118–00:32:38.892] 资之愈合。
[00:32:40.550–00:33:00.476] 我们说魔幻现实主义的片子啊，在市场好卖片，为啥呀？因为你一句话就能震住对方。哎，我给你讲一个故事啊，你看啊这个故事就是把一群人关起来做游戏，谁是谁输的谁死赢了那个得到400亿，你看这一句话就觉得哇，这个故事好像挺劲的，对吧？但失之愈合的片子啊。
[00:33:00.614–00:33:06.892] 就会讲，哎，我给你讲一个就是一个落魄的中年人，周末回家跟他妈吃饭的故事。
[00:33:08.262–00:33:09.068] 啊。
[00:33:09.574–00:33:10.284] 然后呢。
[00:33:11.366–00:33:17.292] 啊，然后你给我点预算呀，我去拍，就这就很难卖掉。你明白这意思吧？
[00:33:17.926–00:33:20.172] 但是你看失之愈合，它往往就是这种故事。
[00:33:20.998–00:33:26.412] 他的设定呢就很现实主义很一般。一般设定啊一般不是那个。
[00:33:26.918–00:33:29.196] 别意词的一般啊，就是很普通的设定。
[00:33:30.758–00:33:47.628] 你看这就是区别。但是普通的设定，你如果能让大家看完，哎，你分就很高是吧？这是个但这是这个这个我们说评分上面优缺点，我们主要不是讲这个，我们主要是讲强设定有个什么样的优势啊，强设定就是上来比较唬人，这是肯定的。
[00:33:48.966–00:33:49.420] 对吧。
[00:33:49.926–00:33:59.820] 上来觉得哇牛逼啊，哦，还有这样的片子哦，牛逼牛逼牛逼，但是呢它的长尾往往比较差，就它的持续力比较差。
[00:34:01.350–00:34:02.572] 往往是这样啊。
[00:34:03.206–00:34:07.052] 我们看一下啊，首先我们说强势病，人家在。
[00:34:08.550–00:34:11.756] 人家好莱坞推崇强色电是推崇什么啊？
[00:34:12.710–00:34:14.220] 其实就是推崇电影。
[00:34:17.190–00:34:21.516] 电影反正就俩三钟头的对吧？我唬住你就完事了呗。
[00:34:22.054–00:34:23.756] 所以你看强势钉在电影当中。
[00:34:24.422–00:34:26.444] 逐渐的崛起。
[00:34:27.142–00:34:31.660] 但是由于这几年，我们说剧啊已经摆脱了以前。
[00:34:32.454–00:34:35.980] 肥皂剧爆米花剧的那个地位，它开始成为。
[00:34:36.518–00:34:39.436] 观众主动收视主动消费的一个。
[00:34:40.454–00:35:00.636] 文化产品，所以他也在追求强剧情，追求强设定，对吧？因为要让观众过瘾，要让观众爽，所以他也不是以前的你侬我侬谈情说爱的那种嘻嘻哈哈的那种剧了。所以说剧这几年也在追求强设定。
[00:35:01.350–00:35:03.084] 你就会发现一个问题。
[00:35:04.326–00:35:07.788] 凡是强设定的剧啊，都拍不了几集。
[00:35:08.966–00:35:12.876] 单季来说也拍不了几集，集数都不长。
[00:35:13.446–00:35:14.476] 由于游戏。
[00:35:15.014–00:35:18.156] 八九级是吧？8级不是9级很短的。
[00:35:19.814–00:35:21.932] 而且我们现在基本上可以预言啊。
[00:35:22.438–00:35:27.148] 最多也就拍到第二季，第三季就基本上就差不多了。而且。
[00:35:28.038–00:35:29.100] 口碑也会急速。
[00:35:30.022–00:35:30.700] 往下走的。
[00:35:31.654–00:35:35.116] 这个很现实啊这个很现实。我们今天就是客观的说啊。
[00:35:36.326–00:35:37.004] 然后。
[00:35:38.086–00:35:43.884] 你看同样的，我们说其实啊前几年有个剧从单从开场来说啊，比游鱼游戏还猛。
[00:35:44.454–00:35:45.356] 西部世界。
[00:35:46.118–00:35:59.308] 西部世界单从他当时这个世界观一出来的时候，其实也就是这个魔幻现实主义的强设定义一出来的时候，其实当时在市场上的那个震撼力啊比现在的鱿鱼游戏都猛。
[00:36:00.006–00:36:00.972] 普及率都高。
[00:36:01.478–00:36:03.308] 然后那个舆论更大。
[00:36:04.006–00:36:05.324] 但是我们说。
[00:36:06.086–00:36:10.572] 西部世界我敢说，当时看完的看完整季的都没有多少人。
[00:36:11.046–00:36:15.788] 更不用说看第二季了。然后第二季他发现没人看之后，迅速就砍掉了。
[00:36:16.326–00:36:17.900] 他自己也做不下去了，对吧？
[00:36:18.982–00:36:19.788] 就是这个问题。
[00:36:20.518–00:36:21.580] 他就是。
[00:36:24.294–00:36:31.564] 持续立场。哎，还有那个我刚才说那个不死法医，同学们回可以看一下，就讲一个法医啊，他他长生不老。
[00:36:32.422–00:36:33.388] 他活了很久了。
[00:36:33.926–00:36:42.220] 然后嘞，这个这个这个他不死，他死不掉，每次死了呢，都又重新复活，对吧？重新那个相当于重生。
[00:36:44.390–00:36:51.948] 就一季老好看了，但就一季对吧？就砍掉了，就是它这种强势定啊。
[00:36:54.438–00:36:55.372] 拍片很猛。
[00:36:56.230–00:37:08.364] 持续力就差，是吧？但是你看啊一般设定的剧啊很多就干个什么十季十一计。因为他一旦捏住你之后啊，他后续好发挥。
[00:37:08.902–00:37:11.628] 对吧他后续好发挥，因为他没有用。
[00:37:12.134–00:37:15.404] 强大的规则制约剧情。
[00:37:16.102–00:37:24.620] 他不需要围绕的那个强大的规则做冲突，做对抗。因为你那个规则越强大，实际上就越具体。
[00:37:25.254–00:37:27.212] 越具体就越窄。
[00:37:28.262–00:37:29.676] 可做的戏就越少。
[00:37:30.534–00:37:33.036] 我们说由鱼游戏为什么在这类戏当中？
[00:37:34.246–00:37:40.684] 今年就脱颖而出了呢。首先当然他级数也不差，他也就敢拍8集9集，对吧？
[00:37:42.502–00:37:45.900] 同时人家真的是完成度挺高的。
[00:37:46.534–00:37:47.244] 因为。
[00:37:48.294–00:37:51.788] 这几个演员啊，首先都是非常好的演员。
[00:37:52.422–00:38:01.740] 演技非常非常在线。然后呢，编剧对人物的刻画对人性的挖掘是非常细腻而且深刻的，这个也都。
[00:38:02.790–00:38:07.180] 做到了才保证了他有持续的攻击性。
[00:38:07.654–00:38:16.460] 但是咱们关起门来说啊，由于游戏在第345这几集的时候，就是在后面那几个重要的反转出来之前。
[00:38:17.062–00:38:18.348] 其实开始有点。
[00:38:19.462–00:38:22.988] 有点乏力了，甚至有当时有整集开始煽情了。
[00:38:24.550–00:38:31.404] 就确实是因为持续这个攻击这个规则呀，用这个规则去吸引人啊，确实是。
[00:38:31.878–00:38:32.460] 乏力了。
[00:38:35.142–00:38:39.148] 这个是没有办法的事情。在这里我们强调一下啊。
[00:38:39.974–00:38:47.788] 我们是编剧学习，我们评价任何一个片子都是客观评价。我们要从里面学到东西。
[00:38:48.454–00:38:49.932] 千万不要出现。
[00:38:52.326–00:38:56.236] 有一种情况啊，我是跟你说，同学们有一种情况啊。
[00:38:57.286–00:38:58.796] 在学习当中是最要不得的。
[00:38:59.750–00:39:10.188] 同学们记得吧？我以前讲课举过教父的例子，教父啊是很多人最喜欢的一个电影。这个我知道的，因为它在影史也基本上排名第一第二嘛，对吧？
[00:39:11.910–00:39:24.812] 然后我在课上呢就有一次说我说教父这个片子啊，因为他也有年头了。70年代啊，教父一是70年代的片子。所以从现在的角度看，从现在的审美去看。
[00:39:25.574–00:39:30.508] 他其实节奏是挺慢的，甚至有点沉闷的。我说过这个话。
[00:39:31.078–00:39:33.932] 但当时就马上带来了很多反弹。
[00:39:34.758–00:39:39.468] 我其实跟同学们说过啊，我说我站出来讲课，因为这是一个公共领域的课。
[00:39:41.318–00:39:56.012] 有很多人骂我，我跟你说，因为教父我就挨了不少骂，有些人直接就开骂说，哇，你连教父都看不懂，那你也水平也就到这儿了，对吧？你也别在这叭叭讲课了。
[00:39:56.934–00:40:00.876] 就是产生了一种这个非常大的抵触情绪。很多人。
[00:40:01.894–00:40:09.548] 这个咱们的同学啊认真学习的同学啊，千万不要有这种想法，这种想法要不得，明白吧？这种想法要不得。
[00:40:10.022–00:40:14.252] 因为所有的事物我们都应该做到去客观评判。
[00:40:15.238–00:40:16.684] 千万不要造神。
[00:40:17.318–00:40:29.452] 对吧不要造神，因为这种情况在我们这个在咱们这个互联网上啊，其实挺严重的。客观说啊，就这种我管这种叫互联网恋物屁啊。
[00:40:30.790–00:40:35.276] 猎物屁是咋回事啊？这种这种猎物屁是咋回事？我觉得其实就是精神空虚。
[00:40:36.262–00:40:37.420] 咱们有很多人啊。
[00:40:37.894–00:40:38.924] 他因为没有。
[00:40:40.390–00:40:42.700] 自己独立的这个这个。
[00:40:43.526–00:40:46.956] 独立的三观吧，对吧？因为三观啊有两个来源。
[00:40:47.526–00:40:55.756] 一种来源呢是有利用系统的信仰，对吧？你说我虽然懂得不多，但我有一套系统的信仰，我接受这套信仰的三观。
[00:40:56.358–00:41:06.796] 这是一种。还有一种呢就是说我这个人呢有自己一套知识体系。我以前说过知识树，对吧？你的思维，你的知识有一棵树是你的。
[00:41:07.494–00:41:15.404] 然后呢，你基于你的这个思维，基于你的逻辑，你会产生你的三观，产生你对事物的基本判断。
[00:41:16.038–00:41:17.932] 这样的话你也会有一个。
[00:41:18.566–00:41:22.412] 这个这个比较稳定的逻辑和比较稳定的思维判断。
[00:41:23.238–00:41:25.900] 但是呢咱们有很多朋友啊。
[00:41:27.046–00:41:28.172] 这俩玩意儿他都没用。
[00:41:29.190–00:41:30.828] 他既没有什么系统的信仰。
[00:41:32.070–00:41:34.476] 然后呢，也没有什么自己的一套。
[00:41:35.686–00:41:38.668] 思维体系没有自己的一个逻辑体系。
[00:41:39.142–00:41:40.748] 就导致他呢这个。
[00:41:41.830–00:41:43.660] 他这个这个这个他的思想啊。
[00:41:44.710–00:41:47.724] 游离在这个浩瀚的信息流当中。
[00:41:49.542–00:41:55.500] 那这没有地儿附着肯定不行啊，所以他就附着在比较具体的人或事物上。
[00:41:57.926–00:41:58.540] 然后呢。
[00:41:59.142–00:42:00.748] 就会坚信这个东西。
[00:42:01.606–00:42:15.404] 我管他叫练物癖嘛，对吧？比如说他就会附着在教父上，任何人只要说教父一点一丁点不好，他就马上跳起来，你是傻逼吧，对吧？你这吧？懂不懂啊，就产生了一种这个这个。
[00:42:16.006–00:42:17.772] 这个很极端的这种一种。
[00:42:19.046–00:42:33.772] 一种情绪对吧？就像那个也还有的附着在人身上，是吧？比如说附责在蔡徐坤身上是吧？你就不他他的价值就会变成任何对蔡徐坤有利的都是对的任何。
[00:42:34.662–00:42:42.092] 说坤坤不好的，或者问坤坤唱过什么歌啊，就都是坏人，对吧？就是全是坏蛋。
[00:42:43.110–00:42:56.588] 这个这个这个要不得啊，我们还是要客观的评价，对吧？不管是教父还是坤坤，都有他的优点和缺点。因为它是一个客观的一个事物嘛，对吧？
[00:42:57.606–00:43:02.188] 这个同学们一定要有这个思维啊，不要去有猎物癖。
[00:43:02.982–00:43:04.236] 因为这个情况。
[00:43:04.870–00:43:14.124] 我经常拿汽车举例子啊，就是讲我们的课程，或者是讲我们的编辑知识。我经常用汽车举例子，你看啊这个这个这个。
[00:43:14.662–00:43:16.044] 我们说来。
[00:43:16.518–00:43:34.604] 奔驰好不好？奔驰当然是好车嘛，那这是很好的车嘛。但我们可不可以客观的说一句，奔驰的内饰豪华感比其他车强，但是动力和操控不如宝马，我们可不可以这么说呢？
[00:43:35.110–00:43:36.332] 当然可以嘛。
[00:43:37.254–00:43:57.308] 但这不叫批评奔驰，懂吗？只是客观的从我们假设我们在学习制造汽车，从这个学习的角度，我们客观的去研究一下人家为什么会这样，对吧？他当然是从成本的角度考虑，或者是从综合方面的角度考虑，或者他认为这个这个这个。
[00:43:58.086–00:44:10.700] 操控和动力没有那么重要，对吧？但是你如果在这儿专注操控和动力这个领域，那你可不可以说它奔驰它就是不如。
[00:44:11.366–00:44:11.916] 挖完了。
[00:44:12.774–00:44:34.588] 是不是隔以这么说吧，对吧？就是大家要客观，不要成为这个这个马上就有人跳出来，你买得起奔驰吗？你开过奔驰吗？你懂个屁没有这个必要，不要恋悟，对吧？不要这么迷恋这个事情，好吧？所以咱们这个意思就是什么呢？就客观的说。
[00:44:34.662–00:44:52.268] 游于游戏牛不牛逼，牛逼当然牛逼，咱先承认他牛逼，但是能不能说有缺陷，当然可以说，因为它是这种类型这种大类的缺陷，懂吗？这种大类的缺陷，那知道有缺陷，我们才能扬长避短嘛，才能想办法去弥补啊，是这个意思，明白吧？
[00:44:53.190–00:44:55.372] 好啊，那咱们接着说来。
[00:44:56.614–00:45:01.740] 我们说强势定的片子啊在这几年越来越往上走。
[00:45:04.326–00:45:06.348] 那我们其实就应该重视这个问题。
[00:45:07.494–00:45:08.428] 重视这个问题。
[00:45:08.998–00:45:12.044] 那我们就知道强制定它的优势。
[00:45:12.774–00:45:14.028] 吸引人的眼球。
[00:45:14.726–00:45:18.476] 对抗比较明确，对吧？然后爽点很突出。
[00:45:19.750–00:45:29.132] 缺点呢是爽点容易很快枯解，观众容易产生审美疲劳，然后持续性不佳。
[00:45:30.214–00:45:46.764] 对吧这是优点很明确。但是呢我们又说所有的强设令，因为它脱离一定程度脱离了现实主义，但它必须是魔幻现实主义，它必须是对社会的一种比喻，或者是对人类共同。
[00:45:47.814–00:45:54.924] 期待世欲的一种在人类共同期待事域中一种共同的担忧。
[00:45:56.006–00:46:02.252] 或者是期待，因为还有正面的嘛，不仅是担忧啊，还有正面的。比如说主角。
[00:46:03.014–00:46:09.932] 这个这个这个会飞主角他妈的能隐身，这是这这这就是人类共同的期待嘛，对吧？
[00:46:12.582–00:46:13.548] 那既然是。
[00:46:14.758–00:46:22.316] 需要有这个要求。那么其实还有这种强设定里面，我们还要注意一个事项，就是你这个规则的设定。
[00:46:22.886–00:46:24.460] 他需要符合。
[00:46:25.638–00:46:26.508] 一般预期。
[00:46:28.070–00:46:29.452] 不能太奇怪。
[00:46:30.022–00:46:39.564] 不能太费解，至少对吧？大家都不理解你为什么要设成这么个规则，那就没意思了。我们说你看规则设定里面比较出彩的。
[00:46:40.102–00:46:41.388] 时间规划局。
[00:46:41.862–00:46:46.924] 啊，大家去看一看这个片子啊，叫时间规划局。哇，这个设定太牛逼了。
[00:46:47.430–00:46:49.196] 每个人身上有一只手表。
[00:46:49.798–00:46:51.628] 然后显示你还能活多久。
[00:46:52.358–00:47:12.444] 穷人的手表上永远不超过一天，他需要每天不断的劳作，换取自己的生存时间。所以他身上的时间永远不超过一天，因为被压榨到极限了，每个人能活多久显示在这里。然后那些富人阶层呢，每个人的手上都是9999年满了都。
[00:47:12.678–00:47:21.740] 爆了都永生不死，为什么？因为他可以剥削穷人，压榨穷人，然后穷人天天保着自己这。
[00:47:22.470–00:47:23.404] 24小时。
[00:47:24.806–00:47:29.100] 不到24小时的一个时间，每天不敢有任何一天休息。
[00:47:29.638–00:47:32.108] 他如果生病了不能上班，那他就等于死了。
[00:47:32.934–00:47:34.732] 他上班迟到了，错过。
[00:47:35.590–00:47:37.644] 那个那个公共汽车了，他就死了。
[00:47:38.662–00:47:42.412] 就这么残酷。然后他如果被偷被抢被骗。
[00:47:42.950–00:47:44.268] 他这个时间就被人拿走了。
[00:47:45.542–00:47:55.212] 就是这么残酷，时间规划局，大家去看一下，那个就是对于社会的一种比喻。这种比喻它就很创新，对吧？所以。
[00:47:55.718–00:47:56.940] 我们大家要学会。
[00:47:58.054–00:47:59.180] 这种片子。
[00:47:59.718–00:48:01.644] 它的几个要点，好吧。
[00:48:04.326–00:48:07.084] 我们说扬长避短，再说一遍啊，优点是。
[00:48:07.782–00:48:19.052] 眼前一亮，对吧？爽点明确很抓人眼球，缺点呢是持续性不佳，这个爽点容易枯竭，对吧？特点呢是需要是社会的比喻。
[00:48:19.718–00:48:25.164] 需要有现实意义，因为它是魔幻主义，魔幻现实主义它还是要有现实意义的。
[00:48:25.990–00:48:28.588] 那我们就来看所有的强设定里面。
[00:48:29.574–00:48:30.220] 我们说。
[00:48:31.654–00:48:32.748] 我们的要点是什么？
[00:48:35.430–00:48:41.836] 我们说主角技能类的那就是他这个超能力需要是人类共同的向下。
[00:48:43.110–00:48:47.564] 符合人类的预期，对吧？这个题我们以前训练过吧。
[00:48:48.038–00:49:03.468] 我经常让你们做一个题，我说想象一下你现在可以拥有一个超能力，你要啥，对吧？大家记得过记得做过这样的练习，没做过的回去补一补啊。然后我们说来对手类的，我们说怪兽。
[00:49:05.414–00:49:10.220] 僵尸外星人对吧？这些必须是什么啊？
[00:49:11.398–00:49:13.132] 你不能生造一个啊。
[00:49:14.086–00:49:18.188] 你不能深造一个东西，你说哎呀，我造的这个东西老厉害了。
[00:49:18.982–00:49:21.516] 他不符合我们。
[00:49:22.118–00:49:23.308] 现有的。
[00:49:24.710–00:49:26.380] 预期是不行的。
[00:49:26.854–00:49:35.052] 我给大家讲一个数据啊，网上所有的怪兽票房全部加起来，数据最好的是蛇。
[00:49:37.830–00:49:38.348] 为什么？
[00:49:39.494–00:49:42.380] 是因为全世界的人都怕蛇。
[00:49:43.686–00:49:46.028] 明白吧？所以蛇的数据是最好的。
[00:49:47.110–00:49:48.556] 这就是符合。
[00:49:49.446–00:50:02.252] 我们大家共同，我们本来就怕蛇，你他妈造一个蛇三十几米长，那我更害怕呀。所以数据最好的是蛇，然后这是怪兽片。然后灵异类的呢，那数据最好的肯定就是鬼呀。
[00:50:02.854–00:50:07.436] 因为全世界人民都怕鬼，都觉得人死了之后好像会变成鬼。
[00:50:08.006–00:50:13.356] 对吧你本来就有这个预期，本来就有这个担心。那鬼的数据当然好了。
[00:50:14.598–00:50:17.036] 所以他还是要符合观众的预期的，懂吧？
[00:50:19.622–00:50:20.396] 你看啊。
[00:50:21.190–00:50:24.108] 我们说有没有人开创这种预期呢？
[00:50:26.246–00:50:26.860] 当然有。
[00:50:27.846–00:50:28.364] 当然有。
[00:50:29.510–00:50:31.660] 我们说斯皮尔伯格就开了好几回。
[00:50:32.582–00:50:34.764] 斯皮尔伯格拍过大白鲨。
[00:50:35.590–00:50:39.436] 我跟你说，在大白鲨之前，我们其实并没有太害怕鲨鱼。
[00:50:40.070–00:50:47.244] 鲨鱼在大白鲨这个电影出来之前不是一个负面形象，它就是一个很普通的鱼。
[00:50:47.974–00:50:50.092] 因为从数据显示啊。
[00:50:50.662–00:50:51.308] 就是。
[00:50:53.446–00:51:04.236] 攻击人类的动物啊，鲨鱼根本排不上号，搞不好排的比牛和马都低，就牛和马每年杀死的人搞不好，都比鲨鱼多。
[00:51:04.710–00:51:05.996] 每年也就是。
[00:51:07.014–00:51:09.036] 不到三位数鲨鱼。
[00:51:09.542–00:51:29.692] 因为确实他攻击人的情况很少，明白这个道理吧？但是他一旦攻击人就会上新闻头条，为什么呢？就拜大白鲨所赐，因为大白鲨这个电影实在影响力太大，造成了所有人上了海上之后都莫名其妙的感觉下面有一头鲨鱼要咬你。你看这就是开创者。
[00:51:30.246–00:51:33.388] 当然了，他也利用的是人类的一种集体。
[00:51:33.894–00:51:36.812] 我们说人类对深海深空是有。
[00:51:37.702–00:51:42.444] 是有天然恐惧的。然后呢，他利用这种天然恐惧，然后。
[00:51:43.590–00:51:44.876] 造了一个大白鲨。
[00:51:46.438–00:52:06.492] 给鲨鱼坑的可不轻了，是吧？但是这种事情也只有斯皮尔伯格这种级别的大师，他才敢做。也就是说他可以开新板子，从那以后你就可以开始拍鲨鱼怪兽了。在那之前谁也不敢拍，为什么？我们不害怕鲨鱼。
[00:52:06.886–00:52:18.988] 你明白吧？就像你今天拍一个暴走金鱼，恐怕就不行。暴走小金鱼，那这玩意儿那谁害怕呀，对吧？他能怎样呢？你就不要开这种。
[00:52:19.494–00:52:20.268] 新地图。
[00:52:21.126–00:52:24.908] 我跟你说，恐龙也是斯皮尔伯格开的呀。
[00:52:25.478–00:52:28.620] 侏罗纪公园就是斯皮尔伯格开的板子。
[00:52:29.094–00:52:36.492] 他为什么改干在那之前也没有人害怕恐龙，明白吧？因为我们都没见过恐龙，我们害怕个屁呀。
[00:52:37.190–00:52:40.396] 但是为什么斯比尔伯格在那个时间点敢。
[00:52:41.734–00:52:42.188] 开。
[00:52:42.694–00:52:49.708] 恐龙复活，然后杀人咬人这种片子呢，把恐龙塑造成一种人类共同的恐惧呢。
[00:52:50.886–00:52:52.780] 是因为当时的新闻。
[00:52:53.734–00:52:55.884] 出现了DNA技术。
[00:52:56.422–00:52:57.132] 就是。
[00:52:57.606–00:53:04.172] 人类似乎可以根据一个细胞造出一个动物了，这也就是克隆羊的那个年代。
[00:53:05.606–00:53:06.540] 前期。
[00:53:07.046–00:53:16.428] 然后这种苗条出来了，然后有人就提出来是不是可以复活一个恐龙的斯皮尔伯格马上嗅觉就到位了。
[00:53:16.998–00:53:18.828] 就拍了侏乐纪公园。
[00:53:22.310–00:53:34.988] 又污名化了一种动物，坑完鲨鱼，坑恐龙，大师就可以这么做，对吧？但我们呢觉得跟在大师的后面，你看在那之后，很多人就开始拍恐龙了。
[00:53:36.006–00:53:37.388] 对吧明白这个道理吧？
[00:53:37.990–00:53:38.732] 也就是说。
[00:53:40.198–00:53:40.908] 这种。
[00:53:42.374–00:53:43.244] 对手类的。
[00:53:46.726–00:53:57.772] 也必须是基于现有的大家的一个共同的预期或者共同集体潜意识里面的一个预期。好吧，这是一个注意事项。
[00:53:58.662–00:53:59.948] 我们说时间类的呢。
[00:54:01.414–00:54:04.108] 实践类的呢，我们说类型也就那么些了。
[00:54:04.806–00:54:15.884] 定在那儿不动的往前穿的，回到未来的对吧？去去到过去的。然后这个这个我说我们说回到未来开创者也是斯皮尔伯格。
[00:54:17.094–00:54:23.852] 你看斯皮尔伯格呀、詹姆斯卡梅隆呀，这种人都是开地图的人啊，他们都是开心类型的人。
[00:54:24.422–00:54:25.900] 我们就跟在后面就可以了。
[00:54:26.598–00:54:29.068] 然后嗯还有什么啊？
[00:54:29.958–00:54:31.020] 这个这个这个。
[00:54:32.518–00:54:33.452] 这个这个。
[00:54:34.438–00:54:41.772] 困在原地不动的对吧？土拨鼠日嗯，这这也是开地图的，后面就出了很多了。然后还有这种。
[00:54:42.790–00:54:49.100] 长生不老的，我觉得开地图的人应该很久远很久远之前了。因为这个愿望似乎是。
[00:54:49.702–00:55:02.380] 人类想要长生不老，至少从秦始皇就开始琢磨这个事了。所以这个地图应该是古人开的对吧？然后穿越题材不知道谁开的对吧？然后这个嗯。
[00:55:03.206–00:55:16.748] 反正就这种类型嘛，对吧？它都是基于人类共同的一种想象或者共同的一种期待，共同的一种担忧而产生的。但是还我还是那句话啊，你在这个类型下还是可以做创新的。
[00:55:17.286–00:55:20.140] 就像我说你看游戏类的片子有那么多。
[00:55:20.838–00:55:26.540] 但由于游戏跟雪国列车跟大逃杀，它就不是完全一样嘛，对不对？
[00:55:27.430–00:55:47.356] 来，我们说这种穿越类的，我们说那个蝴蝶效应就非常严重，值得大家去看一看。好吧，这节课会推荐很多参考片啊，大家可以最近又有片子看了啊，那个butterfly大家去看一看，好吧，那个就在穿越片里面就拍的相当好，相当的有。
[00:55:47.846–00:55:55.436] 局部创新吧，对吧？大规则我不去开心，不用开新地图，我就在穿越里面拍出我自己的特色。
[00:55:55.974–00:55:59.564] 大家也去研究一下，好吧，抱着学习的心态啊。
[00:56:00.102–00:56:19.244] 然后最后再说说回游戏类，我们说这种游戏类也是这种情况。我们说大规则其实差不多的。我刚才说了一个空间，然后参与人规则，然后奖励惩罚大规则差不多的。但为什么每次人家都能拍出新的东西呢？创新在哪里，创新就在这个规则。
[00:56:20.230–00:56:40.284] 创新就在这个规则。当然了，也有这些参与者的互相身份转换，对吧？你原本是个装，你其实原来伪装成一个玩家，或者是你完原本原本是个玩家，成长为成了一个装屠龙屠龙者终成恶龙，还是怎么着？这些当然还有细节上的创新。
[00:56:40.454–00:56:40.844] 好吧。
[00:56:42.438–00:56:55.884] 这节课呢主要就是给大家讲一下这种高设定。我们以前其实就管它叫高定，你知道吧？高设定。然后那个那个那个其实就是一种魔幻现实主义的一种选材。这种片子呢怎么玩？
[00:56:57.478–00:57:02.604] 大家大概明白了，首先分类就是这些分类，然后呢，玩法呢。
[00:57:03.526–00:57:10.572] 基本上就是基于前人已经开创的这些类型，然后在里面做局部创新。
[00:57:12.838–00:57:25.068] 这个不算抄袭啊，同学们，那你说由于游戏抄没抄雪之雪国列车，抄没抄我们中国人拍的动物世界呢？他妈差不多就是玩游戏输了死赢了赢钱，对吧？
[00:57:25.638–00:57:29.196] 这种类型啊，我们说它就是有人已经开创了这个大类了。
