P027 十二课-小蝌蚪找妈妈12.3
[00:25:32.102–00:25:33.740] 难道就是别人的点心吗？
[00:25:36.614–00:25:38.316] 我就不服这种制度。
[00:25:39.910–00:25:40.812] 我不同意。
[00:25:41.382–00:25:42.700] 我就想知道为什么。
[00:25:43.430–00:25:49.388] 他也不是说一上来就是那种大彻大悟，想要抗争，想要反抗，他就是不服。
[00:25:50.246–00:25:50.860] 不分儿。
[00:25:51.526–00:25:52.428] 他觉得凭什么？
[00:25:55.014–00:25:56.492] 所以他开始不安分了。
[00:25:58.630–00:25:59.756] 他开始号召。
[00:26:00.582–00:26:01.228] 这些。
[00:26:01.830–00:26:02.348] 小蝌蚪。
[00:26:03.974–00:26:05.644] 说我们可以可以想了想办法。
[00:26:08.294–00:26:11.692] 对吧我们可以会想想办法，比如我看。
[00:26:12.390–00:26:13.548] 我感觉。
[00:26:14.022–00:26:19.020] 我们东边我们这个车轮胎这个印儿往往东边这里。
[00:26:20.454–00:26:24.012] 这个泥土发软，我们可不可以都往这边钻？
[00:26:25.670–00:26:32.364] 尝氏能不能有别的发现？实际上东边确实有一个池塘，明白我意思吗？
[00:26:32.902–00:26:44.588] 所以他的感觉是对的，他就感觉东边啊就这种动物它是有本能的，就哪边有水，它是有本能的。他说我就感觉东边啊是有松动，我们向着东方努一努。
[00:26:47.174–00:26:48.908] 但是其他的小蝌蚪。
[00:26:51.014–00:26:57.356] 没有人听他的，他就觉得我们认命呀，每天吃5个，每天吃5个又吃不到，我又吃不到你。
[00:26:57.862–00:26:58.796] 迟到了认命了。
[00:27:00.198–00:27:01.036] 就没有人听他的。
[00:27:02.886–00:27:07.084] 然后他要做出选择，他是坚持自我还是随大流？
[00:27:10.342–00:27:11.468] 他选择了坚持自我。
[00:27:12.678–00:27:13.900] 他去东边钻。
[00:27:14.598–00:27:16.716] 但是坚持自我是有个代价的。
[00:27:17.350–00:27:23.948] 你一个人去东边钻，其他人就在西边挤着。那么个冒过来的时候啊，你最危险。
[00:27:25.446–00:27:25.932] 对吧。
[00:27:26.886–00:27:28.940] 你你最危险，你暴暴露了呀。
[00:27:30.726–00:27:33.644] 但是他还是在坚持，他一个人在对抗。
[00:27:34.598–00:27:36.140] 直到他的这个真诚。
[00:27:36.774–00:27:37.676] 他的这些。
[00:27:39.942–00:27:41.612] 特立独行的这些做法。
[00:27:42.854–00:27:45.548] 慢慢的感化这个群体当中。
[00:27:46.630–00:27:47.500] 有一些。
[00:27:48.006–00:27:48.876] 有的是。
[00:27:49.894–00:27:50.540] 嗯。
[00:27:52.134–00:27:55.052] 稍微能听得懂人话的，还有一些是。
[00:27:55.622–00:27:56.780] 比如说他有小弟。
[00:27:57.510–00:28:03.788] 就觉得我哥干嘛我干嘛，对吧？还有比原本是他的仇家，一样也有脑子的。
[00:28:04.646–00:28:09.004] 然后也被他的精神感动，就他在这个群体里慢慢。
[00:28:09.478–00:28:10.412] 有了影响力。
[00:28:12.134–00:28:15.116] 有一伙小队伍开始往东面钻。
[00:28:15.974–00:28:16.780] 等于这个。
[00:28:19.622–00:28:21.452] 这个这个工程的进度加快。
[00:28:22.182–00:28:26.380] 东边这个泥土慢慢的钻开一块，钻开一块钻开一块。
[00:28:27.366–00:28:28.396] 马上就要跟。
[00:28:29.862–00:28:30.796] 那个河水。
[00:28:31.366–00:28:32.108] 贯通了。
[00:28:34.982–00:28:36.012] 就在这一刻。
[00:28:36.870–00:28:38.924] 对吧马上就要成功的这一刻。
[00:28:39.430–00:28:40.748] 一个拖拉机开过来。
[00:28:43.142–00:28:44.716] 他们比如说牺牲掉一半。
[00:28:48.166–00:28:49.036] 牺牲掉一半。
[00:28:49.638–00:28:50.284] 这个计划。
[00:28:51.814–00:28:52.556] 完全破产。
[00:28:55.654–00:28:57.836] 然后这又打下去了嘛。
[00:28:58.502–00:29:00.492] 正当万念俱灰的时候。
[00:29:02.214–00:29:03.052] 天降大雨。
[00:29:04.486–00:29:11.468] 就所有人都嘲笑他，傻了吧，不让你去钻，不让你去钻，还把你弟弟害死了。你看你弟弟。
[00:29:13.574–00:29:14.508] 压扁了。
[00:29:15.174–00:29:17.164] 都爆了爆炸了。
[00:29:18.790–00:29:19.500] 是不是？
[00:29:20.678–00:29:21.868] 你看你干的好事儿。
[00:29:25.350–00:29:28.300] 所有人都不理解他，认为他害了我们。
[00:29:28.966–00:29:29.644] 的时候。
[00:29:31.238–00:29:32.140] 一场大雨。
[00:29:33.094–00:29:36.556] 这个水坑填平灌满所有的小蝌蚪。
[00:29:37.382–00:29:38.412] 都冲到了河里。
[00:29:38.950–00:29:40.172] 得到了真正的自由。
[00:29:41.734–00:29:42.700] 得到了真正的自。
[00:29:44.358–00:29:45.260] 他的坚持。
[00:29:46.054–00:29:47.628] 他对制度的对抗。
[00:29:48.614–00:29:50.444] 他的抗争是对的。
[00:29:52.902–00:29:59.660] 然后等所有的小蝌蚪都进到池塘里，安全健康的生活，再也不用担心那只猫的时候。
[00:30:01.190–00:30:04.684] 雨停了，水位在慢慢下去的时候，所有人都发现。
[00:30:05.350–00:30:06.316] 所有人都在说。
[00:30:10.054–00:30:10.636] 前天老去。
[00:30:13.766–00:30:14.732] 水位又下去了。
[00:30:15.558–00:30:17.676] 池塘还是那个池塘，水坑还是那个水坑。
[00:30:18.694–00:30:19.724] 点点还在水坑里。
[00:30:22.086–00:30:22.732] 他没出来。
[00:30:24.806–00:30:25.964] 因为他弟弟死在那儿了。
[00:30:27.046–00:30:28.172] 他兄弟死在那儿了。
[00:30:31.078–00:30:34.892] 他抗争这个制度，对抗这个群体。
[00:30:35.718–00:30:38.348] 最高的目标并不是活命。
[00:30:38.822–00:30:41.644] 明白我这个意思吧？他可能最初是为了活命。
[00:30:42.342–00:30:45.420] 但是点点对抗这个水坑，对抗那只猫。
[00:30:46.342–00:30:48.364] 他只想证明对抗的价值。
[00:30:49.382–00:30:52.076] 他只想告诉你，不用不要放弃希望。
[00:30:53.062–00:30:54.860] 他只想告诉你努力会有结果。
[00:30:55.430–00:30:56.652] 他这个目的达到了。
[00:30:59.398–00:31:05.612] 有我们有希望了，大家都活下去了，我的目的达到了我我的坚持是对的。
[00:31:06.918–00:31:09.484] 我并不是为了活命，所以我没走。
[00:31:10.278–00:31:11.404] 因为我弟弟在这儿。
[00:31:13.382–00:31:15.212] 我兄弟在这儿，他们死在这儿了。
[00:31:15.878–00:31:16.556] 我也死在这。
[00:31:18.438–00:31:19.084] 这就是。
[00:31:20.454–00:31:21.356] 被制度化。
[00:31:23.622–00:31:25.100] 点点我们的。
[00:31:25.798–00:31:26.412] 小蝌蚪。
[00:31:27.078–00:31:27.532] 找妈妈。
[00:31:30.662–00:31:31.692] 十个类型的故事。
[00:31:33.990–00:31:35.404] 吃个小蝌蚪找妈妈。
[00:31:38.918–00:31:39.436] 下课。
