P017 第八课-勾勒画面8.3
[00:25:36.998–00:25:38.988] 有啊有这么做的。
[00:25:39.654–00:25:41.036] 有这么做的不是。
[00:25:41.798–00:25:45.004] 不是不可以啊，你写到这里你自己去体会啊。
[00:25:46.662–00:25:49.484] 自己去体会这个烈度，明白这个意思吗？
[00:25:50.022–00:25:51.308] 你需要力度再大。
[00:25:51.878–00:26:04.876] 你觉得哎这几个人强奸奸杀小女孩，我也觉得烈度不够。我想让这个逼再嗯懊悔，再懊恼，内内心更折磨，那你就强奸了女儿。
[00:26:07.878–00:26:10.796] 这烈度你们自己去掌握啊，我是觉得。
[00:26:12.454–00:26:17.388] 我我感觉就是如果是我的话，我是比较倾向于杀人。
[00:26:23.078–00:26:24.684] 因为咱们这个戏。
[00:26:25.510–00:26:27.212] 最基本的主题还是生死。
[00:26:29.414–00:26:31.468] 所以我的感觉是让他们杀了人。
[00:26:32.230–00:26:34.220] 好，这里你自己去选啊。
[00:26:35.014–00:26:35.884] 就是让他们。
[00:26:37.350–00:26:41.196] 呃，让这个这个虚假的胜利彻底被击溃。
[00:26:41.926–00:26:44.300] 除了他老婆孩子继续不搭理他。
[00:26:44.774–00:26:52.748] 然后呢，跟那个一对父子越走越近，幸福美满，让他觉得他自己是一个假的父亲。
[00:26:53.446–00:26:57.068] 假的老老公，假的警察全部是假的。
[00:26:58.342–00:27:07.052] 最大的打击来自于他放走的那个他放走的那个人坐下掏天罪行，就是提醒他，你就是个假警察。
[00:27:07.814–00:27:10.700] 你什么被表彰，你什么英勇无畏。
[00:27:12.774–00:27:14.988] 你就是个玩忽职守假警察。
[00:27:15.942–00:27:16.460] 提醒他。
[00:27:17.478–00:27:18.508] 那么在这里。
[00:27:19.014–00:27:20.236] 这一切虚假。
[00:27:24.070–00:27:24.908] 让他决定。
[00:27:25.542–00:27:26.252] 做一回。
[00:27:26.886–00:27:27.564] 真男人。
[00:27:30.246–00:27:31.596] 自己犯的罪自己补。
[00:27:32.102–00:27:33.996] 找到之前行凶的那几个人。
[00:27:37.286–00:27:38.252] 跟他们同归于尽。
[00:27:39.302–00:27:47.916] 完成所有的事情找到那几个人给给他闯下的祸填坑，然后呢又实现他之前的那个。
[00:27:48.774–00:27:50.156] 原计划同归于尽。
[00:27:50.694–00:28:00.748] 那原计划暂停是因为虚假的胜利嘛，现在既然是个假的胜利，那我也要坚持原计划呀，而且又出了这么大的事儿，那我就跟那几个人同归于尽，把炸弹翻出来了。
[00:28:01.478–00:28:03.980] 对吧然后就开始调查，找那几个人。
[00:28:05.798–00:28:07.660] 然后我说的增加烈度。
[00:28:08.134–00:28:12.780] 增加猎读的方法，让那几个人知道他在找他，让那几个人无比凶残。
[00:28:13.318–00:28:17.036] 对吧让他自己呢在关键时刻掉点链子。
[00:28:19.046–00:28:21.964] 掉点链子有很多方法，比如说因为。
[00:28:23.110–00:28:25.452] 这个再次喝酒闹事儿，让人把。
[00:28:26.278–00:28:30.028] 枪啊刚配的枪还没使明白呢，又给他收了。
[00:28:30.502–00:28:31.020] 对吧。
[00:28:31.526–00:28:33.868] 或者是给他配了枪，但是没有配子弹。
[00:28:34.982–00:28:36.140] 橡皮子弹什么的。
[00:28:37.542–00:28:39.596] 你想办法嘛给他增加难度。
[00:28:40.070–00:28:40.812] 增加烈度。
[00:28:41.606–00:28:42.668] 然后最后这个。
[00:28:43.270–00:28:44.940] 核心问题。
[00:28:46.950–00:28:52.172] 核心的这个这个高潮场面，就是高潮那场戏，那一定是。
[00:28:53.094–00:28:56.748] 孤胆英雄跟那几个歹徒搏斗嘛。
[00:28:57.638–00:28:58.892] 我说过就是。
[00:29:00.038–00:29:01.292] 被打的很惨之后。
[00:29:02.118–00:29:10.316] 他孤注一掷，可以从三楼直接跳下去，扑倒那个歹徒压在人家身上引爆炸弹嘛。
[00:29:11.334–00:29:13.132] 然后结局赠送纯赠送。
[00:29:13.606–00:29:15.660] 对吧可以躺在医院的床上。
[00:29:16.518–00:29:22.092] 身受重伤，昏迷了好几天，但是微微一睁眼的时候，发现他女儿。
[00:29:22.886–00:29:36.236] 在吹牛逼，在对外吹牛逼，说我爹老牛逼了，在他发现他女儿在拍抖音，拍她昏迷的样子。然后发我父亲是个警察多牛逼多牛逼，对吧？在拍抖音嘛。
[00:29:36.902–00:29:39.084] 拍抖音相当于年轻人在。
[00:29:39.654–00:29:40.428] 对外炫耀。
[00:29:40.998–00:29:41.516] 然后他。
[00:29:42.054–00:29:42.892] 继续闭眼。
[00:29:43.494–00:29:46.828] 装昏迷，但是嘴角露出了笑容结束。
[00:29:47.686–00:29:48.364] 干净利索。
[00:29:49.798–00:29:50.444] 这就是。
[00:29:51.846–00:29:52.684] 咱们之前。
[00:29:53.574–00:29:59.596] 举过的八要素的呃举过例子的那个八要素故事，一个想要殉职的警察。
[00:30:00.198–00:30:01.004] 换成。
[00:30:01.894–00:30:02.892] 1个训练。
[00:30:03.654–00:30:06.220] 八要素都在我们说八要素怎么用的？
[00:30:08.230–00:30:09.196] 八要素怎么用的？
[00:30:11.558–00:30:14.124] 就是他身份在。
[00:30:15.814–00:30:19.852] 1个序列中的变化，它的欲望在10个序列中的变化。
[00:30:20.326–00:30:35.372] 他的动作在10个序列中的变化，它的问题，它的阻力，然后正负价值在10个问题，10个序列中的角力此起彼伏，负加值占上风，正价值占上，负加值占上方就是这8个要素在。
[00:30:35.910–00:30:36.524] 你。
[00:30:38.022–00:30:39.340] 的10个序列里面。
[00:30:40.582–00:30:41.644] 是要产生变化的。
[00:30:42.374–00:30:44.012] 而且变化的落差越大。
[00:30:44.614–00:30:47.532] 就变化的越彻底走到越走到对面。
[00:30:49.990–00:30:53.356] 拉伸的张力越大，你的故事就越好看。
[00:30:54.790–00:30:55.500] 这就是。
[00:30:56.422–00:30:57.164] 全部的。
[00:30:57.830–00:30:58.668] 10个序列。
[00:30:59.558–00:31:00.364] 我们通过。
[00:31:01.062–00:31:02.572] 一个将要殉职的警察。
[00:31:04.134–00:31:05.228] 给大家举例说明。
[00:31:06.342–00:31:08.940] 咱们这节课就先讲到这儿吧，这节课时间也不短了。
[00:31:09.414–00:31:09.964] 但是。
[00:31:10.758–00:31:12.652] 但是大家知道10个序列怎么写了？
[00:31:14.438–00:31:15.660] 就知道大纲怎么写了。
[00:31:16.262–00:31:27.884] 就越来越接近我们的剧本了。而且这10个序序列里面不再有那种描述的话了，不不要再给我写那种无法变现的，无法变成画面的话了。
[00:31:28.678–00:31:31.532] 全是我们刚才说的是1场戏。
[00:31:32.038–00:31:35.660] 十呃10个关节全部都是可以变成画面的。
[00:31:36.902–00:31:38.156] 好吧，大家。
[00:31:38.726–00:31:39.308] 记住。
[00:31:40.006–00:31:41.900] 1个环节，然后。
[00:31:42.726–00:31:43.756] 考虑一下我们。
[00:31:44.230–00:31:45.100] 这十个例子。
[00:31:46.278–00:31:47.180] 布置的作业。
[00:31:48.166–00:31:55.660] 你也不用自己创作了，你就把我说的这个一个将要殉职的警察这10个关节自己去写一下。
[00:31:56.294–00:31:57.196] 写一个大纲。
[00:31:58.118–00:31:58.604] 好吧。
[00:31:59.334–00:32:08.940] 十个序列不是只有十场戏啊，是十件大事儿。有的这个一个序列，比如说他这里多次尝试。
[00:32:09.798–00:32:12.172] 的时候那就是好多场戏呢。
[00:32:12.806–00:32:32.860] 包括他这里铺垫什么的激励什么的，都不止一场戏。就这个回到警察局，也不是说一场戏就完事儿，先回到先去派出所所长办公室被呲一顿，对吧？然后再被那个么呃跟同事再怎么着，然后捐款怎么着，而且开始不想捐想混过去。
[00:32:33.286–00:32:40.012] 你不要直线思维啊，说啊去回去捐款，然后把钱交上完事是他可以先想躲呀。
[00:32:40.518–00:32:44.012] 哎，我捐过了吧，刚才然后大家又查一遍，你没捐。
[00:32:45.126–00:32:49.836] 自己去想辙好吗？就每一场每一每一个关节。
[00:32:51.206–00:32:52.300] 不止一场戏。
[00:32:53.254–00:32:54.252] 自己去把。
[00:32:55.046–00:32:56.044] 1个关节。
[00:32:56.550–00:32:57.356] 理明白。
[00:32:59.238–00:33:02.380] 写写出一个大纲，就写这个故事。
[00:33:04.070–00:33:04.524] 好吧。
[00:33:05.286–00:33:06.092] 好，下课。
