P035 十五课-节拍器15.2
[00:27:03.462–00:27:14.732] 呃，给你搞阻力，我们说阻力也也环境也跟你做对，对手也跟你做对，你自己也跟你做对，对吧？就是75到255到75是一个猪肚子。
[00:27:15.750–00:27:23.500] 所谓的坏蛋逼近，在这里这个呃坏蛋逼近的这个过程，你不要只孤立的看这20分钟。
[00:27:24.006–00:27:25.420] 你前面要买福利的。
[00:27:26.822–00:27:29.932] 你前面要买伏笔的坏蛋有可能在前十分钟出过场。
[00:27:30.502–00:27:33.772] 或者是在你这个增执和推动的这个过程中。
[00:27:34.598–00:27:42.508] 对吧你你也做过伏笔，或者是在游戏时间里，你过于猖狂，也打过伏笔，对吧？
[00:27:44.006–00:27:47.372] 就是是你前面是要做伏笔的，不要孤立的写。
[00:27:48.102–00:27:49.900] 然后在75分钟的时候。
[00:27:51.302–00:27:52.044] 把你打趴下。
[00:27:56.102–00:27:57.772] 这里可以受个重创。
[00:27:59.590–00:28:00.460] 受伤。
[00:28:01.254–00:28:08.396] 甚至我说的，你你让男儿就可以在这儿就死了，也可以，就是在这个点在这个点。
[00:28:12.422–00:28:20.236] 那个斯戴德先生呃的原话说，一无所有，这里要展现死亡气息。
[00:28:21.382–00:28:29.484] 就是这个意思，他说的就是这个意思。因为在传统的影片里面啊，在古老的故事里面，这里确实就是死人。
[00:28:30.502–00:28:31.180] 就是。
[00:28:32.070–00:28:32.748] 真的死。
[00:28:33.254–00:28:46.124] 但是因为在现代片里面，现代故事里面，你不可能每个片子都死人了呀，做不到的呀。所以在那个呃那套教材里面，它有个概念叫高度叫概念化的死亡。
[00:28:46.694–00:28:50.828] 叫概念化的死亡，这不是真死，但是跟死亡同等的。
[00:28:51.430–00:28:52.140] 功效。
[00:28:53.382–00:28:54.892] 在这里就要用到了。
[00:28:55.910–00:28:57.132] 用到概念化的死亡。
[00:28:57.670–00:29:00.140] 弥漫着死亡气息的世界，对吧？
[00:29:00.710–00:29:01.452] 拿二死。
[00:29:02.054–00:29:04.780] 死啦或者是你的重叛轻的一啊。
[00:29:05.606–00:29:08.396] 那不也跟死了一样啊，你的所有朋友都不搭理。
[00:29:09.478–00:29:10.828] 或者是对你产生了。
[00:29:11.654–00:29:12.396] 深深的误解。
[00:29:12.966–00:29:13.388] 对吧。
[00:29:13.894–00:29:18.508] 或者是你你做点事事情，让你你这这里让你前途尽毁。
[00:29:21.798–00:29:26.444] 反正是弥漫死亡气息的重大事件。哎，你就这么理解吧，就在这可以打到底了。
[00:29:27.046–00:29:28.748] 75分钟给你打到底了。
[00:29:30.982–00:29:32.428] 要多惨有多惨。
[00:29:33.030–00:29:34.828] 越踩越好，给你打道理。
[00:29:35.718–00:29:39.148] 好吧，755到75是一直在打你吗？
[00:29:40.070–00:29:45.100] 75打到底，然后75到85就是所谓的灵魂黑夜。
[00:29:45.894–00:29:47.404] 也就是你的蜕变过程。
[00:29:48.518–00:29:56.684] 这十0分钟你你已经被打到黑夜了，你也想过放弃，甚至实际意义上都已经实施放弃了。你在这里就是。
[00:29:58.758–00:30:00.780] 为什么有1分钟的篇幅啊？
[00:30:01.254–00:30:03.788] 就是全方位的展示你的痛苦。
[00:30:08.582–00:30:10.700] 就全方位的展示你的痛苦。
[00:30:13.638–00:30:17.772] 你的痛苦的过程，你的舔舐伤口的过程。
[00:30:18.758–00:30:23.148] 你的蜕变和重生的过程都是在这里十分钟。
[00:30:24.966–00:30:27.596] 这里其实是外在的惨。
[00:30:28.102–00:30:32.268] 在75分钟达到外在的，这里用10分钟展现你精神世界的。
[00:30:34.598–00:30:35.116] 痛苦。
[00:30:35.846–00:30:37.260] 灵魂的黑夜。
[00:30:38.758–00:30:39.564] 15分钟。
[00:30:42.694–00:30:45.196] 所以他这两段是相当于猪肚子。
[00:30:45.734–00:30:47.788] 各30分钟以上一下。
[00:30:48.614–00:30:49.292] 他是这么大的。
[00:30:50.438–00:30:54.924] 然后最后25分钟，85这里他又搞了一个所谓的。
[00:30:55.974–00:30:56.812] 衔接点。
[00:31:03.078–00:31:04.140] 在85啊。
[00:31:04.710–00:31:05.292] 前节点。
[00:31:06.822–00:31:08.012] 85这里情节点。
[00:31:11.302–00:31:13.068] 然后85到110。
[00:31:15.206–00:31:15.916] 就是。
[00:31:16.966–00:31:19.212] 那个我们所谓的。
[00:31:20.422–00:31:27.500] 结局其实就是高潮啊其实就是高潮啊结局就是高潮嘛，是85到110。
[00:31:31.430–00:31:33.324] 然后最后110这里。
[00:31:33.926–00:31:34.764] 又是一个。
[00:31:36.774–00:31:37.324] 画面。
[00:31:41.606–00:31:43.660] 就最后25分钟，他又分了这三个部分。
[00:31:44.710–00:31:48.428] 85这个衔接点是什么呢？就是柳暗花明。
[00:31:49.446–00:31:53.932] 或者是叫解决方案的诞生。你突然发现我还有一招。
[00:31:54.982–00:31:56.172] 我还有一招。
[00:31:56.838–00:31:59.116] 还有孤注一掷的一招。
[00:32:00.102–00:32:01.132] 解决方案。
[00:32:02.886–00:32:05.996] 或者是最难的那条路，我之前不想走的那条路。
[00:32:07.430–00:32:08.940] 简单说就是跟他们拼了。
[00:32:11.142–00:32:16.172] 就是你前面各种方案都用了，不行，最后的衔接点就解决方案就是。
[00:32:18.086–00:32:19.340] 下毒也没有用。
[00:32:20.134–00:32:23.564] 呃，举报他嫖娼也没有用。
[00:32:24.166–00:32:32.940] 这个呃给他呃那个吃的饭里面下泻药也没有用，对吧？然后雇人去偷袭他也没有用。
[00:32:33.446–00:32:41.132] 最后这个断血流大师兄只能我自己去面对了，就上擂一台，其实就孤注一掷。最后的那个。
[00:32:42.182–00:32:42.892] 解决方案。
[00:32:47.334–00:32:48.428] 解决方案。
[00:32:52.198–00:32:56.268] 斯戴德先生说，这里是解决方案的诞生，但其实呢。
[00:32:57.158–00:33:05.580] 很难在一个戏里面在8就是说前85分钟都没有这么好的办法，就在85分钟的时候，突然哎哎哗。
[00:33:06.086–00:33:10.604] 灵机一动出来一个这么好的解决方案。那你前面这个男二死的也太冤了。
[00:33:11.910–00:33:19.340] 是不是啊以前那这以前的经历这么黑暗的时刻，在85分钟突然灵激动，哎，我有主意了。
[00:33:20.102–00:33:21.036] 是比较难的。
[00:33:22.214–00:33:27.820] 所以嗯解决方案的诞生，你这么理解也行，但是我更愿意把它理解为。
[00:33:30.342–00:33:31.244] 直面困难。
[00:33:32.838–00:33:34.796] 或者是说要孤注一掷。
[00:33:35.718–00:33:39.756] 就是说这个解决方案其实原本也有，只不过你不想走，就是拼了呗。
[00:33:40.902–00:33:42.412] 就是跟坏蛋拼了呗。
[00:33:44.166–00:33:45.580] 对吧就是偏冷。
[00:33:48.294–00:33:49.804] 也可以是救命稻草。
[00:33:51.622–00:33:58.316] 就是呃出现转机也有这样的戏，确实有啊，就在这里出现转机，出现最后一根救命稻草。
[00:33:58.982–00:34:02.092] 85分钟，然后85到110啊。
[00:34:02.566–00:34:03.724] 我们说这里你看。
[00:34:04.838–00:34:06.060] 85到110。
[00:34:06.950–00:34:07.468] 对吧。
[00:34:08.614–00:34:10.700] 就是整个25分钟。
[00:34:11.206–00:34:12.524] 85到110嘛。
[00:34:13.094–00:34:19.596] 整个最后25分钟也是最长的一段，就是高潮。我们说一个戏的高潮最长，这很正常。
[00:34:20.486–00:34:34.188] 因为你整个戏最过瘾的地方就在这儿了，25分钟。如果是一个孤胆英雄的戏，那这25分钟就是冲到最后的那个场景，最后的那个废旧的厂房，仓库里面最后的那一场大战呀。
[00:34:35.974–00:34:37.772] 嗯大概25分钟不过分呀。
[00:34:38.310–00:34:40.460] 对吧就是最后的那场大战。
[00:34:42.278–00:34:45.772] 带为那个特效，带慢动作，带为各种。
[00:34:46.374–00:34:53.804] 那你25分钟确实可以在这折腾一下，这往往是一个电影最花钱的地方，就在这25分钟时就是烧钱。
[00:34:54.822–00:34:57.996] 啊，你所有的看家的绝活都都搞出来。
[00:34:58.502–00:35:01.292] 这里就推向最高潮，最后那几下。
[00:35:02.406–00:35:03.212] 推向最高潮。
[00:35:03.878–00:35:05.164] 这个很容易理解啊。
[00:35:05.766–00:35:07.980] 你写到这的时候，你很容易理解你要干什么？
[00:35:09.030–00:35:10.988] 嗯，我给大家看的那个那个。
[00:35:11.654–00:35:25.612] 定制半郎啊，那最这里不就是最后的婚礼吗？最后结婚那场戏嘛？对吧？我们说那个花生花生酱英雄花生酱猎鹰，我给大家也放过，这里不就是最后那场比赛吗？
[00:35:26.406–00:35:29.996] 他成为了那个智障的小男孩成为了。
[00:35:31.654–00:35:36.332] 成为了那个那个那个那个摔跤手，成为了博呃呃这个拳击手。
[00:35:36.806–00:35:44.844] 打的那场，最后的那场比赛嘛，惊心动魄的那比赛嘛，是源人、丹泽尔、华盛顿最后在那个。
[00:35:45.542–00:35:46.892] 他工作的家具厂。
[00:35:47.750–00:35:50.444] 跟俄罗斯黑帮等等场。
[00:35:51.334–00:35:51.980] 决斗嘛。
[00:35:52.582–00:35:58.892] 他用钉枪，对对方用机关枪，他用射钉枪在家具城嘛，最后那场决斗嘛。
[00:36:00.102–00:36:02.476] 这里很容易理解啊，这25分钟。
[00:36:03.494–00:36:04.844] 然后再就剩最后一个。
[00:36:05.830–00:36:07.916] 110分钟的时候，又一个画面。
[00:36:08.646–00:36:10.380] 我们说这里就叫中场画面。
[00:36:12.006–00:36:16.844] 开始的时候是一个开场画面。就说斯耐德先生说这个中场画面。
[00:36:17.382–00:36:17.804] 真。
[00:36:18.374–00:36:19.852] 开场画面要做呼应。
[00:36:20.518–00:36:23.308] 确实啊有很多电影是这么做的，就开场。
[00:36:24.550–00:36:25.324] 画画面。
[00:36:25.894–00:36:26.924] 我们说开场画面。
[00:36:28.422–00:36:29.132] 干嘛呢？来？
[00:36:30.310–00:36:31.532] 确定一个片子的。
[00:36:32.454–00:36:33.900] 气质类型。
[00:36:36.262–00:36:37.868] 中场这个画面要跟。
[00:36:38.950–00:36:41.260] 开场的那个画面似而不同。
[00:36:42.790–00:36:44.812] 所以很规矩的做法就是。
[00:36:46.342–00:36:47.404] 再回到这个画面。
[00:36:48.422–00:36:50.636] 但是有一些关键的因素。
[00:36:52.614–00:36:54.572] 关键元素已经变了。
[00:36:55.750–00:36:56.812] 就说似而不同。
[00:36:58.118–00:36:58.988] 你能理解吗？
[00:37:00.038–00:37:04.524] 就小蝌蚪找妈妈开始是一个安静的小池塘，小蝌蚪被人欺负。
[00:37:05.318–00:37:08.620] 结束的画面可以还是这个安静的小池小池塘。
[00:37:10.470–00:37:12.108] 但是小蝌头已经不是那个小蝌头。
[00:37:13.862–00:37:19.468] 或者是四而不同，小蝌蚪相同。就是说开场画面，小蝌蚪在这个小池塘的一角被人欺负。
[00:37:20.870–00:37:25.964] 然后呢，结束的画面还是小蝌蚪还是在这个角，小蝌蚪在帮助别人。
[00:37:27.110–00:37:30.380] 就说它是有相同的元素在，也有不同的元素。
[00:37:31.782–00:37:32.716] 形成一个呼应。
[00:37:35.046–00:37:35.788] 这就是。
[00:37:38.054–00:37:39.308] 同学们反复问的。
[00:37:39.878–00:37:40.396] 揭拍表。
[00:37:41.350–00:37:42.956] 其实跟我们的实序列。
[00:37:45.062–00:37:45.740] 是差不多的。
[00:37:47.014–00:37:47.980] 没有没有。
[00:37:48.646–00:37:49.420] 没有。
[00:37:50.278–00:37:51.788] 没有细化到。
[00:37:53.638–00:37:55.052] 就稍微往下细了一下。
[00:37:56.806–00:37:57.996] 我希望对大家。
[00:37:59.494–00:38:00.460] 想出事儿啊。
[00:38:02.310–00:38:03.116] 有所帮助。
[00:38:04.102–00:38:04.556] 好吧。
[00:38:05.190–00:38:14.124] 有什么不懂，有什么不懂的，或者还有什么疑问，我们继续在群里说。我今天就是给大家查漏补缺一下，说一下这个所谓的节拍表。
[00:38:15.078–00:38:15.468] 好吗？
[00:38:16.294–00:38:16.684] 大哥。
