part,cid,title,source_file,source_sha256,video_acquired,raw_asr,review_status,clean_transcript,method_status
76,28280883637,《哪吒2》为啥这么爆？查理老师新年第一讲，一起写好中国故事！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/《哪吒2》为啥这么爆？查理老师新年第一讲，一起写好中国故事！.mp4,17760c42c314c97028300291f7affa4e832af2cab33489e03b90bcde4d1f82b8,verified,,not studied this round,not completed,not extracted
77,29816391796,编剧视角拉片《闻香识女人》两个截然不同的灵魂在困境中相互救赎!,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《闻香识女人》两个截然不同的灵魂在困境中相互救赎!.mp4,5404854a0abc1bb04b5edf4650663402c69704a38afc4644b0391286503b5fb9,verified,,not studied this round,not completed,not extracted
78,29816848633,编剧视角拉片《猩球崛起》，人猿对战背后的隐喻！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《猩球崛起》，人猿对战背后的隐喻！.mp4,13f427bb3cb9ad4a1b7f3cf1a3627175ed97f93368345ff83ef1104356be1766,verified,,not studied this round,not completed,not extracted
79,29817176838,编剧视角拉片《幸福终点站》等待未必是坏事，在等待中寻找生活的转机！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《幸福终点站》等待未必是坏事，在等待中寻找生活的转机！.mp4,faba9414bec4cbb8d652fd3c67579f8b1a4edc77195fc4ce554f80368d364933,verified,,not studied this round,not completed,not extracted
80,29818162710,编剧视角拉片经典传记片《华尔街之狼》,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片经典传记片《华尔街之狼》.mp4,6cc1df30ee18f0a073da3d282a97469a43abb61f5693b46805d058ef43deb27b,verified,,not studied this round,not completed,not extracted
81,29818619846,编剧视角拉片《蝴蝶效应》！反转 结构 悬疑 脑洞...这部电影值得你再刷N遍,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《蝴蝶效应》！反转 结构 悬疑 脑洞...这部电影值得你再刷N遍.mp4,95a24a987c9ccb696791ea6c07c846456f31382b071c0171d1cac145b1f8a355,verified,,not studied this round,not completed,not extracted
82,29819538208,编剧视角拉片《小丑》从内耗走向癫狂，从边缘跨上“神坛”「影史现象级」是怎样炼成的？,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《小丑》从内耗走向癫狂，从边缘跨上“神坛”「影史现象级」是怎样炼成的？.mp4,f565a0ae77e0f035713a8b8b07ae55f501b259706937deabc6eed28fc98c3f50,verified,,not studied this round,not completed,not extracted
83,29820388979,编剧视角拉片《危情时速》：神级叙事+真实事件改编，影视从业者不可错过的一部电影！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《危情时速》：神级叙事+真实事件改编，影视从业者不可错过的一部电影！.mp4,c2fd6383538bd3597079249d09430ec5953dc2cd995cb837b2eb270afe620b3c,verified,,not studied this round,not completed,not extracted
84,29820649585,编剧视角拉片是枝裕和《比海更深》：文艺片的“克制叙事”高级在哪？怎么学？,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片是枝裕和《比海更深》：文艺片的“克制叙事”高级在哪？怎么学？.mp4,a346623d55647e4853f2258416a2aaebd05103eedb478b947d7bda5f791cdc00,verified,,not studied this round,not completed,not extracted
85,29820912258,编剧视角拉片烧脑神作《致命ID》,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片烧脑神作《致命ID》.mp4,48dcb253d177c60ff680abf368c8c2ad6e6318361ab0d13282ecef9f98207d5e,verified,,not studied this round,not completed,not extracted
86,29821110472,编剧视角拉片《生死狙击》！男频爽片创作要点,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《生死狙击》！男频爽片创作要点.mp4,5b12c1114b335a2612d499cbfb9eb09166e4f42ba010d9b9d0943e07d2f57661,verified,,not studied this round,not completed,not extracted
87,29821305201,编剧视角拉片《千与千寻》！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《千与千寻》！.mp4,86138efd14d3e2a109af6051487f6ad03e445e3c025fc53cccf7a2bd1d16c2fc,verified,,not studied this round,not completed,not extracted
88,29821437004,编剧视角拉片《摔跤吧爸爸》9分励志体育佳作，为苦难中的亿万女性发声！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片《摔跤吧爸爸》9分励志体育佳作，为苦难中的亿万女性发声！.mp4,955d4738354aa73e04906979b2a888703a012fbbbb9be861eff3f86d99369cfc,verified,,not studied this round,not completed,not extracted
89,29817505131,编剧视角拉片韩国喜剧【金氏漂流记】两个孤独灵魂的相互救赎！,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片韩国喜剧【金氏漂流记】两个孤独灵魂的相互救赎！.mp4,8876ed2a3fdc79492c27dd0036bb9dda9b20edcd686590f9723a61b1682c6d19,verified,,not studied this round,not completed,not extracted
90,29821570920,编剧视角拉片励志电影《肖申克的救赎》一,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片励志电影《肖申克的救赎》一.mp4,795a8c00726c926edfb9f4415c18e0ac18c98063c72c8e3fbcb65db0f5cc303a,verified,,not studied this round,not completed,not extracted
91,29821699723,编剧视角拉片励志电影《肖申克的救赎》二,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片励志电影《肖申克的救赎》二.mp4,a0ca60f747f83177740f65f4324b16e309b47a8e2e9b50567a1c9bfa4cdde2e0,verified,,not studied this round,not completed,not extracted
92,29821895749,编剧视角拉片励志电影《肖申克的救赎》三,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/编剧视角拉片励志电影《肖申克的救赎》三.mp4,10823ca6ddea05c147103f7a54aa9d1ff08255a0ae804bf1c9c466bcb2c40e10,verified,,not studied this round,not completed,not extracted
